"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"31067","0","10","70","0","2016","1","","Gage County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",840,8985,9129,9244,78197378,35211382,605869,660,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-0.9,129,1.5,200,2.2,252,2.8,6190196,8.6,2660801,8.2,47213,8.5,39,6.3
"31067","0","10","70","0","2016","2","","Gage County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",851,9270,9381,9405,79720898,12169934,184948,656,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.5,174,1.9,190,2.1,97,1.0,3375803,4.4,-358019,-2.9,-24449,-11.7,18,2.8
"31067","0","10","70","0","2016","3","","Gage County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",856,9269,9232,9246,80273389,6809901,105190,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,1.7,247,2.7,107,1.2,89,1.0,4039693,5.3,161198,2.4,2997,2.9,24,3.7
"31067","0","10","70","0","2016","4","","Gage County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",820,9158,9251,9146,82066908,5398751,68772,687,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-20,-2.4,-37,-0.4,27,0.3,-105,-1.1,-3070451,-3.6,94718,1.8,-12260,-15.1,-23,-3.2
"31067","1","10","71","0","2016","1","","Gage County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,79,81,83,951578,0,0,904,"",2.46,0.44,0.45,0.45,0.43,0.00,0.00,0.95,"",0,0.0,-4,-4.8,-4,-4.7,-8,-8.8,-108212,-10.2,0,0.0,0,0.0,-40,-4.2
"31067","1","10","71","0","2016","2","","Gage County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,82,83,93,903924,0,0,809,"",2.45,0.45,0.45,0.50,0.41,0.00,0.00,0.88,"",0,0.0,1,1.2,-2,-2.4,-1,-1.1,-27705,-3.0,0,0.0,0,0.0,-18,-2.2
"31067","1","10","71","0","2016","3","","Gage County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,85,86,87,1082266,0,0,968,"",2.46,0.46,0.47,0.48,0.43,0.00,0.00,0.92,"",0,0.0,-7,-7.6,-8,-8.5,-7,-7.4,15715,1.5,0,0.0,0,0.0,89,10.1
"31067","1","10","71","0","2016","4","","Gage County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,82,78,85,959176,0,0,903,"",2.58,0.46,0.43,0.47,0.41,0.00,0.00,0.91,"",0,0.0,-4,-4.7,-3,-3.7,1,1.2,-8037,-0.8,0,0.0,0,0.0,14,1.6
"31067","1","102","72","0","2016","1","","Gage County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,79,81,83,951578,0,0,904,"",2.46,0.45,0.46,0.46,0.44,0.00,0.00,0.95,"",0,0.0,-4,-4.8,-4,-4.7,-8,-8.8,-108212,-10.2,0,0.0,0,0.0,-40,-4.2
"31067","1","102","72","0","2016","2","","Gage County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,82,83,93,903924,0,0,809,"",2.45,0.46,0.46,0.51,0.42,0.00,0.00,0.88,"",0,0.0,1,1.2,-2,-2.4,-1,-1.1,-27705,-3.0,0,0.0,0,0.0,-18,-2.2
