"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"31093","0","10","70","0","2016","1","","Howard County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",209,1576,1579,1600,12675691,5251657,46320,615,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.0,-8,-0.5,10,0.6,3,0.2,840846,7.1,318219,6.5,-2425,-5.0,40,7.0
"31093","0","10","70","0","2016","2","","Howard County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",211,1598,1639,1675,12739297,2215133,24845,599,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.9,-29,-1.8,0,0.0,-34,-2.0,286837,2.3,-34405,-1.5,-3993,-13.8,21,3.6
"31093","0","10","70","0","2016","3","","Howard County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",212,1640,1637,1619,13020603,1293355,13050,614,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.9,-13,-0.8,-5,-0.3,12,0.7,430452,3.4,-108982,-7.8,-6228,-32.3,21,3.5
"31093","0","10","70","0","2016","4","","Howard County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",208,1599,1562,1570,13689825,879448,8181,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.0,-22,-1.4,-37,-2.3,-42,-2.6,-253687,-1.8,-191812,-17.9,-4695,-36.5,2,0.3
"31093","1","10","71","0","2016","1","","Howard County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,31,29,27,298694,0,0,792,"",6.84,0.99,0.93,0.85,0.83,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,-7,-20.6,-56085,-15.8,0,0.0,0,0.0,-79,-9.1
"31093","1","10","71","0","2016","2","","Howard County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,30,30,30,260825,0,0,669,"",6.84,0.96,0.94,0.91,0.75,0.00,0.00,0.80,"",0,0.0,-5,-14.3,-2,-6.2,1,3.4,-55884,-17.6,0,0.0,0,0.0,-92,-12.1
"31093","1","10","71","0","2016","3","","Howard County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,28,28,32,321348,0,0,843,"",6.10,0.86,0.86,1.01,0.80,0.00,0.00,0.88,"",-1,-11.1,-1,-3.4,-1,-3.4,3,10.3,-48581,-13.1,0,0.0,0,0.0,-138,-14.1
"31093","1","10","71","0","2016","4","","Howard County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,31,28,37,331590,0,0,797,"",6.26,0.99,0.92,1.20,0.86,0.00,0.00,0.83,"",-1,-11.1,-3,-8.8,-5,-15.2,3,8.8,-7291,-2.2,0,0.0,0,0.0,23,3.0
"31093","1","102","72","0","2016","1","","Howard County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,31,29,27,298694,0,0,792,"",6.85,1.01,0.94,0.87,0.84,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,-7,-20.6,-56085,-15.8,0,0.0,0,0.0,-79,-9.1
"31093","1","102","72","0","2016","2","","Howard County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,30,30,30,260825,0,0,669,"",6.85,0.98,0.95,0.93,0.76,0.00,0.00,0.80,"",0,0.0,-5,-14.3,-2,-6.2,1,3.4,-55884,-17.6,0,0.0,0,0.0,-92,-12.1
"31093","1","102","72","0","2016","3","","Howard County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,28,28,32,321348,0,0,843,"",6.11,0.87,0.88,1.02,0.81,0.00,0.00,0.88,"",-1,-11.1,-1,-3.4,-1,-3.4,3,10.3,-48581,-13.1,0,0.0,0,0.0,-138,-14.1
"31093","1","102","72","0","2016","4","","Howard County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,31,28,37,331590,0,0,797,"",6.28,1.01,0.94,1.22,0.88,0.00,0.00,0.83,"",-1,-11.1,-3,-8.8,-5,-15.2,3,8.8,-7291,-2.2,0,0.0,0,0.0,23,3.0
"31093","1","1021","73","0","2016","1","","Howard County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,22,20,20,185384,0,0,690,"",9.14,2.90,2.62,2.59,2.96,0.00,0.00,1.09,"",0,0.0,2,10.0,3,17.6,1,5.3,-20784,-10.1,0,0.0,0,0.0,-160,-18.8
"31093","1","1021","73","0","2016","2","","Howard County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,22,22,22,186526,0,0,652,"",9.12,2.90,2.82,2.76,2.94,0.00,0.00,1.04,"",0,0.0,-1,-4.3,2,10.0,4,22.2,-6667,-3.5,0,0.0,0,0.0,-79,-10.8
"31093","1","1021","73","0","2016","3","","Howard County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,21,21,21,222491,0,0,815,"",9.17,2.67,2.68,2.72,3.06,0.00,0.00,1.14,"",0,0.0,3,16.7,3,16.7,3,16.7,-824,-0.4,0,0.0,0,0.0,-139,-14.6
"31093","1","1021","73","0","2016","4","","Howard County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,22,19,22,223697,0,0,819,"",9.41,2.90,2.56,2.84,2.86,0.00,0.00,1.03,"",0,0.0,2,10.0,-3,-13.6,3,15.8,6204,2.9,0,0.0,0,0.0,-4,-0.5
"31093","1","1028","73","0","2016","1","","Howard County, Nebraska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,9,7,113310,0,0,1046,"",5.59,0.53,0.53,0.41,0.50,0.00,0.00,1.03,"",0,0.0,-2,-18.2,-3,-25.0,-8,-53.3,-35301,-23.8,0,0.0,0,0.0,144,16.0
"31093","1","1028","73","0","2016","2","","Howard County, Nebraska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,8,8,74299,0,0,714,"",5.60,0.47,0.46,0.45,0.35,0.00,0.00,0.76,"",0,0.0,-4,-33.3,-4,-33.3,-3,-27.3,-49217,-39.8,0,0.0,0,0.0,-100,-12.3
"31093","1","1028","73","0","2016","3","","Howard County, Nebraska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,7,11,98857,0,0,913,"",3.74,0.39,0.40,0.64,0.40,0.00,0.00,0.84,"",-1,-33.3,-4,-36.4,-4,-36.4,0,0.0,-47757,-32.6,0,0.0,0,0.0,-112,-10.9
"31093","1","1028","73","0","2016","4","","Howard County, Nebraska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,9,15,107893,0,0,754,"",3.84,0.53,0.54,0.90,0.47,0.00,0.00,0.72,"",-1,-33.3,-5,-35.7,-2,-18.2,0,0.0,-13495,-11.1,0,0.0,0,0.0,54,7.7
"31093","1","48-49","74","0","2016","1","","Howard County, Nebraska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,22,20,20,185384,0,0,690,"",9.40,3.19,2.87,2.84,3.18,0.00,0.00,1.08,"",0,0.0,2,10.0,3,17.6,1,5.3,-20784,-10.1,0,0.0,0,0.0,-160,-18.8
"31093","1","48-49","74","0","2016","2","","Howard County, Nebraska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,22,22,22,186526,0,0,652,"",9.38,3.17,3.08,3.02,3.17,0.00,0.00,1.02,"",0,0.0,-1,-4.3,2,10.0,4,22.2,-6667,-3.5,0,0.0,0,0.0,-79,-10.8
"31093","1","48-49","74","0","2016","3","","Howard County, Nebraska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,21,21,21,222491,0,0,815,"",9.44,2.92,2.93,2.97,3.27,0.00,0.00,1.11,"",0,0.0,3,16.7,3,16.7,3,16.7,-824,-0.4,0,0.0,0,0.0,-139,-14.6
"31093","1","48-49","74","0","2016","4","","Howard County, Nebraska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,22,19,22,223697,0,0,819,"",9.69,3.17,2.80,3.10,3.08,0.00,0.00,1.02,"",0,0.0,2,10.0,-3,-13.6,3,15.8,6204,2.9,0,0.0,0,0.0,-4,-0.5
"31093","1","491","75","0","2016","1","","Howard County, Nebraska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,22,20,20,185384,0,0,690,"",9.47,3.26,2.93,2.90,3.35,0.00,0.00,1.11,"",0,0.0,2,10.0,3,17.6,1,5.3,-20784,-10.1,0,0.0,0,0.0,-160,-18.8
"31093","1","491","75","0","2016","2","","Howard County, Nebraska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,22,22,22,186526,0,0,652,"",9.45,3.24,3.15,3.08,3.31,0.00,0.00,1.05,"",0,0.0,-1,-4.3,2,10.0,4,22.2,-6667,-3.5,0,0.0,0,0.0,-79,-10.8
"31093","1","491","75","0","2016","3","","Howard County, Nebraska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,21,21,21,222491,0,0,815,"",9.50,2.99,2.99,3.04,3.42,0.00,0.00,1.14,"",0,0.0,3,16.7,3,16.7,3,16.7,-824,-0.4,0,0.0,0,0.0,-139,-14.6
"31093","1","491","75","0","2016","4","","Howard County, Nebraska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,22,19,22,223697,0,0,819,"",9.75,3.24,2.86,3.16,3.20,0.00,0.00,1.03,"",0,0.0,2,10.0,-3,-13.6,3,15.8,6204,2.9,0,0.0,0,0.0,-4,-0.5
