"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"31109","0","10","70","0","2016","1","","Lancaster County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10036,164728,165195,166780,1725747685,760071518,7326664,802,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",120,1.2,3113,1.9,2651,1.6,3433,2.1,42317184,2.5,19643421,2.7,-924515,-11.2,5,0.6
"31109","0","10","70","0","2016","2","","Lancaster County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10175,168234,168937,168893,1726329250,232694841,2617368,787,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",119,1.2,2758,1.7,2809,1.7,2296,1.4,50477234,3.0,9306410,4.2,-213074,-7.5,11,1.4
"31109","0","10","70","0","2016","3","","Lancaster County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10303,169142,169086,170339,1858517346,148149658,1661816,843,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",500,5.1,2555,1.5,2140,1.3,2992,1.8,128764956,7.4,3947436,2.7,-173381,-9.4,46,5.8
"31109","0","10","70","0","2016","4","","Lancaster County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10074,170294,171053,169256,1886632411,117864625,1295278,853,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",135,1.4,1867,1.1,2222,1.3,418,0.2,15672522,0.8,-4994597,-4.1,-189632,-12.8,0,0.0
"31109","1","10","71","0","2016","1","","Lancaster County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",54,3212,3189,3189,55184698,0,0,1328,"",0.85,0.98,0.97,0.97,1.12,0.00,0.00,1.15,"",-4,-6.9,93,3.0,47,1.5,19,0.6,-1934148,-3.4,0,0.0,0,0.0,-70,-5.0
"31109","1","10","71","0","2016","2","","Lancaster County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",55,3144,3194,3201,49529891,0,0,1198,"",0.87,0.95,0.97,0.96,1.05,0.00,0.00,1.09,"",-2,-3.5,7,0.2,1,0.0,-22,-0.7,86932,0.2,0,0.0,0,0.0,4,0.3
"31109","1","10","71","0","2016","3","","Lancaster County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",55,3207,3160,3185,58760700,0,0,1420,"",0.86,0.95,0.94,0.95,1.02,0.00,0.00,1.07,"",-2,-3.5,-18,-0.6,-69,-2.1,-14,-0.4,2759776,4.9,0,0.0,0,0.0,81,6.0
"31109","1","10","71","0","2016","4","","Lancaster County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",54,3186,3179,3144,54495799,0,0,1323,"",0.87,0.96,0.95,0.94,1.02,0.00,0.00,1.08,"",-2,-3.6,-27,-0.8,-44,-1.4,-69,-2.1,3777733,7.4,0,0.0,0,0.0,110,9.1
"31109","1","102","72","0","2016","1","","Lancaster County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",54,3212,3189,3189,55184698,0,0,1328,"",0.86,1.00,0.99,0.99,1.14,0.00,0.00,1.15,"",-4,-6.9,93,3.0,47,1.5,19,0.6,-1934148,-3.4,0,0.0,0,0.0,-70,-5.0
"31109","1","102","72","0","2016","2","","Lancaster County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,3144,3194,3201,49529891,0,0,1198,"",0.87,0.97,0.98,0.98,1.06,0.00,0.00,1.09,"",-2,-3.5,7,0.2,1,0.0,-22,-0.7,86932,0.2,0,0.0,0,0.0,4,0.3
"31109","1","102","72","0","2016","3","","Lancaster County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,3207,3160,3185,58760700,0,0,1420,"",0.86,0.97,0.96,0.97,1.04,0.00,0.00,1.08,"",-2,-3.5,-18,-0.6,-69,-2.1,-14,-0.4,2759776,4.9,0,0.0,0,0.0,81,6.0
"31109","1","102","72","0","2016","4","","Lancaster County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",54,3186,3179,3144,54495799,0,0,1323,"",0.87,0.98,0.97,0.96,1.04,0.00,0.00,1.08,"",-2,-3.6,-27,-0.8,-44,-1.4,-69,-2.1,3777733,7.4,0,0.0,0,0.0,110,9.1
"31109","1","1021","73","0","2016","1","","Lancaster County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,528,523,534,6895813,0,0,1004,"",0.63,0.67,0.66,0.66,0.81,0.00,0.00,1.22,"",-1,-4.8,15,2.9,1,0.2,6,1.1,-1303489,-15.9,0,0.0,0,0.0,-207,-17.1
"31109","1","1021","73","0","2016","2","","Lancaster County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,520,540,540,6784091,0,0,978,"",0.63,0.65,0.67,0.67,0.79,0.00,0.00,1.19,"",-1,-4.8,28,5.7,20,3.8,13,2.5,59818,0.9,0,0.0,0,0.0,-30,-3.0
"31109","1","1021","73","0","2016","3","","Lancaster County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,541,527,536,7911714,0,0,1138,"",0.63,0.67,0.65,0.66,0.76,0.00,0.00,1.16,"",-1,-4.8,14,2.7,-8,-1.5,-1,-0.2,138659,1.8,0,0.0,0,0.0,16,1.4
"31109","1","1021","73","0","2016","4","","Lancaster County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,540,541,536,8483723,0,0,1211,"",0.65,0.67,0.67,0.64,0.79,0.00,0.00,1.19,"",-1,-4.8,16,3.1,6,1.1,1,0.2,220035,2.7,0,0.0,0,0.0,15,1.3
"31109","1","1023","73","0","2016","1","","Lancaster County, Nebraska","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,25,25,24,530260,0,0,1654,"",2.39,1.57,1.59,1.53,1.44,0.00,0.00,0.92,"",0,0.0,-2,-7.4,-3,-10.7,-5,-17.2,-63345,-10.7,0,0.0,0,0.0,23,1.4
"31109","1","1023","73","0","2016","2","","Lancaster County, Nebraska","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,24,24,25,443686,0,0,1403,"",2.39,1.53,1.54,1.59,1.37,0.00,0.00,0.88,"",0,0.0,-6,-20.0,-5,-17.2,-4,-13.8,-79020,-15.1,0,0.0,0,0.0,32,2.3
"31109","1","1023","73","0","2016","3","","Lancaster County, Nebraska","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,26,27,27,578606,0,0,1669,"",2.38,1.64,1.73,1.75,1.54,0.00,0.00,0.90,"",0,0.0,-3,-10.3,0,0.0,1,3.8,4596,0.8,0,0.0,0,0.0,54,3.3
"31109","1","1023","73","0","2016","4","","Lancaster County, Nebraska","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,28,28,28,497316,0,0,1366,"",1.22,1.81,1.81,1.83,1.53,0.00,0.00,0.84,"",-1,-50.0,2,7.7,3,12.0,3,12.0,36670,8.0,0,0.0,0,0.0,-33,-2.4
"31109","1","1025","73","0","2016","1","","Lancaster County, Nebraska","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,242,240,244,4213568,0,0,1339,"",0.71,0.51,0.50,0.51,0.64,0.00,0.00,1.26,"",0,0.0,-4,-1.6,-3,-1.2,-2,-0.8,-450452,-9.7,0,0.0,0,0.0,-125,-8.5
"31109","1","1025","73","0","2016","2","","Lancaster County, Nebraska","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,245,244,245,3946885,0,0,1241,"",0.70,0.51,0.51,0.51,0.59,0.00,0.00,1.16,"",0,0.0,6,2.5,6,2.5,3,1.2,102756,2.7,0,0.0,0,0.0,7,0.6
"31109","1","1025","73","0","2016","3","","Lancaster County, Nebraska","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,243,240,247,4653514,0,0,1471,"",0.69,0.50,0.50,0.51,0.58,0.00,0.00,1.14,"",0,0.0,1,0.4,3,1.3,7,2.9,246125,5.6,0,0.0,0,0.0,56,4.0
"31109","1","1025","73","0","2016","4","","Lancaster County, Nebraska","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,244,245,236,4637227,0,0,1476,"",0.71,0.51,0.51,0.49,0.60,0.00,0.00,1.20,"",0,0.0,0,0.0,3,1.2,-10,-4.1,684838,17.3,0,0.0,0,0.0,230,18.5
"31109","1","1026","73","0","2016","1","","Lancaster County, Nebraska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,29,30,30,503454,0,0,1305,"",0.61,0.52,0.54,0.52,0.98,0.00,0.00,1.86,"",-1,-50.0,-3,-9.4,-2,-6.2,-3,-9.1,-51505,-9.3,0,0.0,0,0.0,-15,-1.1
"31109","1","1026","73","0","2016","2","","Lancaster County, Nebraska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,32,33,38,452091,0,0,1013,"",0.61,0.55,0.54,0.57,0.86,0.00,0.00,1.56,"",0,0.0,-2,-5.9,-1,-2.9,2,5.6,-17138,-3.7,0,0.0,0,0.0,-28,-2.7
