"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"31121","0","10","70","0","2016","1","","Merrick County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",288,2195,2208,2247,19800530,9294636,105508,687,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-4.3,-76,-3.3,-70,-3.1,-38,-1.7,295337,1.5,-583619,-5.9,-32105,-23.3,28,4.2
"31121","0","10","70","0","2016","2","","Merrick County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",293,2265,2307,2301,19948096,3219517,49050,670,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-2.7,-35,-1.5,-43,-1.8,-73,-3.1,89643,0.5,35366,1.1,4216,9.4,18,2.8
"31121","0","10","70","0","2016","3","","Merrick County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",295,2256,2260,2276,20229881,2179089,30008,687,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.0,-40,-1.7,-44,-1.9,9,0.4,772176,4.0,144262,7.1,431,1.5,33,5.0
"31121","0","10","70","0","2016","4","","Merrick County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",292,2268,2270,2301,22349510,1487420,15526,754,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.3,-6,-0.3,-17,-0.7,19,0.8,-1013273,-4.3,24392,1.7,-3975,-20.4,-34,-4.3
"31121","1","10","71","0","2016","1","","Merrick County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,21,22,23,235587,0,0,824,"",3.86,0.48,0.50,0.52,0.42,0.00,0.00,0.83,"",0,0.0,-6,-22.2,-6,-21.4,0,0.0,-46759,-16.6,0,0.0,0,0.0,-11,-1.3
"31121","1","10","71","0","2016","2","","Merrick County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,22,22,22,228961,0,0,801,"",3.83,0.50,0.49,0.49,0.42,0.00,0.00,0.85,"",0,0.0,-2,-8.3,-2,-8.3,-3,-12.0,-23312,-9.2,0,0.0,0,0.0,4,0.5
"31121","1","10","71","0","2016","3","","Merrick County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,21,22,21,269409,0,0,971,"",3.84,0.47,0.49,0.47,0.43,0.00,0.00,0.90,"",0,0.0,-3,-12.5,-4,-15.4,-4,-16.0,-26041,-8.8,0,0.0,0,0.0,62,6.8
"31121","1","10","71","0","2016","4","","Merrick County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,21,21,23,228831,0,0,812,"",3.90,0.47,0.47,0.51,0.36,0.00,0.00,0.75,"",0,0.0,-2,-8.7,-3,-12.5,0,0.0,-23858,-9.4,0,0.0,0,0.0,-21,-2.5
"31121","1","102","72","0","2016","1","","Merrick County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,21,22,23,235587,0,0,824,"",3.87,0.49,0.51,0.53,0.43,0.00,0.00,0.83,"",0,0.0,-6,-22.2,-6,-21.4,0,0.0,-46759,-16.6,0,0.0,0,0.0,-11,-1.3
"31121","1","102","72","0","2016","2","","Merrick County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,22,22,22,228961,0,0,801,"",3.84,0.51,0.50,0.49,0.43,0.00,0.00,0.85,"",0,0.0,-2,-8.3,-2,-8.3,-3,-12.0,-23312,-9.2,0,0.0,0,0.0,4,0.5
