"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"33003","0","10","70","0","2016","1","","Carroll County, New Hampshire","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1986,19237,19257,18860,156669207,92931275,760012,630,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,1.2,-117,-0.6,7,0.0,-210,-1.1,2346607,1.5,109465,0.1,-29390,-3.7,13,2.1
"33003","0","10","70","0","2016","2","","Carroll County, New Hampshire","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2002,18418,19359,21017,174316502,55595842,549657,684,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,0.5,106,0.6,-16,-0.1,-13,-0.1,5414728,3.2,1040734,1.9,-182699,-24.9,20,3.0
"33003","0","10","70","0","2016","3","","Carroll County, New Hampshire","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2007,22217,21826,20804,190488654,43834055,388955,678,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.2,504,2.3,174,0.8,565,2.8,16785254,9.7,2091480,5.0,-115518,-22.9,48,7.6
"33003","0","10","70","0","2016","4","","Carroll County, New Hampshire","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2005,20016,19378,19599,192577940,22566956,185138,753,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,348,1.8,383,2.0,561,2.9,2241320,1.2,-573886,-2.5,-10388,-5.3,-8,-1.1
"33003","1","10","71","0","2016","1","","Carroll County, New Hampshire","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,123,118,121,1454408,0,0,927,"",2.56,0.32,0.31,0.32,0.33,0.00,0.00,1.02,"",0,0.0,3,2.5,0,0.0,5,4.3,-196466,-11.9,0,0.0,0,0.0,-149,-13.8
"33003","1","10","71","0","2016","2","","Carroll County, New Hampshire","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,118,116,136,1438455,0,0,897,"",2.56,0.33,0.31,0.33,0.30,0.00,0.00,0.94,"",0,0.0,-2,-1.7,-1,-0.9,0,0.0,-43399,-2.9,0,0.0,0,0.0,-20,-2.2
"33003","1","10","71","0","2016","3","","Carroll County, New Hampshire","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,140,133,139,1901696,0,0,1065,"",2.58,0.32,0.31,0.34,0.32,0.00,0.00,1.00,"",0,0.0,6,4.5,-3,-2.2,2,1.5,16990,0.9,0,0.0,0,0.0,-4,-0.4
"33003","1","10","71","0","2016","4","","Carroll County, New Hampshire","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,135,129,123,1788037,0,0,1066,"",2.60,0.35,0.34,0.32,0.33,0.00,0.00,0.98,"",0,0.0,6,4.7,8,6.6,-2,-1.6,118260,7.1,0,0.0,0,0.0,38,3.7
"33003","1","102","72","0","2016","1","","Carroll County, New Hampshire","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",32,123,118,121,1454408,0,0,927,"",2.56,0.33,0.32,0.33,0.33,0.00,0.00,1.02,"",0,0.0,3,2.5,0,0.0,5,4.3,-196466,-11.9,0,0.0,0,0.0,-149,-13.8
"33003","1","102","72","0","2016","2","","Carroll County, New Hampshire","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",32,118,116,136,1438455,0,0,897,"",2.57,0.33,0.31,0.33,0.31,0.00,0.00,0.94,"",0,0.0,-2,-1.7,-1,-0.9,0,0.0,-43399,-2.9,0,0.0,0,0.0,-20,-2.2
