"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"33013","0","10","70","0","2016","1","","Merrimack County, New Hampshire","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5033,75638,75959,75743,892851626,413666124,3410324,906,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,0.4,707,0.9,1069,1.4,925,1.2,44410066,5.2,11030476,2.7,-221853,-6.1,34,3.9
"33013","0","10","70","0","2016","2","","Merrimack County, New Hampshire","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5087,75949,76635,77049,903122666,167498955,1632156,908,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",27,0.5,467,0.6,749,1.0,716,0.9,10417926,1.2,2076391,1.3,-699708,-30.0,3,0.3
"33013","0","10","70","0","2016","3","","Merrimack County, New Hampshire","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5097,75608,75509,77194,944196275,91937841,803647,954,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.0,686,0.9,730,1.0,1405,1.9,74488774,8.6,1853066,2.1,-311019,-27.9,64,7.2
"33013","0","10","70","0","2016","4","","Merrimack County, New Hampshire","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5091,76853,77161,77506,1020000479,65018305,541063,1017,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.1,329,0.4,306,0.4,651,0.8,-24808372,-2.4,-4386013,-6.3,-63772,-10.5,-30,-2.9
"33013","1","10","71","0","2016","1","","Merrimack County, New Hampshire","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",53,803,807,799,16168943,0,0,1549,"",1.67,0.53,0.54,0.53,0.64,0.00,0.00,1.19,"",0,0.0,18,2.3,26,3.3,27,3.5,315404,2.0,0,0.0,0,0.0,-16,-1.0
"33013","1","10","71","0","2016","2","","Merrimack County, New Hampshire","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",54,800,797,808,14374262,0,0,1379,"",1.70,0.54,0.53,0.53,0.58,0.00,0.00,1.08,"",2,3.8,12,1.5,19,2.4,9,1.1,68818,0.5,0,0.0,0,0.0,-17,-1.2
"33013","1","10","71","0","2016","3","","Merrimack County, New Hampshire","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",54,801,809,808,16898147,0,0,1613,"",1.71,0.53,0.54,0.53,0.58,0.00,0.00,1.08,"",2,3.8,-10,-1.2,4,0.5,20,2.5,979018,6.1,0,0.0,0,0.0,85,5.6
"33013","1","10","71","0","2016","4","","Merrimack County, New Hampshire","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",53,815,805,806,15814556,0,0,1504,"",1.70,0.54,0.54,0.53,0.55,0.00,0.00,1.03,"",1,1.9,29,3.7,10,1.3,0,0.0,409811,2.7,0,0.0,0,0.0,15,1.0
"33013","1","102","72","0","2016","1","","Merrimack County, New Hampshire","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",53,803,807,799,16168943,0,0,1549,"",1.68,0.54,0.55,0.54,0.65,0.00,0.00,1.19,"",0,0.0,18,2.3,26,3.3,27,3.5,315404,2.0,0,0.0,0,0.0,-16,-1.0
"33013","1","102","72","0","2016","2","","Merrimack County, New Hampshire","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",54,800,797,808,14374262,0,0,1379,"",1.71,0.55,0.54,0.54,0.59,0.00,0.00,1.08,"",2,3.8,12,1.5,19,2.4,9,1.1,68818,0.5,0,0.0,0,0.0,-17,-1.2
"33013","1","102","72","0","2016","3","","Merrimack County, New Hampshire","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",54,801,809,808,16898147,0,0,1613,"",1.72,0.54,0.55,0.54,0.59,0.00,0.00,1.08,"",2,3.8,-10,-1.2,4,0.5,20,2.5,979018,6.1,0,0.0,0,0.0,85,5.6
"33013","1","102","72","0","2016","4","","Merrimack County, New Hampshire","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",53,815,805,806,15814556,0,0,1504,"",1.70,0.55,0.55,0.54,0.56,0.00,0.00,1.03,"",1,1.9,29,3.7,10,1.3,0,0.0,409811,2.7,0,0.0,0,0.0,15,1.0
"33013","1","1021","73","0","2016","1","","Merrimack County, New Hampshire","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,218,213,218,2861824,0,0,1018,"",1.33,0.60,0.58,0.60,0.65,0.00,0.00,1.10,"",0,0.0,3,1.4,-1,-0.5,3,1.4,-586356,-17.0,0,0.0,0,0.0,-218,-17.6
"33013","1","1021","73","0","2016","2","","Merrimack County, New Hampshire","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,216,214,218,2744831,0,0,978,"",1.32,0.60,0.59,0.59,0.61,0.00,0.00,1.03,"",0,0.0,-2,-0.9,-4,-1.8,2,0.9,-59552,-2.1,0,0.0,0,0.0,-15,-1.5
"33013","1","1021","73","0","2016","3","","Merrimack County, New Hampshire","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,215,221,225,3336846,0,0,1165,"",1.34,0.59,0.61,0.61,0.63,0.00,0.00,1.05,"",0,0.0,-3,-1.4,6,2.8,8,3.7,25098,0.8,0,0.0,0,0.0,-11,-0.9
"33013","1","1021","73","0","2016","4","","Merrimack County, New Hampshire","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,223,217,216,3687444,0,0,1297,"",1.28,0.61,0.59,0.56,0.63,0.00,0.00,1.07,"",-1,-4.8,7,3.2,-3,-1.4,-7,-3.1,277792,8.1,0,0.0,0,0.0,103,8.6
"33013","1","1023","73","0","2016","1","","Merrimack County, New Hampshire","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,50,51,49,1347189,0,0,2073,"",4.76,6.85,7.05,6.87,7.07,0.00,0.00,1.02,"",0,0.0,7,16.3,9,21.4,6,14.0,119224,9.7,0,0.0,0,0.0,-141,-6.4
"33013","1","1023","73","0","2016","2","","Merrimack County, New Hampshire","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,48,48,48,1153302,0,0,1848,"",4.77,6.79,6.81,6.67,6.80,0.00,0.00,1.00,"",0,0.0,0,0.0,2,4.3,-2,-4.0,36292,3.2,0,0.0,0,0.0,58,3.2
"33013","1","1023","73","0","2016","3","","Merrimack County, New Hampshire","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,48,48,48,1368289,0,0,2193,"",4.80,6.79,6.88,6.87,7.16,0.00,0.00,1.05,"",0,0.0,-2,-4.0,-1,-2.0,0,0.0,70002,5.4,0,0.0,0,0.0,155,7.6
"33013","1","1023","73","0","2016","4","","Merrimack County, New Hampshire","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,49,49,49,1203678,0,0,1890,"",4.84,7.02,7.01,6.99,6.86,0.00,0.00,0.98,"",0,0.0,1,2.1,1,2.1,1,2.1,112510,10.3,0,0.0,0,0.0,141,8.1
"33013","1","1024","73","0","2016","1","","Merrimack County, New Hampshire","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,12,12,238312,0,0,1618,"",1.29,0.29,0.35,0.35,0.36,0.00,0.00,1.09,"",0,0.0,-3,-23.1,-1,-7.7,-1,-7.7,21394,9.9,0,0.0,0,0.0,334,26.0
"33013","1","1024","73","0","2016","2","","Merrimack County, New Hampshire","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,14,201021,0,0,1289,"",1.29,0.32,0.32,0.40,0.32,0.00,0.00,0.93,"",0,0.0,-2,-15.4,-1,-8.3,-1,-6.7,-36479,-15.4,0,0.0,0,0.0,-81,-5.9
"33013","1","1024","73","0","2016","3","","Merrimack County, New Hampshire","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,14,14,12,237511,0,0,1370,"",1.30,0.40,0.40,0.34,0.32,0.00,0.00,0.83,"",0,0.0,-1,-6.7,-1,-6.7,0,0.0,14240,6.4,0,0.0,0,0.0,143,11.7
"33013","1","1024","73","0","2016","4","","Merrimack County, New Hampshire","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,10,184399,0,0,1330,"",1.31,0.32,0.32,0.29,0.27,0.00,0.00,0.87,"",0,0.0,0,0.0,1,10.0,0,0.0,-33485,-15.4,0,0.0,0,0.0,-292,-18.0
"33013","1","1028","73","0","2016","1","","Merrimack County, New Hampshire","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",29,525,531,520,11721618,0,0,1716,"",2.24,0.64,0.65,0.64,0.74,0.00,0.00,1.14,"",0,0.0,11,2.1,19,3.7,19,3.8,761142,6.9,0,0.0,0,0.0,60,3.6
"33013","1","1028","73","0","2016","2","","Merrimack County, New Hampshire","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",30,525,524,528,10275108,0,0,1504,"",2.32,0.65,0.64,0.64,0.68,0.00,0.00,1.05,"",2,7.1,16,3.1,22,4.4,10,1.9,128557,1.3,0,0.0,0,0.0,-27,-1.8
"33013","1","1028","73","0","2016","3","","Merrimack County, New Hampshire","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",30,524,526,523,11955501,0,0,1754,"",2.34,0.64,0.65,0.63,0.66,0.00,0.00,1.04,"",2,7.1,-4,-0.8,0,0.0,12,2.3,869678,7.8,0,0.0,0,0.0,119,7.3
"33013","1","1028","73","0","2016","4","","Merrimack County, New Hampshire","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",30,532,528,531,10739035,0,0,1558,"",2.36,0.65,0.65,0.64,0.63,0.00,0.00,0.98,"",2,7.1,21,4.1,11,2.1,6,1.1,52994,0.5,0,0.0,0,0.0,-30,-1.9
"33013","1","48-49","74","0","2016","1","","Merrimack County, New Hampshire","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,218,213,218,2861824,0,0,1018,"",1.37,0.66,0.64,0.65,0.70,0.00,0.00,1.08,"",0,0.0,3,1.4,-1,-0.5,3,1.4,-586356,-17.0,0,0.0,0,0.0,-218,-17.6
"33013","1","48-49","74","0","2016","2","","Merrimack County, New Hampshire","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,216,214,218,2744831,0,0,978,"",1.36,0.66,0.64,0.65,0.66,0.00,0.00,1.01,"",0,0.0,-2,-0.9,-4,-1.8,2,0.9,-59552,-2.1,0,0.0,0,0.0,-15,-1.5
"33013","1","48-49","74","0","2016","3","","Merrimack County, New Hampshire","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,215,221,225,3336846,0,0,1165,"",1.37,0.65,0.67,0.67,0.68,0.00,0.00,1.02,"",0,0.0,-3,-1.4,6,2.8,8,3.7,25098,0.8,0,0.0,0,0.0,-11,-0.9
"33013","1","48-49","74","0","2016","4","","Merrimack County, New Hampshire","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",20,223,217,216,3687444,0,0,1297,"",1.32,0.67,0.65,0.62,0.68,0.00,0.00,1.06,"",-1,-4.8,7,3.2,-3,-1.4,-7,-3.1,277792,8.1,0,0.0,0,0.0,103,8.6
"33013","1","491","75","0","2016","1","","Merrimack County, New Hampshire","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,218,213,218,2861824,0,0,1018,"",1.38,0.67,0.65,0.67,0.73,0.00,0.00,1.11,"",0,0.0,3,1.4,-1,-0.5,3,1.4,-586356,-17.0,0,0.0,0,0.0,-218,-17.6
"33013","1","491","75","0","2016","2","","Merrimack County, New Hampshire","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,216,214,218,2744831,0,0,978,"",1.37,0.67,0.66,0.66,0.69,0.00,0.00,1.04,"",0,0.0,-2,-0.9,-4,-1.8,2,0.9,-59552,-2.1,0,0.0,0,0.0,-15,-1.5
