"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"35037","0","10","70","0","2016","1","","Quay County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",316,2477,2530,2559,18622829,8637544,189518,568,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,3.3,-123,-4.7,-79,-3.0,-45,-1.7,602586,3.3,-138291,-1.6,-10201,-5.1,36,6.8
"35037","0","10","70","0","2016","2","","Quay County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",321,2572,2569,2544,20322006,7849558,184230,610,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,4.2,-63,-2.4,-54,-2.1,-16,-0.6,307355,1.5,326284,4.3,-6394,-3.4,19,3.2
"35037","0","10","70","0","2016","3","","Quay County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",317,2372,2498,2563,18351682,6150794,147374,570,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,3.6,-42,-1.7,3,0.1,-43,-1.7,906691,5.2,213574,3.6,0,0.0,34,6.3
"35037","0","10","70","0","2016","4","","Quay County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",314,2524,2496,2515,19768104,4620117,86380,605,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.6,-85,-3.3,-113,-4.3,-80,-3.1,-161985,-0.8,-170319,-3.6,-34464,-28.5,16,2.7
"35037","1","10","71","0","2016","1","","Quay County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,31,32,34,299883,0,0,713,"",4.52,0.63,0.64,0.67,0.57,0.00,0.00,0.87,"",0,0.0,-4,-11.4,-1,-3.0,-1,-2.9,-36690,-10.9,0,0.0,0,0.0,-41,-5.4
"35037","1","10","71","0","2016","2","","Quay County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,34,32,31,283990,0,0,676,"",4.50,0.68,0.64,0.62,0.51,0.00,0.00,0.79,"",0,0.0,2,6.2,2,6.7,3,10.7,3113,1.1,0,0.0,0,0.0,-44,-6.1
"35037","1","10","71","0","2016","3","","Quay County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,35,32,27,312515,0,0,767,"",4.59,0.74,0.65,0.54,0.55,0.00,0.00,0.86,"",0,0.0,3,9.4,0,0.0,-1,-3.6,-18079,-5.5,0,0.0,0,0.0,-62,-7.5
"35037","1","10","71","0","2016","4","","Quay County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,30,26,30,298064,0,0,800,"",4.67,0.61,0.53,0.61,0.53,0.00,0.00,0.92,"",0,0.0,3,11.1,-5,-16.1,-4,-11.8,-9425,-3.1,0,0.0,0,0.0,29,3.8
"35037","1","102","72","0","2016","1","","Quay County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,31,32,34,299883,0,0,713,"",4.53,0.64,0.65,0.68,0.58,0.00,0.00,0.87,"",0,0.0,-4,-11.4,-1,-3.0,-1,-2.9,-36690,-10.9,0,0.0,0,0.0,-41,-5.4
"35037","1","102","72","0","2016","2","","Quay County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,34,32,31,283990,0,0,676,"",4.50,0.69,0.65,0.63,0.52,0.00,0.00,0.79,"",0,0.0,2,6.2,2,6.7,3,10.7,3113,1.1,0,0.0,0,0.0,-44,-6.1
