"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"35039","0","10","70","0","2016","1","","Rio Arriba County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",775,9526,9575,9633,76721262,42943473,1125818,616,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",64,9.0,222,2.4,159,1.7,155,1.6,4979067,6.9,2964336,7.4,-127793,-10.2,29,4.9
"35039","0","10","70","0","2016","2","","Rio Arriba County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",774,9880,10070,10098,81231598,36550225,931968,624,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",58,8.1,39,0.4,3,0.0,-47,-0.5,31468,0.0,221207,0.6,-177169,-16.0,0,0.0
"35039","0","10","70","0","2016","3","","Rio Arriba County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",765,9604,9997,10026,81712815,29604083,786677,636,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,3.1,-26,-0.3,-14,-0.1,-15,-0.1,5943144,7.8,1586647,5.7,-86585,-9.9,47,8.0
"35039","0","10","70","0","2016","4","","Rio Arriba County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",770,9801,9709,9730,79541471,19719220,361523,628,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,2.8,-194,-1.9,-115,-1.2,45,0.5,-3958222,-4.7,-26243,-0.1,-229970,-38.9,-25,-3.8
"35039","1","10","71","0","2016","1","","Rio Arriba County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,285,274,284,3962874,0,0,1085,"",8.20,1.51,1.45,1.49,1.82,0.00,0.00,1.23,"",-1,-2.4,-5,-1.7,-12,-4.2,0,0.0,28578,0.7,0,0.0,0,0.0,29,2.7
"35039","1","10","71","0","2016","2","","Rio Arriba County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,306,309,303,3954056,0,0,994,"",8.29,1.58,1.57,1.53,1.77,0.00,0.00,1.14,"",-1,-2.4,6,2.0,-5,-1.6,-18,-5.6,-2944,-0.1,0,0.0,0,0.0,17,1.7
"35039","1","10","71","0","2016","3","","Rio Arriba County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,299,294,292,4830647,0,0,1260,"",8.46,1.57,1.49,1.48,1.91,0.00,0.00,1.26,"",0,0.0,-21,-6.6,-20,-6.4,-27,-8.5,-420886,-8.0,0,0.0,0,0.0,-12,-0.9
"35039","1","10","71","0","2016","4","","Rio Arriba County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",39,287,275,276,3883458,0,0,1069,"",8.25,1.50,1.45,1.44,1.73,0.00,0.00,1.18,"",-1,-2.5,-15,-5.0,-25,-8.3,-14,-4.8,-232559,-5.7,0,0.0,0,0.0,4,0.4
"35039","1","102","72","0","2016","1","","Rio Arriba County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",40,285,274,284,3962874,0,0,1085,"",8.21,1.53,1.47,1.52,1.85,0.00,0.00,1.23,"",-1,-2.4,-5,-1.7,-12,-4.2,0,0.0,28578,0.7,0,0.0,0,0.0,29,2.7
"35039","1","102","72","0","2016","2","","Rio Arriba County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",40,306,309,303,3954056,0,0,994,"",8.30,1.61,1.60,1.55,1.81,0.00,0.00,1.14,"",-1,-2.4,6,2.0,-5,-1.6,-18,-5.6,-2944,-0.1,0,0.0,0,0.0,17,1.7
"35039","1","102","72","0","2016","3","","Rio Arriba County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",40,299,294,292,4830647,0,0,1260,"",8.47,1.59,1.51,1.51,1.94,0.00,0.00,1.26,"",0,0.0,-21,-6.6,-20,-6.4,-27,-8.5,-420886,-8.0,0,0.0,0,0.0,-12,-0.9
"35039","1","102","72","0","2016","4","","Rio Arriba County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",39,287,275,276,3883458,0,0,1069,"",8.26,1.53,1.48,1.46,1.76,0.00,0.00,1.18,"",-1,-2.5,-15,-5.0,-25,-8.3,-14,-4.8,-232559,-5.7,0,0.0,0,0.0,4,0.4
"35039","1","1021","73","0","2016","1","","Rio Arriba County, New Mexico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,54,49,52,539611,0,0,803,"",9.45,1.18,1.06,1.12,1.42,0.00,0.00,1.27,"",-1,-4.2,-2,-3.6,-2,-3.9,0,0.0,-69096,-11.4,0,0.0,0,0.0,-80,-9.1
"35039","1","1021","73","0","2016","2","","Rio Arriba County, New Mexico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,50,53,52,538030,0,0,801,"",9.53,1.07,1.11,1.08,1.33,0.00,0.00,1.22,"",-1,-4.2,0,0.0,7,15.2,2,4.0,13250,2.5,0,0.0,0,0.0,-28,-3.4
"35039","1","1021","73","0","2016","3","","Rio Arriba County, New Mexico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,51,54,54,643655,0,0,934,"",9.74,1.11,1.13,1.13,1.41,0.00,0.00,1.26,"",0,0.0,0,0.0,6,12.5,-2,-3.6,401,0.1,0,0.0,0,0.0,-24,-2.5
"35039","1","1021","73","0","2016","4","","Rio Arriba County, New Mexico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,54,53,55,642451,0,0,915,"",9.75,1.16,1.15,1.15,1.41,0.00,0.00,1.23,"",0,0.0,3,5.9,4,8.2,3,5.8,-16148,-2.5,0,0.0,0,0.0,-85,-8.5
"35039","1","1024","73","0","2016","1","","Rio Arriba County, New Mexico","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,12,156921,0,0,953,"",8.40,2.98,2.98,2.74,2.72,0.00,0.00,0.94,"",0,0.0,4,44.4,4,44.4,3,33.3,57688,58.1,0,0.0,0,0.0,105,12.4
"35039","1","1024","73","0","2016","2","","Rio Arriba County, New Mexico","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,14,14,14,154219,0,0,847,"",8.47,3.13,3.08,3.03,2.73,0.00,0.00,0.88,"",0,0.0,3,27.3,1,7.7,-1,-6.7,5465,3.7,0,0.0,0,0.0,-33,-3.8
"35039","1","1024","73","0","2016","3","","Rio Arriba County, New Mexico","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,13,13,173419,0,0,976,"",8.65,3.35,2.81,2.84,2.67,0.00,0.00,0.89,"",0,0.0,0,0.0,-2,-13.3,-2,-13.3,22013,14.5,0,0.0,0,0.0,200,25.8
"35039","1","1024","73","0","2016","4","","Rio Arriba County, New Mexico","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,11,10,125495,0,0,878,"",8.64,2.70,2.51,2.27,2.33,0.00,0.00,0.93,"",0,0.0,0,0.0,-1,-8.3,-3,-23.1,-34831,-21.7,0,0.0,0,0.0,-122,-12.2
"35039","1","1025","73","0","2016","1","","Rio Arriba County, New Mexico","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,74,74,74,1025782,0,0,1066,"",9.14,2.69,2.68,2.68,3.50,0.00,0.00,1.30,"",0,0.0,1,1.4,2,2.8,-1,-1.3,213467,26.3,0,0.0,0,0.0,214,25.1
"35039","1","1025","73","0","2016","2","","Rio Arriba County, New Mexico","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,74,71,71,1031682,0,0,1102,"",9.18,2.63,2.49,2.49,3.30,0.00,0.00,1.30,"",0,0.0,-1,-1.3,-4,-5.3,-7,-9.0,-32287,-3.0,0,0.0,0,0.0,25,2.3
"35039","1","1025","73","0","2016","3","","Rio Arriba County, New Mexico","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,72,71,74,1187529,0,0,1263,"",9.30,2.63,2.49,2.60,3.35,0.00,0.00,1.30,"",0,0.0,-7,-8.9,-7,-9.0,-6,-7.5,-127922,-9.7,0,0.0,0,0.0,-18,-1.4
"35039","1","1025","73","0","2016","4","","Rio Arriba County, New Mexico","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,74,75,76,1201787,0,0,1233,"",9.26,2.67,2.72,2.75,3.69,0.00,0.00,1.36,"",0,0.0,-4,-5.1,-2,-2.6,1,1.3,-47608,-3.8,0,0.0,0,0.0,-21,-1.7
"35039","1","1028","73","0","2016","1","","Rio Arriba County, New Mexico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,144,138,146,2240560,0,0,1208,"",7.54,1.39,1.34,1.41,1.64,0.00,0.00,1.19,"",0,0.0,-8,-5.3,-16,-10.4,-2,-1.4,-173481,-7.2,0,0.0,0,0.0,-19,-1.5
"35039","1","1028","73","0","2016","2","","Rio Arriba County, New Mexico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,168,171,166,2230125,0,0,1019,"",7.64,1.59,1.60,1.53,1.63,0.00,0.00,1.03,"",0,0.0,4,2.4,-9,-5.0,-12,-6.7,10628,0.5,0,0.0,0,0.0,38,3.9
"35039","1","1028","73","0","2016","3","","Rio Arriba County, New Mexico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,161,156,151,2826044,0,0,1394,"",7.78,1.55,1.45,1.41,1.82,0.00,0.00,1.24,"",0,0.0,-14,-8.0,-17,-9.8,-17,-10.1,-315378,-10.0,0,0.0,0,0.0,-11,-0.8
"35039","1","1028","73","0","2016","4","","Rio Arriba County, New Mexico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,147,136,135,1913725,0,0,1057,"",7.27,1.41,1.32,1.31,1.44,0.00,0.00,1.07,"",-1,-6.7,-14,-8.7,-26,-16.0,-15,-10.0,-133972,-6.5,0,0.0,0,0.0,58,5.8
"35039","1","48-49","74","0","2016","1","","Rio Arriba County, New Mexico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",23,54,49,52,539611,0,0,803,"",9.72,1.29,1.16,1.22,1.53,0.00,0.00,1.25,"",-1,-4.2,-2,-3.6,-2,-3.9,0,0.0,-69096,-11.4,0,0.0,0,0.0,-80,-9.1
"35039","1","48-49","74","0","2016","2","","Rio Arriba County, New Mexico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",23,50,53,52,538030,0,0,801,"",9.81,1.17,1.21,1.18,1.43,0.00,0.00,1.21,"",-1,-4.2,0,0.0,7,15.2,2,4.0,13250,2.5,0,0.0,0,0.0,-28,-3.4
"35039","1","48-49","74","0","2016","3","","Rio Arriba County, New Mexico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",23,51,54,54,643655,0,0,934,"",10.02,1.21,1.23,1.23,1.51,0.00,0.00,1.23,"",0,0.0,0,0.0,6,12.5,-2,-3.6,401,0.1,0,0.0,0,0.0,-24,-2.5
"35039","1","48-49","74","0","2016","4","","Rio Arriba County, New Mexico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",23,54,53,55,642451,0,0,915,"",10.03,1.27,1.26,1.25,1.52,0.00,0.00,1.21,"",0,0.0,3,5.9,4,8.2,3,5.8,-16148,-2.5,0,0.0,0,0.0,-85,-8.5
"35039","1","491","75","0","2016","1","","Rio Arriba County, New Mexico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,54,49,52,539611,0,0,803,"",9.79,1.32,1.19,1.25,1.61,0.00,0.00,1.29,"",-1,-4.2,-2,-3.6,-2,-3.9,0,0.0,-69096,-11.4,0,0.0,0,0.0,-80,-9.1
"35039","1","491","75","0","2016","2","","Rio Arriba County, New Mexico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,50,53,52,538030,0,0,801,"",9.88,1.19,1.24,1.21,1.50,0.00,0.00,1.23,"",-1,-4.2,0,0.0,7,15.2,2,4.0,13250,2.5,0,0.0,0,0.0,-28,-3.4
