"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"35043","0","10","70","0","2016","1","","Sandoval County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2239,29041,29369,29245,284664159,191805627,6614999,749,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",97,4.5,371,1.3,537,1.9,547,1.9,-18246378,-6.0,-8997936,-4.5,311627,4.9,-62,-7.6
"35043","0","10","70","0","2016","2","","Sandoval County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2254,29516,29826,29289,324209315,126956696,3926069,844,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",85,3.9,287,1.0,475,1.6,88,0.3,20103211,6.6,9179483,7.8,141970,3.8,45,5.6
"35043","0","10","70","0","2016","3","","Sandoval County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2243,28648,29098,29087,315418410,91597364,2599290,838,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,1.3,-208,-0.7,-36,-0.1,-162,-0.6,18720802,6.3,8001201,9.6,86002,3.4,53,6.8
"35043","0","10","70","0","2016","4","","Sandoval County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2258,29224,29518,28870,290663856,64476171,1270631,766,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",42,1.9,-477,-1.6,-57,-0.2,-538,-1.8,-24622943,-7.8,-515979,-0.8,-716444,-36.1,-54,-6.6
"35043","1","10","71","0","2016","1","","Sandoval County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,343,352,356,5064424,0,0,1112,"",1.84,0.59,0.61,0.62,0.63,0.00,0.00,1.03,"",-2,-7.1,-11,-3.1,-9,-2.5,3,0.8,-202090,-3.8,0,0.0,0,0.0,-26,-2.3
"35043","1","10","71","0","2016","2","","Sandoval County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,366,373,386,4730788,0,0,970,"",1.85,0.63,0.64,0.67,0.53,0.00,0.00,0.82,"",0,0.0,8,2.2,5,1.4,-1,-0.3,170161,3.7,0,0.0,0,0.0,24,2.5
"35043","1","10","71","0","2016","3","","Sandoval County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,313,386,382,5565585,0,0,1188,"",1.87,0.55,0.67,0.67,0.57,0.00,0.00,0.90,"",0,0.0,7,2.3,-6,-1.5,-5,-1.3,-51466,-0.9,0,0.0,0,0.0,-7,-0.6
"35043","1","10","71","0","2016","4","","Sandoval County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,377,368,360,5257939,0,0,1098,"",1.88,0.66,0.64,0.63,0.64,0.00,0.00,1.00,"",0,0.0,-4,-1.0,5,1.4,6,1.7,57426,1.1,0,0.0,0,0.0,5,0.5
"35043","1","102","72","0","2016","1","","Sandoval County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,343,352,356,5064424,0,0,1112,"",1.85,0.61,0.62,0.63,0.64,0.00,0.00,1.03,"",-2,-7.1,-11,-3.1,-9,-2.5,3,0.8,-202090,-3.8,0,0.0,0,0.0,-26,-2.3
"35043","1","102","72","0","2016","2","","Sandoval County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,366,373,386,4730788,0,0,970,"",1.85,0.64,0.65,0.68,0.54,0.00,0.00,0.82,"",0,0.0,8,2.2,5,1.4,-1,-0.3,170161,3.7,0,0.0,0,0.0,24,2.5
