"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"36053","0","10","70","0","2016","1","","Madison County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1607,20511,20890,20944,189394664,80601070,2672556,701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-23,-1.4,507,2.5,462,2.3,663,3.3,2193000,1.2,2377605,3.0,-409345,-13.3,-11,-1.5
"36053","0","10","70","0","2016","2","","Madison County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1623,21439,21511,21336,209893999,36662188,1353653,753,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,299,1.4,-156,-0.7,87,0.4,9259099,4.6,1619058,4.6,-148384,-9.9,30,4.1
"36053","0","10","70","0","2016","3","","Madison County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1631,20122,20352,21720,204127664,21260250,774028,757,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.2,61,0.3,176,0.9,-13,-0.1,10122468,5.2,759256,3.7,-109632,-12.4,35,4.8
"36053","0","10","70","0","2016","4","","Madison County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1638,21953,21770,21289,210699384,13588820,452233,748,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.4,46,0.2,-71,-0.3,-178,-0.8,-10434040,-4.7,-1353699,-9.1,-142274,-23.9,-35,-4.5
"36053","1","10","71","0","2016","1","","Madison County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,131,127,130,1418548,0,0,844,"",2.08,0.32,0.31,0.31,0.26,0.00,0.00,0.84,"",-3,-12.5,8,6.5,3,2.4,4,3.2,-310678,-18.0,0,0.0,0,0.0,-226,-21.1
"36053","1","10","71","0","2016","2","","Madison County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,128,131,129,1397429,0,0,831,"",2.07,0.31,0.31,0.31,0.24,0.00,0.00,0.79,"",-3,-12.5,-4,-3.0,5,4.0,2,1.6,-15208,-1.1,0,0.0,0,0.0,-16,-1.9
"36053","1","10","71","0","2016","3","","Madison County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,125,128,135,1667664,0,0,992,"",2.08,0.31,0.32,0.32,0.26,0.00,0.00,0.84,"",-2,-8.7,3,2.5,-3,-2.3,2,1.5,-36163,-2.1,0,0.0,0,0.0,-27,-2.6
"36053","1","10","71","0","2016","4","","Madison County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,132,135,140,1741615,0,0,987,"",2.19,0.31,0.32,0.33,0.29,0.00,0.00,0.92,"",0,0.0,5,3.9,6,4.7,8,6.1,59122,3.5,0,0.0,0,0.0,-14,-1.4
"36053","1","102","72","0","2016","1","","Madison County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,131,127,130,1418548,0,0,844,"",2.08,0.33,0.31,0.32,0.27,0.00,0.00,0.84,"",-3,-12.5,8,6.5,3,2.4,4,3.2,-310678,-18.0,0,0.0,0,0.0,-226,-21.1
"36053","1","102","72","0","2016","2","","Madison County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,128,131,129,1397429,0,0,831,"",2.08,0.31,0.32,0.31,0.25,0.00,0.00,0.79,"",-3,-12.5,-4,-3.0,5,4.0,2,1.6,-15208,-1.1,0,0.0,0,0.0,-16,-1.9
