"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"36063","0","10","70","0","2016","1","","Niagara County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4798,70615,70926,71443,701754399,312598555,11176228,760,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,0.0,73,0.1,545,0.8,764,1.1,4139924,0.6,11315394,3.8,-1532459,-12.1,-1,-0.1
"36063","0","10","70","0","2016","2","","Niagara County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4837,72667,74075,75206,759208632,131506733,5238035,789,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.1,586,0.8,-114,-0.2,-53,-0.1,37561956,5.2,4469249,3.5,-575033,-9.9,37,4.9
"36063","0","10","70","0","2016","3","","Niagara County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4894,72140,71706,74772,737125416,84258634,3419072,778,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.1,1,0.0,305,0.4,-77,-0.1,50280416,7.3,-928217,-1.1,-620771,-15.4,52,7.2
"36063","0","10","70","0","2016","4","","Niagara County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4915,74863,74007,73130,779446835,57583593,2136716,810,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,0.4,-29,0.0,-255,-0.3,-1022,-1.4,-18560283,-2.3,-3041067,-5.0,-505332,-19.1,-15,-1.8
"36063","1","10","71","0","2016","1","","Niagara County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,990,989,987,15151791,0,0,1179,"",0.99,0.71,0.70,0.70,0.76,0.00,0.00,1.08,"",-2,-6.2,29,3.0,36,3.8,28,2.9,-1149253,-7.1,0,0.0,0,0.0,-130,-9.9
"36063","1","10","71","0","2016","2","","Niagara County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,992,1001,983,14535603,0,0,1127,"",0.99,0.70,0.69,0.66,0.70,0.00,0.00,1.02,"",-1,-3.2,25,2.6,48,5.0,31,3.3,385209,2.7,0,0.0,0,0.0,-10,-0.9
"36063","1","10","71","0","2016","3","","Niagara County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,956,967,972,16259239,0,0,1296,"",0.99,0.67,0.68,0.66,0.71,0.00,0.00,1.06,"",-1,-3.2,-6,-0.6,-5,-0.5,2,0.2,-141791,-0.9,0,0.0,0,0.0,-7,-0.5
"36063","1","10","71","0","2016","4","","Niagara County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,1009,1025,1025,16815675,0,0,1269,"",0.99,0.69,0.71,0.71,0.77,0.00,0.00,1.09,"",-1,-3.2,8,0.8,20,2.0,26,2.6,1243929,8.0,0,0.0,0,0.0,73,6.1
"36063","1","102","72","0","2016","1","","Niagara County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,990,989,987,15151791,0,0,1179,"",1.00,0.72,0.72,0.71,0.77,0.00,0.00,1.08,"",-2,-6.2,29,3.0,36,3.8,28,2.9,-1149253,-7.1,0,0.0,0,0.0,-130,-9.9
"36063","1","102","72","0","2016","2","","Niagara County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,992,1001,983,14535603,0,0,1127,"",1.00,0.71,0.70,0.68,0.71,0.00,0.00,1.02,"",-1,-3.2,25,2.6,48,5.0,31,3.3,385209,2.7,0,0.0,0,0.0,-10,-0.9
