"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"36071","0","10","70","0","2016","1","","Orange County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10130,137607,137713,138943,1480509608,626642258,20790370,825,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",62,0.6,1005,0.7,1300,1.0,1816,1.3,47658656,3.3,27239601,4.5,-2745984,-11.7,19,2.4
"36071","0","10","70","0","2016","2","","Orange County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10247,140632,141832,143483,1624483321,263348907,8768528,880,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",161,1.6,2044,1.5,1421,1.0,1663,1.2,73532559,4.7,13897926,5.6,-1031261,-10.5,29,3.4
"36071","0","10","70","0","2016","3","","Orange County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10338,136356,135530,141836,1541517254,166582046,5532906,860,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",157,1.5,2177,1.6,1702,1.3,1846,1.3,116430127,8.2,6947884,4.4,-758689,-12.1,54,6.7
"36071","0","10","70","0","2016","4","","Orange County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10397,143581,143951,144137,1657763449,125314921,4203482,886,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",166,1.6,1219,0.9,798,0.6,1548,1.1,-18499639,-1.1,-5088486,-3.9,-902793,-17.7,-18,-2.0
"36071","1","10","71","0","2016","1","","Orange County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",90,4581,4660,4678,77650840,0,0,1287,"",1.41,1.68,1.71,1.70,1.84,0.00,0.00,1.09,"",-1,-1.1,-94,-2.0,-44,-0.9,4,0.1,3522447,4.8,0,0.0,0,0.0,70,5.8
"36071","1","10","71","0","2016","2","","Orange County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",89,4634,4693,4644,69922134,0,0,1155,"",1.39,1.68,1.69,1.65,1.57,0.00,0.00,0.94,"",-2,-2.2,-64,-1.4,11,0.2,-15,-0.3,-3727339,-5.1,0,0.0,0,0.0,-56,-4.6
"36071","1","10","71","0","2016","3","","Orange County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",89,4631,4664,4699,82759211,0,0,1365,"",1.39,1.71,1.74,1.69,1.73,0.00,0.00,1.01,"",-2,-2.2,-9,-0.2,-22,-0.5,17,0.4,8161832,10.9,0,0.0,0,0.0,136,11.1
"36071","1","10","71","0","2016","4","","Orange County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",90,4652,4653,4620,74125149,0,0,1228,"",1.41,1.66,1.66,1.63,1.59,0.00,0.00,0.96,"",-1,-1.1,-23,-0.5,-12,-0.3,-83,-1.8,-3380242,-4.4,0,0.0,0,0.0,-46,-3.6
"36071","1","102","72","0","2016","1","","Orange County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",90,4581,4660,4678,77650840,0,0,1287,"",1.41,1.71,1.74,1.74,1.88,0.00,0.00,1.09,"",-1,-1.1,-94,-2.0,-44,-0.9,4,0.1,3522447,4.8,0,0.0,0,0.0,70,5.8
"36071","1","102","72","0","2016","2","","Orange County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",89,4634,4693,4644,69922134,0,0,1155,"",1.40,1.71,1.72,1.68,1.60,0.00,0.00,0.94,"",-2,-2.2,-64,-1.4,11,0.2,-15,-0.3,-3727339,-5.1,0,0.0,0,0.0,-56,-4.6
