"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37001","0","10","70","0","2016","1","","Alamance County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3360,58167,58769,58966,543026774,377768964,5742092,712,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.2,1156,2.0,1076,1.9,1026,1.8,16560335,3.1,10441955,2.8,-1725601,-23.1,8,1.1
"37001","0","10","70","0","2016","2","","Alamance County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3363,59417,59779,59160,577083831,290251726,4464724,747,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-20,-0.6,1526,2.6,1585,2.7,1456,2.5,62748772,12.2,24963538,9.4,-1195058,-21.1,64,9.4
"37001","0","10","70","0","2016","3","","Alamance County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3350,58516,59766,60437,579112508,192746998,2984747,748,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-0.3,1820,3.2,2113,3.7,1971,3.4,48833262,9.2,21218448,12.4,-649899,-17.9,40,5.6
"37001","0","10","70","0","2016","4","","Alamance County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3370,60439,60917,61160,607032280,129663360,2027319,768,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-0.5,1385,2.3,1649,2.8,1504,2.5,20380049,3.5,9034678,7.5,-541427,-21.1,7,0.9
"37001","1","10","71","0","2016","1","","Alamance County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,218,232,233,2804403,0,0,948,"",0.71,0.19,0.20,0.20,0.18,0.00,0.00,0.93,"",0,0.0,5,2.3,14,6.4,15,6.9,-416381,-12.9,0,0.0,0,0.0,-197,-17.2
"37001","1","10","71","0","2016","2","","Alamance County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,228,226,226,2760856,0,0,937,"",0.62,0.20,0.19,0.19,0.17,0.00,0.00,0.90,"",-2,-13.3,14,6.5,5,2.3,9,4.1,34886,1.3,0,0.0,0,0.0,-28,-2.9
"37001","1","10","71","0","2016","3","","Alamance County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,226,225,227,3199815,0,0,1089,"",0.68,0.19,0.19,0.19,0.18,0.00,0.00,0.93,"",-1,-6.7,9,4.1,10,4.7,9,4.1,-33001,-1.0,0,0.0,0,0.0,-59,-5.1
"37001","1","10","71","0","2016","4","","Alamance County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,224,220,233,3431286,0,0,1170,"",0.68,0.19,0.19,0.19,0.20,0.00,0.00,1.06,"",-1,-6.7,8,3.7,-8,-3.5,-2,-0.9,101823,3.1,0,0.0,0,0.0,38,3.4
"37001","1","102","72","0","2016","1","","Alamance County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,218,232,233,2804403,0,0,948,"",0.71,0.19,0.20,0.20,0.18,0.00,0.00,0.93,"",0,0.0,5,2.3,14,6.4,15,6.9,-416381,-12.9,0,0.0,0,0.0,-197,-17.2
"37001","1","102","72","0","2016","2","","Alamance County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,228,226,226,2760856,0,0,937,"",0.62,0.20,0.20,0.20,0.18,0.00,0.00,0.90,"",-2,-13.3,14,6.5,5,2.3,9,4.1,34886,1.3,0,0.0,0,0.0,-28,-2.9
"37001","1","102","72","0","2016","3","","Alamance County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,226,225,227,3199815,0,0,1089,"",0.68,0.20,0.19,0.19,0.18,0.00,0.00,0.93,"",-1,-6.7,9,4.1,10,4.7,9,4.1,-33001,-1.0,0,0.0,0,0.0,-59,-5.1
"37001","1","102","72","0","2016","4","","Alamance County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,224,220,233,3431286,0,0,1170,"",0.68,0.19,0.19,0.20,0.20,0.00,0.00,1.06,"",-1,-6.7,8,3.7,-8,-3.5,-2,-0.9,101823,3.1,0,0.0,0,0.0,38,3.4
