"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37011","0","10","70","0","2016","1","","Avery County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",601,6357,6328,6300,45181395,28501175,554521,549,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-15,-2.4,17,0.3,3,0.0,35,0.6,413179,0.9,495666,1.8,-197711,-26.3,3,0.5
"37011","0","10","70","0","2016","2","","Avery County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",606,6378,6925,7247,50971345,28584793,590423,572,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.5,-25,-0.4,16,0.2,199,2.8,1953748,4.0,1326638,4.9,-182334,-23.6,16,2.9
"37011","0","10","70","0","2016","3","","Avery County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",596,7209,7181,7157,55543125,24337060,550426,595,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-1.8,179,2.5,176,2.5,76,1.1,3812899,7.4,2019776,9.1,-115163,-17.3,30,5.3
"37011","0","10","70","0","2016","4","","Avery County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",588,7057,6624,6442,54174503,14742832,286325,621,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-25,-4.1,185,2.7,116,1.8,229,3.7,1273536,2.4,277993,1.9,-91840,-24.3,-2,-0.3
"37011","1","10","71","0","2016","1","","Avery County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,40,40,39,459389,0,0,891,"",2.38,0.32,0.32,0.31,0.36,0.00,0.00,1.13,"",-1,-10.0,-1,-2.4,0,0.0,0,0.0,-72320,-13.6,0,0.0,0,0.0,-132,-12.9
"37011","1","10","71","0","2016","2","","Avery County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,41,38,38,456444,0,0,900,"",2.38,0.33,0.28,0.27,0.33,0.00,0.00,1.12,"",-1,-10.0,0,0.0,-5,-11.6,-6,-13.6,-25015,-5.2,0,0.0,0,0.0,32,3.7
"37011","1","10","71","0","2016","3","","Avery County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,39,38,38,541956,0,0,1088,"",2.44,0.27,0.27,0.27,0.31,0.00,0.00,1.17,"",-1,-10.0,-4,-9.3,-8,-17.4,-9,-19.1,-55790,-9.3,0,0.0,0,0.0,74,7.3
"37011","1","10","71","0","2016","4","","Avery County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,37,38,36,563765,0,0,1172,"",2.49,0.27,0.29,0.28,0.37,0.00,0.00,1.31,"",-1,-10.0,-3,-7.5,-3,-7.3,-5,-12.2,9825,1.8,0,0.0,0,0.0,124,11.8
"37011","1","102","72","0","2016","1","","Avery County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,40,40,39,459389,0,0,891,"",2.38,0.32,0.32,0.32,0.36,0.00,0.00,1.13,"",-1,-10.0,-1,-2.4,0,0.0,0,0.0,-72320,-13.6,0,0.0,0,0.0,-132,-12.9
"37011","1","102","72","0","2016","2","","Avery County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,41,38,38,456444,0,0,900,"",2.39,0.33,0.29,0.27,0.33,0.00,0.00,1.12,"",-1,-10.0,0,0.0,-5,-11.6,-6,-13.6,-25015,-5.2,0,0.0,0,0.0,32,3.7
