"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37015","0","10","70","0","2016","1","","Bertie County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",330,6208,6189,6196,45474115,30179278,393578,564,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.6,-124,-2.0,-126,-2.0,-191,-3.0,-61492,-0.1,-4698529,-13.5,-132524,-25.2,12,2.2
"37015","0","10","70","0","2016","2","","Bertie County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",330,6244,6272,6356,48294652,26879196,359295,591,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.8,-147,-2.3,-179,-2.8,-165,-2.5,-32130,-0.1,125282,0.5,-113028,-23.9,15,2.6
"37015","0","10","70","0","2016","3","","Bertie County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",319,6052,6148,6222,48559361,19903769,265603,608,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-6.2,-207,-3.3,-260,-4.1,-269,-4.1,1429855,3.0,675744,3.5,-82181,-23.6,40,7.0
"37015","0","10","70","0","2016","4","","Bertie County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",323,6124,6243,6270,49532714,13285349,183903,613,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-15,-4.4,-409,-6.3,-300,-4.6,-246,-3.8,-2500957,-4.8,-445638,-3.2,-73289,-28.5,0,0.0
"37015","1","10","71","0","2016","1","","Bertie County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,91,91,91,1227426,0,0,1038,"",6.26,0.74,0.74,0.74,0.95,0.00,0.00,1.28,"",-1,-7.1,1,1.1,3,3.4,5,5.8,42110,3.6,0,0.0,0,0.0,2,0.2
"37015","1","10","71","0","2016","2","","Bertie County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,88,94,89,1101187,0,0,938,"",6.32,0.72,0.77,0.71,0.83,0.00,0.00,1.13,"",-1,-7.1,1,1.1,4,4.4,-2,-2.2,16491,1.5,0,0.0,0,0.0,4,0.4
"37015","1","10","71","0","2016","3","","Bertie County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,91,86,86,1261890,0,0,1107,"",6.59,0.76,0.71,0.70,0.84,0.00,0.00,1.16,"",0,0.0,-1,-1.1,-6,-6.5,-5,-5.5,27724,2.2,0,0.0,0,0.0,71,6.9
"37015","1","10","71","0","2016","4","","Bertie County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,85,82,86,1165590,0,0,1063,"",6.55,0.71,0.67,0.70,0.83,0.00,0.00,1.20,"",0,0.0,-7,-7.6,-8,-8.9,-7,-7.5,26476,2.3,0,0.0,0,0.0,107,11.2
"37015","1","102","72","0","2016","1","","Bertie County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,91,91,91,1227426,0,0,1038,"",6.27,0.75,0.76,0.76,0.97,0.00,0.00,1.28,"",-1,-7.1,1,1.1,3,3.4,5,5.8,42110,3.6,0,0.0,0,0.0,2,0.2
"37015","1","102","72","0","2016","2","","Bertie County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,88,94,89,1101187,0,0,938,"",6.33,0.73,0.78,0.72,0.85,0.00,0.00,1.13,"",-1,-7.1,1,1.1,4,4.4,-2,-2.2,16491,1.5,0,0.0,0,0.0,4,0.4
