"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37045","0","10","70","0","2016","1","","Cleveland County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2031,33816,34150,33966,315232698,200236880,3794282,714,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,1.0,832,2.5,856,2.6,326,1.0,16225341,5.4,7704868,4.0,-1438897,-27.5,23,3.3
"37045","0","10","70","0","2016","2","","Cleveland County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2026,34520,34323,34005,316691105,146425161,2681764,711,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,0.7,814,2.4,918,2.7,818,2.5,22492043,7.6,8250532,6.0,-877358,-24.7,34,5.0
"37045","0","10","70","0","2016","3","","Cleveland County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2010,33319,33931,34283,327289560,95651318,1635619,744,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-0.9,827,2.5,784,2.4,376,1.1,27065020,9.0,7801983,8.9,-388209,-19.2,48,6.9
"37045","0","10","70","0","2016","4","","Cleveland County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2024,34770,34900,34819,345375225,65807531,1078450,763,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-0.8,403,1.2,272,0.8,250,0.7,8820856,2.6,1480962,2.3,-339131,-23.9,13,1.7
"37045","1","10","71","0","2016","1","","Cleveland County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,172,171,172,2220744,0,0,995,"",1.41,0.26,0.25,0.26,0.25,0.00,0.00,0.97,"",-2,-10.0,5,3.0,2,1.2,5,3.0,-267783,-10.8,0,0.0,0,0.0,-147,-12.9
"37045","1","10","71","0","2016","2","","Cleveland County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,165,172,172,2176823,0,0,987,"",1.42,0.24,0.26,0.26,0.25,0.00,0.00,0.99,"",-1,-5.3,-2,-1.2,-2,-1.1,5,3.0,50112,2.4,0,0.0,0,0.0,21,2.2
"37045","1","10","71","0","2016","3","","Cleveland County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,177,172,175,2571641,0,0,1133,"",1.45,0.27,0.26,0.26,0.25,0.00,0.00,0.97,"",-1,-5.3,8,4.7,8,4.9,5,2.9,112208,4.6,0,0.0,0,0.0,5,0.4
"37045","1","10","71","0","2016","4","","Cleveland County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,178,172,172,2554044,0,0,1129,"",1.45,0.26,0.25,0.25,0.26,0.00,0.00,1.03,"",0,0.0,6,3.5,4,2.4,-1,-0.6,111796,4.6,0,0.0,0,0.0,30,2.7
"37045","1","102","72","0","2016","1","","Cleveland County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,172,171,172,2220744,0,0,995,"",1.41,0.26,0.26,0.26,0.25,0.00,0.00,0.97,"",-2,-10.0,5,3.0,2,1.2,5,3.0,-267783,-10.8,0,0.0,0,0.0,-147,-12.9
"37045","1","102","72","0","2016","2","","Cleveland County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,165,172,172,2176823,0,0,987,"",1.43,0.25,0.26,0.26,0.26,0.00,0.00,0.99,"",-1,-5.3,-2,-1.2,-2,-1.1,5,3.0,50112,2.4,0,0.0,0,0.0,21,2.2
