"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37059","0","10","70","0","2016","1","","Davie County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",869,12087,12143,12338,99454446,70069986,1236424,628,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,2.4,835,7.4,762,6.7,826,7.2,8498446,9.3,7811964,12.5,-228471,-15.6,13,2.1
"37059","0","10","70","0","2016","2","","Davie County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",869,12304,12357,12310,101409087,57646756,1039797,633,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,2.5,618,5.3,417,3.5,318,2.7,6528029,6.9,5792055,11.2,-193620,-15.7,18,2.9
"37059","0","10","70","0","2016","3","","Davie County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",864,11855,12153,12357,104235025,40076601,700526,661,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.9,454,4.0,410,3.5,277,2.3,9098235,9.6,4149763,11.6,-130936,-15.7,38,6.1
"37059","0","10","70","0","2016","4","","Davie County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",882,12434,12624,12769,112436760,28294843,464820,686,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,2.3,412,3.4,616,5.1,548,4.5,3838252,3.5,1365639,5.1,-156452,-25.2,-5,-0.7
"37059","1","10","71","0","2016","1","","Davie County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,60,62,62,671016,0,0,842,"",0.55,0.25,0.26,0.25,0.24,0.00,0.00,0.93,"",0,0.0,-1,-1.6,0,0.0,3,5.1,-92893,-12.2,0,0.0,0,0.0,-127,-13.1
"37059","1","10","71","0","2016","2","","Davie County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,64,63,64,664978,0,0,803,"",0.55,0.27,0.26,0.26,0.24,0.00,0.00,0.91,"",0,0.0,3,4.9,3,5.0,3,4.9,18282,2.8,0,0.0,0,0.0,-17,-2.1
"37059","1","10","71","0","2016","3","","Davie County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,64,62,62,779422,0,0,957,"",0.56,0.27,0.26,0.26,0.24,0.00,0.00,0.92,"",0,0.0,5,8.5,3,5.1,5,8.8,41385,5.6,0,0.0,0,0.0,-16,-1.6
"37059","1","10","71","0","2016","4","","Davie County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,63,63,62,827324,0,0,1016,"",0.55,0.26,0.26,0.25,0.26,0.00,0.00,1.03,"",0,0.0,4,6.8,1,1.6,0,0.0,36818,4.7,0,0.0,0,0.0,19,1.9
"37059","1","102","72","0","2016","1","","Davie County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,60,62,62,671016,0,0,842,"",0.55,0.25,0.26,0.26,0.24,0.00,0.00,0.93,"",0,0.0,-1,-1.6,0,0.0,3,5.1,-92893,-12.2,0,0.0,0,0.0,-127,-13.1
"37059","1","102","72","0","2016","2","","Davie County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,64,63,64,664978,0,0,803,"",0.55,0.27,0.27,0.27,0.24,0.00,0.00,0.91,"",0,0.0,3,4.9,3,5.0,3,4.9,18282,2.8,0,0.0,0,0.0,-17,-2.1
