"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37087","0","10","70","0","2016","1","","Haywood County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1480,16739,16805,16882,139292822,101552659,1361220,637,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",34,2.4,261,1.6,403,2.5,518,3.2,2723496,2.0,6926410,7.3,-399308,-22.7,-3,-0.5
"37087","0","10","70","0","2016","2","","Haywood County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1491,16998,17269,17316,141392574,75263037,1152224,633,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",37,2.5,503,3.0,481,2.9,481,2.9,3448011,2.5,5654501,8.1,-280335,-19.6,-2,-0.3
"37087","0","10","70","0","2016","3","","Haywood County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1466,16945,16916,17139,154922680,51766951,826815,701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,0.5,367,2.2,219,1.3,176,1.0,12643524,8.9,3967441,8.3,-210703,-20.3,47,7.2
"37087","0","10","70","0","2016","4","","Haywood County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1481,17260,17285,17294,156848932,36511967,558406,698,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,0.7,216,1.3,240,1.4,243,1.4,392952,0.3,1105478,3.1,-170524,-23.4,-8,-1.1
"37087","1","10","71","0","2016","1","","Haywood County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,106,107,104,1357444,0,0,988,"",0.97,0.32,0.32,0.31,0.34,0.00,0.00,1.08,"",-1,-10.0,-1,-0.9,5,4.9,3,3.0,-194570,-12.5,0,0.0,0,0.0,-167,-14.5
"37087","1","10","71","0","2016","2","","Haywood County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,106,111,112,1307253,0,0,917,"",0.97,0.32,0.33,0.33,0.34,0.00,0.00,1.03,"",-1,-10.0,1,1.0,4,3.7,4,3.7,-51550,-3.8,0,0.0,0,0.0,-63,-6.4
"37087","1","10","71","0","2016","3","","Haywood County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,110,111,115,1646530,0,0,1131,"",0.99,0.33,0.33,0.34,0.34,0.00,0.00,1.03,"",-1,-10.0,-6,-5.2,0,0.0,3,2.7,7432,0.5,0,0.0,0,0.0,15,1.3
"37087","1","10","71","0","2016","4","","Haywood County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,112,116,120,1626548,0,0,1079,"",0.99,0.33,0.34,0.35,0.37,0.00,0.00,1.07,"",-1,-10.0,5,4.7,4,3.6,8,7.1,34630,2.2,0,0.0,0,0.0,-31,-2.8
"37087","1","102","72","0","2016","1","","Haywood County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,106,107,104,1357444,0,0,988,"",0.97,0.32,0.33,0.32,0.35,0.00,0.00,1.08,"",-1,-10.0,-1,-0.9,5,4.9,3,3.0,-194570,-12.5,0,0.0,0,0.0,-167,-14.5
"37087","1","102","72","0","2016","2","","Haywood County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,106,111,112,1307253,0,0,917,"",0.97,0.32,0.33,0.33,0.34,0.00,0.00,1.03,"",-1,-10.0,1,1.0,4,3.7,4,3.7,-51550,-3.8,0,0.0,0,0.0,-63,-6.4
"37087","1","102","72","0","2016","3","","Haywood County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,110,111,115,1646530,0,0,1131,"",0.99,0.33,0.34,0.35,0.35,0.00,0.00,1.03,"",-1,-10.0,-6,-5.2,0,0.0,3,2.7,7432,0.5,0,0.0,0,0.0,15,1.3
"37087","1","102","72","0","2016","4","","Haywood County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,112,116,120,1626548,0,0,1079,"",0.99,0.34,0.35,0.36,0.37,0.00,0.00,1.07,"",-1,-10.0,5,4.7,4,3.6,8,7.1,34630,2.2,0,0.0,0,0.0,-31,-2.8
"37087","1","1021","73","0","2016","1","","Haywood County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,92,89,89,1074927,0,0,919,"",1.08,1.14,1.10,1.09,1.56,0.00,0.00,1.41,"",0,0.0,3,3.4,3,3.5,3,3.5,-165347,-13.3,0,0.0,0,0.0,-178,-16.2
"37087","1","1021","73","0","2016","2","","Haywood County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,90,89,89,1038053,0,0,894,"",1.08,1.11,1.08,1.08,1.47,0.00,0.00,1.35,"",0,0.0,1,1.1,0,0.0,3,3.5,-62361,-5.7,0,0.0,0,0.0,-68,-7.1
"37087","1","1021","73","0","2016","3","","Haywood County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,86,86,90,1272443,0,0,1121,"",1.11,1.06,1.06,1.10,1.47,0.00,0.00,1.37,"",0,0.0,-6,-6.5,-3,-3.4,-2,-2.2,-21770,-1.7,0,0.0,0,0.0,27,2.5
"37087","1","1021","73","0","2016","4","","Haywood County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,91,90,97,1358239,0,0,1127,"",1.10,1.11,1.10,1.14,1.51,0.00,0.00,1.36,"",0,0.0,2,2.2,-4,-4.3,4,4.3,26145,2.0,0,0.0,0,0.0,13,1.2
