"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37089","0","10","70","0","2016","1","","Henderson County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2945,35898,36003,36114,315689647,231352924,3528732,674,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",98,3.4,2103,6.2,1919,5.6,1734,5.0,16087710,5.4,11455694,5.2,-1223423,-25.7,-2,-0.3
"37089","0","10","70","0","2016","2","","Henderson County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2977,36449,36892,37411,342140149,180460906,2736865,713,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",94,3.3,1964,5.7,1790,5.1,1622,4.5,24360865,7.7,16094338,9.8,-645397,-19.1,17,2.4
"37089","0","10","70","0","2016","3","","Henderson County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2950,37262,37522,37242,358328892,121249791,1793430,738,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",66,2.3,1569,4.4,1609,4.5,1247,3.5,33040929,10.2,10716365,9.7,-386506,-17.7,40,5.7
"37089","0","10","70","0","2016","4","","Henderson County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2993,37569,37100,37184,366353604,79698070,1128741,756,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",64,2.2,1274,3.5,1365,3.8,1134,3.1,6762642,1.9,-1825931,-2.2,-490869,-30.3,-12,-1.6
"37089","1","10","71","0","2016","1","","Henderson County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,204,212,213,2817842,0,0,1034,"",1.13,0.29,0.30,0.30,0.31,0.00,0.00,1.07,"",0,0.0,5,2.5,21,11.0,17,8.7,-352345,-11.1,0,0.0,0,0.0,-214,-17.1
"37089","1","10","71","0","2016","2","","Henderson County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,213,210,215,2713381,0,0,981,"",1.13,0.30,0.29,0.29,0.29,0.00,0.00,0.98,"",0,0.0,11,5.4,5,2.4,14,7.0,76927,2.9,0,0.0,0,0.0,-20,-2.0
"37089","1","10","71","0","2016","3","","Henderson County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,213,209,206,3114682,0,0,1145,"",1.15,0.29,0.28,0.28,0.28,0.00,0.00,0.99,"",0,0.0,5,2.4,10,5.0,4,2.0,84178,2.8,0,0.0,0,0.0,-3,-0.3
"37089","1","10","71","0","2016","4","","Henderson County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,215,217,219,3586180,0,0,1271,"",1.20,0.29,0.30,0.30,0.35,0.00,0.00,1.17,"",1,4.8,19,9.7,5,2.4,5,2.3,424041,13.4,0,0.0,0,0.0,98,8.4
"37089","1","102","72","0","2016","1","","Henderson County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,204,212,213,2817842,0,0,1034,"",1.13,0.29,0.30,0.30,0.32,0.00,0.00,1.07,"",0,0.0,5,2.5,21,11.0,17,8.7,-352345,-11.1,0,0.0,0,0.0,-214,-17.1
"37089","1","102","72","0","2016","2","","Henderson County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,213,210,215,2713381,0,0,981,"",1.13,0.30,0.30,0.30,0.29,0.00,0.00,0.98,"",0,0.0,11,5.4,5,2.4,14,7.0,76927,2.9,0,0.0,0,0.0,-20,-2.0
"37089","1","102","72","0","2016","3","","Henderson County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,213,209,206,3114682,0,0,1145,"",1.15,0.29,0.29,0.29,0.29,0.00,0.00,0.99,"",0,0.0,5,2.4,10,5.0,4,2.0,84178,2.8,0,0.0,0,0.0,-3,-0.3
"37089","1","102","72","0","2016","4","","Henderson County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,215,217,219,3586180,0,0,1271,"",1.20,0.30,0.31,0.30,0.35,0.00,0.00,1.17,"",1,4.8,19,9.7,5,2.4,5,2.3,424041,13.4,0,0.0,0,0.0,98,8.4
"37089","1","1021","73","0","2016","1","","Henderson County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,159,166,167,2188903,0,0,1027,"",1.51,0.92,0.95,0.96,1.40,0.00,0.00,1.49,"",0,0.0,5,3.2,15,9.9,16,10.6,-386777,-15.0,0,0.0,0,0.0,-276,-21.2
"37089","1","1021","73","0","2016","2","","Henderson County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,166,166,166,2153002,0,0,998,"",1.51,0.96,0.95,0.93,1.26,0.00,0.00,1.33,"",0,0.0,8,5.1,6,3.8,10,6.4,14199,0.7,0,0.0,0,0.0,-43,-4.1
