"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37097","0","10","70","0","2016","1","","Iredell County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5175,69869,70574,71034,862539674,569184829,9917283,941,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",112,2.2,2054,3.0,2482,3.6,2590,3.8,9081428,1.1,39552094,7.5,-2621877,-20.9,-23,-2.4
"37097","0","10","70","0","2016","2","","Iredell County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5198,71887,72356,72446,857012878,370111013,6470375,913,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",98,1.9,3017,4.4,2400,3.4,1930,2.7,109133130,14.6,21581900,6.2,-1780729,-21.6,89,10.8
"37097","0","10","70","0","2016","3","","Iredell County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5185,70907,71844,72074,844931461,227414908,3785252,908,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",43,0.8,1918,2.8,1853,2.6,1738,2.5,107631763,14.6,20944072,10.1,-889470,-19.0,95,11.7
"37097","0","10","70","0","2016","4","","Iredell County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5226,72236,72481,72259,836798281,149795846,2413886,890,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,0.3,1784,2.5,1878,2.7,1551,2.2,-28694526,-3.3,1847322,1.2,-841489,-25.8,-53,-5.6
"37097","1","10","71","0","2016","1","","Iredell County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,265,252,260,3411942,0,0,1013,"",0.52,0.19,0.18,0.19,0.14,0.00,0.00,0.75,"",0,0.0,7,2.7,3,1.2,5,2.0,-533511,-13.5,0,0.0,0,0.0,-182,-15.2
"37097","1","10","71","0","2016","2","","Iredell County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,254,259,249,3447706,0,0,1044,"",0.56,0.18,0.18,0.17,0.15,0.00,0.00,0.82,"",1,5.9,8,3.3,15,6.1,5,2.0,125707,3.8,0,0.0,0,0.0,0,0.0
"37097","1","10","71","0","2016","3","","Iredell County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,260,264,267,4046635,0,0,1181,"",0.59,0.18,0.19,0.19,0.15,0.00,0.00,0.83,"",2,11.8,17,7.0,27,11.4,13,5.1,184598,4.8,0,0.0,0,0.0,-33,-2.7
"37097","1","10","71","0","2016","4","","Iredell County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,257,266,276,4283971,0,0,1237,"",0.59,0.18,0.19,0.19,0.18,0.00,0.00,0.96,"",2,11.8,22,9.4,7,2.7,9,3.4,198670,4.9,0,0.0,0,0.0,-2,-0.2
"37097","1","102","72","0","2016","1","","Iredell County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,265,252,260,3411942,0,0,1013,"",0.52,0.19,0.18,0.19,0.14,0.00,0.00,0.75,"",0,0.0,7,2.7,3,1.2,5,2.0,-533511,-13.5,0,0.0,0,0.0,-182,-15.2
"37097","1","102","72","0","2016","2","","Iredell County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,254,259,249,3447706,0,0,1044,"",0.56,0.18,0.19,0.18,0.15,0.00,0.00,0.82,"",1,5.9,8,3.3,15,6.1,5,2.0,125707,3.8,0,0.0,0,0.0,0,0.0
