"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37145","0","10","70","0","2016","1","","Person County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",733,9944,10032,10184,94927019,66428240,1210790,726,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.1,2,0.0,-13,-0.1,193,1.9,3473618,3.8,3081501,4.9,-409604,-25.3,22,3.1
"37145","0","10","70","0","2016","2","","Person County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",742,10145,10141,10147,93848467,44253218,832577,712,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.1,74,0.7,14,0.1,53,0.5,1197818,1.3,1044991,2.4,-307711,-27.0,6,0.8
"37145","0","10","70","0","2016","3","","Person County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",733,9827,10099,10417,95302832,27150525,461825,725,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,123,1.3,273,2.8,275,2.7,8014482,9.2,2218703,8.9,-125640,-21.4,46,6.8
"37145","0","10","70","0","2016","4","","Person County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",733,10311,10273,10167,100317724,19297574,345741,753,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.4,157,1.5,103,1.0,-15,-0.1,1292819,1.3,491581,2.6,-126977,-26.9,4,0.5
"37145","1","10","71","0","2016","1","","Person County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,53,60,60,659991,0,0,880,"",1.08,0.27,0.30,0.30,0.24,0.00,0.00,0.84,"",0,0.0,4,8.2,12,25.0,11,22.4,-88646,-11.8,0,0.0,0,0.0,-303,-25.6
"37145","1","10","71","0","2016","2","","Person County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,55,56,60,641714,0,0,866,"",1.08,0.28,0.28,0.30,0.25,0.00,0.00,0.87,"",0,0.0,4,7.8,5,9.8,8,15.4,13931,2.2,0,0.0,0,0.0,-75,-8.0
"37145","1","10","71","0","2016","3","","Person County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,61,61,56,771341,0,0,1000,"",1.10,0.31,0.31,0.27,0.26,0.00,0.00,0.88,"",0,0.0,11,22.0,8,15.1,-2,-3.4,31851,4.3,0,0.0,0,0.0,-60,-5.7
"37145","1","10","71","0","2016","4","","Person County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,57,59,54,804762,0,0,1092,"",1.11,0.28,0.29,0.27,0.28,0.00,0.00,1.01,"",0,0.0,3,5.6,8,15.7,-4,-6.9,56362,7.5,0,0.0,0,0.0,32,3.0
"37145","1","102","72","0","2016","1","","Person County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,53,60,60,659991,0,0,880,"",1.09,0.27,0.31,0.30,0.25,0.00,0.00,0.84,"",0,0.0,4,8.2,12,25.0,11,22.4,-88646,-11.8,0,0.0,0,0.0,-303,-25.6
"37145","1","102","72","0","2016","2","","Person County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,55,56,60,641714,0,0,866,"",1.08,0.28,0.29,0.31,0.25,0.00,0.00,0.87,"",0,0.0,4,7.8,5,9.8,8,15.4,13931,2.2,0,0.0,0,0.0,-75,-8.0
"37145","1","102","72","0","2016","3","","Person County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,61,61,56,771341,0,0,1000,"",1.11,0.32,0.31,0.28,0.27,0.00,0.00,0.88,"",0,0.0,11,22.0,8,15.1,-2,-3.4,31851,4.3,0,0.0,0,0.0,-60,-5.7
