"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"37163","0","10","70","0","2016","1","","Sampson County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1155,18025,18210,18243,158865969,105120250,1370713,673,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-1.2,244,1.4,341,1.9,177,1.0,6476491,4.2,6862270,7.0,-308593,-18.4,18,2.7
"37163","0","10","70","0","2016","2","","Sampson County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1151,18545,18680,19027,158994143,88002414,1146146,652,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-1.6,284,1.6,203,1.1,189,1.0,6589876,4.3,3675108,4.4,-308589,-21.2,19,3.0
"37163","0","10","70","0","2016","3","","Sampson County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1133,18526,18177,18587,163715414,58218985,767216,683,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-28,-2.4,261,1.4,-67,-0.4,-178,-0.9,12161322,8.0,2314356,4.1,-205078,-21.1,50,7.9
"37163","0","10","70","0","2016","4","","Sampson County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1138,18242,18337,18302,170014396,34185296,464394,715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-31,-2.7,-583,-3.1,-175,-0.9,-148,-0.8,-8699395,-4.9,-3201360,-8.6,-209969,-31.1,-24,-3.2
"37163","1","10","71","0","2016","1","","Sampson County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,109,107,106,1456693,0,0,1044,"",1.93,0.30,0.30,0.29,0.32,0.00,0.00,1.08,"",0,0.0,12,12.4,10,10.3,4,3.9,-119355,-7.6,0,0.0,0,0.0,-185,-15.1
"37163","1","10","71","0","2016","2","","Sampson County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,109,110,108,1311540,0,0,926,"",1.95,0.30,0.30,0.29,0.30,0.00,0.00,1.01,"",0,0.0,10,10.1,7,6.8,9,9.1,-6365,-0.5,0,0.0,0,0.0,-84,-8.3
"37163","1","10","71","0","2016","3","","Sampson County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,107,107,110,1564294,0,0,1114,"",2.00,0.29,0.30,0.30,0.31,0.00,0.00,1.04,"",0,0.0,9,9.2,6,5.9,8,7.8,72739,4.9,0,0.0,0,0.0,-30,-2.6
"37163","1","10","71","0","2016","4","","Sampson County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,102,107,115,1641926,0,0,1169,"",2.00,0.29,0.30,0.32,0.34,0.00,0.00,1.14,"",0,0.0,0,0.0,-2,-1.8,2,1.8,150617,10.1,0,0.0,0,0.0,107,10.1
"37163","1","102","72","0","2016","1","","Sampson County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,109,107,106,1456693,0,0,1044,"",1.93,0.31,0.30,0.30,0.33,0.00,0.00,1.08,"",0,0.0,12,12.4,10,10.3,4,3.9,-119355,-7.6,0,0.0,0,0.0,-185,-15.1
"37163","1","102","72","0","2016","2","","Sampson County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,109,110,108,1311540,0,0,926,"",1.95,0.31,0.31,0.29,0.31,0.00,0.00,1.01,"",0,0.0,10,10.1,7,6.8,9,9.1,-6365,-0.5,0,0.0,0,0.0,-84,-8.3
"37163","1","102","72","0","2016","3","","Sampson County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,107,107,110,1564294,0,0,1114,"",2.00,0.30,0.30,0.31,0.31,0.00,0.00,1.04,"",0,0.0,9,9.2,6,5.9,8,7.8,72739,4.9,0,0.0,0,0.0,-30,-2.6
"37163","1","102","72","0","2016","4","","Sampson County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,102,107,115,1641926,0,0,1169,"",2.01,0.29,0.31,0.32,0.35,0.00,0.00,1.14,"",0,0.0,0,0.0,-2,-1.8,2,1.8,150617,10.1,0,0.0,0,0.0,107,10.1
"37163","1","1021","73","0","2016","1","","Sampson County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,70,71,70,749820,0,0,820,"",2.48,0.81,0.81,0.80,0.95,0.00,0.00,1.19,"",0,0.0,8,12.9,8,12.7,5,7.7,-120487,-13.8,0,0.0,0,0.0,-237,-22.4
"37163","1","1021","73","0","2016","2","","Sampson County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,69,70,73,751128,0,0,818,"",2.51,0.78,0.79,0.81,0.95,0.00,0.00,1.20,"",0,0.0,4,6.2,5,7.7,6,9.0,-5867,-0.8,0,0.0,0,0.0,-69,-7.8
"37163","1","1021","73","0","2016","3","","Sampson County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,69,70,71,852920,0,0,937,"",2.57,0.78,0.80,0.80,0.93,0.00,0.00,1.18,"",0,0.0,3,4.5,1,1.4,2,2.9,-25775,-2.9,0,0.0,0,0.0,-57,-5.7
"37163","1","1021","73","0","2016","4","","Sampson County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,68,72,75,981957,0,0,1054,"",2.58,0.79,0.83,0.83,1.01,0.00,0.00,1.24,"",0,0.0,-1,-1.4,3,4.3,4,5.6,109766,12.6,0,0.0,0,0.0,91,9.4
"37163","1","1028","73","0","2016","1","","Sampson County, North Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,39,36,36,706873,0,0,1470,"",1.69,0.20,0.18,0.18,0.25,0.00,0.00,1.32,"",0,0.0,4,11.4,2,5.9,-1,-2.7,1132,0.2,0,0.0,0,0.0,-66,-4.3
"37163","1","1028","73","0","2016","2","","Sampson County, North Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,40,40,35,560412,0,0,1125,"",1.71,0.20,0.20,0.17,0.21,0.00,0.00,1.09,"",0,0.0,6,17.6,2,5.3,3,9.4,-498,-0.1,0,0.0,0,0.0,-120,-9.6
"37163","1","1028","73","0","2016","3","","Sampson County, North Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,38,37,39,711374,0,0,1440,"",1.75,0.19,0.19,0.20,0.23,0.00,0.00,1.19,"",0,0.0,6,18.8,5,15.6,6,18.2,98514,16.1,0,0.0,0,0.0,-18,-1.2
"37163","1","1028","73","0","2016","4","","Sampson County, North Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,34,35,40,659969,0,0,1397,"",1.76,0.18,0.18,0.21,0.23,0.00,0.00,1.24,"",0,0.0,1,3.0,-5,-12.5,-2,-4.8,40851,6.6,0,0.0,0,0.0,155,12.5
"37163","1","48-49","74","0","2016","1","","Sampson County, North Carolina","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,70,71,70,749820,0,0,820,"",2.55,0.89,0.88,0.87,1.03,0.00,0.00,1.17,"",0,0.0,8,12.9,8,12.7,5,7.7,-120487,-13.8,0,0.0,0,0.0,-237,-22.4
"37163","1","48-49","74","0","2016","2","","Sampson County, North Carolina","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,69,70,73,751128,0,0,818,"",2.58,0.86,0.86,0.88,1.02,0.00,0.00,1.18,"",0,0.0,4,6.2,5,7.7,6,9.0,-5867,-0.8,0,0.0,0,0.0,-69,-7.8
