"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"38031","0","10","70","0","2016","1","","Foster County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",170,1605,1608,1633,16326886,12389003,55007,777,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.6,34,2.2,50,3.2,21,1.3,3464,0.0,137904,1.1,22392,68.7,-18,-2.3
"38031","0","10","70","0","2016","2","","Foster County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",170,1672,1705,1683,17580918,11571063,70413,802,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.7,42,2.6,24,1.4,-25,-1.5,657411,3.9,415173,3.7,18175,34.8,24,3.1
"38031","0","10","70","0","2016","3","","Foster County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",168,1626,1643,1648,16700211,8180675,61828,784,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-3.4,34,2.1,42,2.6,0,0.0,999955,6.4,580801,7.6,13862,28.9,36,4.8
"38031","0","10","70","0","2016","4","","Foster County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",171,1631,1624,1613,19114617,4901480,33697,906,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.2,10,0.6,10,0.6,-15,-0.9,167061,0.9,136727,2.9,10790,47.1,7,0.8
"38031","1","10","71","0","2016","1","","Foster County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,27,25,25,290667,0,0,871,"",6.54,0.85,0.79,0.78,0.63,0.00,0.00,0.78,"",-1,-12.5,0,0.0,-1,-3.8,-1,-3.8,-41646,-12.5,0,0.0,0,0.0,-100,-10.3
"38031","1","10","71","0","2016","2","","Foster County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,28,25,26,271460,0,0,793,"",6.60,0.86,0.75,0.79,0.56,0.00,0.00,0.71,"",-1,-12.5,-1,-3.4,-2,-7.4,1,4.0,1647,0.6,0,0.0,0,0.0,24,3.1
"38031","1","10","71","0","2016","3","","Foster County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,29,24,25,312656,0,0,925,"",6.74,0.90,0.74,0.77,0.60,0.00,0.00,0.75,"",-1,-12.5,3,11.5,-2,-7.7,0,0.0,11768,3.9,0,0.0,0,0.0,23,2.5
"38031","1","10","71","0","2016","4","","Foster County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,27,24,25,289396,0,0,879,"",6.67,0.85,0.76,0.79,0.54,0.00,0.00,0.67,"",-1,-12.5,4,17.4,0,0.0,-3,-10.7,13301,4.8,0,0.0,0,0.0,29,3.4
"38031","1","102","72","0","2016","1","","Foster County, North Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,27,25,25,290667,0,0,871,"",6.55,0.86,0.80,0.79,0.64,0.00,0.00,0.78,"",-1,-12.5,0,0.0,-1,-3.8,-1,-3.8,-41646,-12.5,0,0.0,0,0.0,-100,-10.3
"38031","1","102","72","0","2016","2","","Foster County, North Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,28,25,26,271460,0,0,793,"",6.62,0.87,0.76,0.80,0.57,0.00,0.00,0.71,"",-1,-12.5,-1,-3.4,-2,-7.4,1,4.0,1647,0.6,0,0.0,0,0.0,24,3.1
"38031","1","102","72","0","2016","3","","Foster County, North Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,29,24,25,312656,0,0,925,"",6.75,0.91,0.75,0.79,0.62,0.00,0.00,0.75,"",-1,-12.5,3,11.5,-2,-7.7,0,0.0,11768,3.9,0,0.0,0,0.0,23,2.5
"38031","1","102","72","0","2016","4","","Foster County, North Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,27,24,25,289396,0,0,879,"",6.68,0.86,0.77,0.80,0.55,0.00,0.00,0.67,"",-1,-12.5,4,17.4,0,0.0,-3,-10.7,13301,4.8,0,0.0,0,0.0,29,3.4
"38031","1","1021","73","0","2016","1","","Foster County, North Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,16,16,16,142172,0,0,684,"",7.49,2.07,2.06,2.03,1.76,0.00,0.00,0.86,"",0,0.0,-1,-5.9,-2,-11.1,-2,-11.1,-60903,-30.0,0,0.0,0,0.0,-200,-22.6
"38031","1","1021","73","0","2016","2","","Foster County, North Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,18,16,15,137476,0,0,647,"",7.55,2.27,1.97,1.87,1.57,0.00,0.00,0.77,"",0,0.0,-2,-10.0,-2,-11.1,0,0.0,-1579,-1.1,0,0.0,0,0.0,42,6.9
"38031","1","1021","73","0","2016","3","","Foster County, North Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,16,14,15,144421,0,0,741,"",7.72,2.05,1.78,1.91,1.55,0.00,0.00,0.81,"",0,0.0,0,0.0,-3,-17.6,-2,-11.8,-11783,-7.5,0,0.0,0,0.0,20,2.8
"38031","1","1021","73","0","2016","4","","Foster County, North Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,16,14,13,148840,0,0,799,"",7.63,2.07,1.81,1.63,1.36,0.00,0.00,0.74,"",0,0.0,1,6.7,-1,-6.7,-3,-18.8,-4988,-3.2,0,0.0,0,0.0,27,3.5
"38031","1","1028","73","0","2016","1","","Foster County, North Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,9,9,148495,0,0,1182,"",6.87,0.63,0.52,0.51,0.51,0.00,0.00,0.92,"",-1,-25.0,1,10.0,1,12.5,1,12.5,19257,14.9,0,0.0,0,0.0,35,3.1
"38031","1","1028","73","0","2016","2","","Foster County, North Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,9,11,133984,0,0,1031,"",6.95,0.56,0.50,0.61,0.45,0.00,0.00,0.81,"",-1,-25.0,1,11.1,0,0.0,1,10.0,3226,2.5,0,0.0,0,0.0,-47,-4.4
"38031","1","1028","73","0","2016","3","","Foster County, North Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,10,10,168235,0,0,1176,"",7.08,0.74,0.56,0.57,0.53,0.00,0.00,0.85,"",-1,-25.0,3,30.0,1,11.1,2,25.0,23551,16.3,0,0.0,0,0.0,-61,-4.9
"38031","1","1028","73","0","2016","4","","Foster County, North Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,10,12,140556,0,0,983,"",7.01,0.64,0.58,0.70,0.44,0.00,0.00,0.69,"",-1,-25.0,3,37.5,1,11.1,0,0.0,18289,15.0,0,0.0,0,0.0,10,1.0
"38031","1","48-49","74","0","2016","1","","Foster County, North Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,16,16,142172,0,0,684,"",7.70,2.28,2.26,2.22,1.90,0.00,0.00,0.84,"",0,0.0,-1,-5.9,-2,-11.1,-2,-11.1,-60903,-30.0,0,0.0,0,0.0,-200,-22.6
"38031","1","48-49","74","0","2016","2","","Foster County, North Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,18,16,15,137476,0,0,647,"",7.76,2.48,2.16,2.05,1.69,0.00,0.00,0.76,"",0,0.0,-2,-10.0,-2,-11.1,0,0.0,-1579,-1.1,0,0.0,0,0.0,42,6.9
"38031","1","48-49","74","0","2016","3","","Foster County, North Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,14,15,144421,0,0,741,"",7.94,2.25,1.94,2.09,1.66,0.00,0.00,0.79,"",0,0.0,0,0.0,-3,-17.6,-2,-11.8,-11783,-7.5,0,0.0,0,0.0,20,2.8
"38031","1","48-49","74","0","2016","4","","Foster County, North Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,14,13,148840,0,0,799,"",7.85,2.26,1.99,1.78,1.47,0.00,0.00,0.73,"",0,0.0,1,6.7,-1,-6.7,-3,-18.8,-4988,-3.2,0,0.0,0,0.0,27,3.5
"38031","1","491","75","0","2016","1","","Foster County, North Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,16,16,16,142172,0,0,684,"",7.76,2.33,2.31,2.27,1.99,0.00,0.00,0.87,"",0,0.0,-1,-5.9,-2,-11.1,-2,-11.1,-60903,-30.0,0,0.0,0,0.0,-200,-22.6
"38031","1","491","75","0","2016","2","","Foster County, North Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,18,16,15,137476,0,0,647,"",7.82,2.54,2.20,2.09,1.77,0.00,0.00,0.78,"",0,0.0,-2,-10.0,-2,-11.1,0,0.0,-1579,-1.1,0,0.0,0,0.0,42,6.9
"38031","1","491","75","0","2016","3","","Foster County, North Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,16,14,15,144421,0,0,741,"",8.00,2.29,1.99,2.13,1.73,0.00,0.00,0.81,"",0,0.0,0,0.0,-3,-17.6,-2,-11.8,-11783,-7.5,0,0.0,0,0.0,20,2.8
"38031","1","491","75","0","2016","4","","Foster County, North Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,16,14,13,148840,0,0,799,"",7.91,2.31,2.03,1.82,1.52,0.00,0.00,0.74,"",0,0.0,1,6.7,-1,-6.7,-3,-18.8,-4988,-3.2,0,0.0,0,0.0,27,3.5
"38031","1","4911","76","0","2016","1","","Foster County, North Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,16,16,142172,0,0,684,"",7.76,2.33,2.31,2.27,1.99,0.00,0.00,0.87,"",0,0.0,-1,-5.9,-2,-11.1,-2,-11.1,-60903,-30.0,0,0.0,0,0.0,-200,-22.6
"38031","1","4911","76","0","2016","2","","Foster County, North Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,18,16,15,137476,0,0,647,"",7.82,2.54,2.20,2.09,1.77,0.00,0.00,0.78,"",0,0.0,-2,-10.0,-2,-11.1,0,0.0,-1579,-1.1,0,0.0,0,0.0,42,6.9
"38031","1","4911","76","0","2016","3","","Foster County, North Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,14,15,144421,0,0,741,"",8.00,2.29,1.99,2.13,1.73,0.00,0.00,0.81,"",0,0.0,0,0.0,-3,-17.6,-2,-11.8,-11783,-7.5,0,0.0,0,0.0,20,2.8
"38031","1","4911","76","0","2016","4","","Foster County, North Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,14,13,148840,0,0,799,"",7.91,2.31,2.03,1.82,1.52,0.00,0.00,0.74,"",0,0.0,1,6.7,-1,-6.7,-3,-18.8,-4988,-3.2,0,0.0,0,0.0,27,3.5
"38031","1","49111","77","0","2016","1","","Foster County, North Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,16,16,16,142172,0,0,684,"",7.76,2.33,2.31,2.27,1.99,0.00,0.00,0.87,"",0,0.0,-1,-5.9,-2,-11.1,-2,-11.1,-60903,-30.0,0,0.0,0,0.0,-200,-22.6
"38031","1","49111","77","0","2016","2","","Foster County, North Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,18,16,15,137476,0,0,647,"",7.82,2.54,2.20,2.09,1.77,0.00,0.00,0.78,"",0,0.0,-2,-10.0,-2,-11.1,0,0.0,-1579,-1.1,0,0.0,0,0.0,42,6.9
"38031","1","49111","77","0","2016","3","","Foster County, North Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,16,14,15,144421,0,0,741,"",8.00,2.29,1.99,2.13,1.73,0.00,0.00,0.81,"",0,0.0,0,0.0,-3,-17.6,-2,-11.8,-11783,-7.5,0,0.0,0,0.0,20,2.8
"38031","1","49111","77","0","2016","4","","Foster County, North Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,16,14,13,148840,0,0,799,"",7.91,2.31,2.03,1.82,1.52,0.00,0.00,0.74,"",0,0.0,1,6.7,-1,-6.7,-3,-18.8,-4988,-3.2,0,0.0,0,0.0,27,3.5
"38031","1","491110","78","0","2016","1","","Foster County, North Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,16,16,16,142172,0,0,684,"",7.76,2.33,2.31,2.27,1.99,0.00,0.00,0.87,"",0,0.0,-1,-5.9,-2,-11.1,-2,-11.1,-60903,-30.0,0,0.0,0,0.0,-200,-22.6
"38031","1","491110","78","0","2016","2","","Foster County, North Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,18,16,15,137476,0,0,647,"",7.82,2.54,2.20,2.09,1.77,0.00,0.00,0.78,"",0,0.0,-2,-10.0,-2,-11.1,0,0.0,-1579,-1.1,0,0.0,0,0.0,42,6.9
"38031","1","491110","78","0","2016","3","","Foster County, North Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,16,14,15,144421,0,0,741,"",8.00,2.29,1.99,2.13,1.73,0.00,0.00,0.81,"",0,0.0,0,0.0,-3,-17.6,-2,-11.8,-11783,-7.5,0,0.0,0,0.0,20,2.8
"38031","1","491110","78","0","2016","4","","Foster County, North Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,16,14,13,148840,0,0,799,"",7.91,2.31,2.03,1.82,1.52,0.00,0.00,0.74,"",0,0.0,1,6.7,-1,-6.7,-3,-18.8,-4988,-3.2,0,0.0,0,0.0,27,3.5
"38031","1","92","74","0","2016","1","","Foster County, North Dakota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,9,9,148495,0,0,1182,"",6.87,0.63,0.52,0.51,0.51,0.00,0.00,0.92,"",-1,-25.0,1,10.0,1,12.5,1,12.5,19257,14.9,0,0.0,0,0.0,35,3.1
