"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"38033","0","10","70","0","2016","1","","Golden Valley County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",95,684,694,701,5882573,3293263,25489,653,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,5.6,-32,-4.5,-14,-2.0,-14,-2.0,-621304,-9.6,-616502,-15.8,9480,59.2,-49,-7.0
"38033","0","10","70","0","2016","2","","Golden Valley County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",96,646,684,690,6328460,3090752,24745,723,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,4.3,-71,-9.9,-32,-4.5,-53,-7.1,-692448,-9.9,-437887,-12.4,11231,83.1,-22,-3.0
"38033","0","10","70","0","2016","3","","Golden Valley County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",99,639,639,669,5732502,2314631,20602,679,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,5.3,-43,-6.3,-51,-7.4,-24,-3.5,-369147,-6.0,-198495,-7.9,9405,84.0,-3,-0.4
"38033","0","10","70","0","2016","4","","Golden Valley County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",97,685,665,655,6542291,1715732,17531,753,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,4.3,-15,-2.1,-39,-5.5,-65,-9.0,-589139,-8.3,-216232,-11.2,7208,69.8,-22,-2.8
"38033","1","10","71","0","2016","1","","Golden Valley County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,12,10,12,112326,0,0,762,"",6.69,0.88,0.73,0.87,0.67,0.00,0.00,0.81,"",0,0.0,-1,-7.7,0,0.0,0,0.0,-21221,-15.9,0,0.0,0,0.0,-119,-13.5
"38033","1","10","71","0","2016","2","","Golden Valley County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,9,11,9,93845,0,0,747,"",6.68,0.71,0.82,0.66,0.54,0.00,0.00,0.74,"",0,0.0,1,12.5,3,37.5,2,28.6,5041,5.7,0,0.0,0,0.0,-144,-16.2
"38033","1","10","71","0","2016","3","","Golden Valley County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,10,9,11,102793,0,0,791,"",6.53,0.79,0.71,0.84,0.58,0.00,0.00,0.74,"",0,0.0,-1,-9.1,2,28.6,0,0.0,-1925,-1.8,0,0.0,0,0.0,-42,-5.0
"38033","1","10","71","0","2016","4","","Golden Valley County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,8,12,11,96273,0,0,717,"",6.72,0.60,0.93,0.85,0.52,0.00,0.00,0.66,"",0,0.0,0,0.0,2,20.0,-1,-8.3,-7971,-7.6,0,0.0,0,0.0,-85,-10.6
"38033","1","102","72","0","2016","1","","Golden Valley County, North Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,12,10,12,112326,0,0,762,"",6.70,0.90,0.74,0.88,0.68,0.00,0.00,0.81,"",0,0.0,-1,-7.7,0,0.0,0,0.0,-21221,-15.9,0,0.0,0,0.0,-119,-13.5
"38033","1","102","72","0","2016","2","","Golden Valley County, North Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,9,11,9,93845,0,0,747,"",6.69,0.72,0.84,0.68,0.55,0.00,0.00,0.74,"",0,0.0,1,12.5,3,37.5,2,28.6,5041,5.7,0,0.0,0,0.0,-144,-16.2
