"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"38097","0","10","70","0","2016","1","","Traill County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",364,3280,3272,3335,31853703,19964551,262895,743,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-2.9,31,1.0,2,0.1,51,1.6,-199498,-0.6,-293758,-1.5,-271278,-50.8,-12,-1.6
"38097","0","10","70","0","2016","2","","Traill County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",367,3419,3448,3317,35233551,19351045,289467,798,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,9,0.3,20,0.6,-46,-1.4,2549826,7.8,1737102,9.9,-109795,-27.5,59,8.0
"38097","0","10","70","0","2016","3","","Traill County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",367,3140,3146,3404,33190681,13643720,202190,790,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,-2,-0.1,-79,-2.4,-63,-1.8,1198818,3.7,159231,1.2,-97259,-32.5,39,5.2
"38097","0","10","70","0","2016","4","","Traill County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",366,3626,3465,3400,38595910,11001229,152913,849,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.3,-61,-1.7,53,1.6,-24,-0.7,704082,1.9,1064232,10.7,-61280,-28.6,18,2.2
"38097","1","10","71","0","2016","1","","Traill County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,36,34,34,364936,0,0,810,"",4.36,0.55,0.52,0.52,0.40,0.00,0.00,0.76,"",0,0.0,-3,-7.7,-3,-8.1,-6,-15.0,-46691,-11.3,0,0.0,0,0.0,-9,-1.1
"38097","1","10","71","0","2016","2","","Traill County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,34,33,34,330546,0,0,755,"",4.37,0.51,0.49,0.52,0.34,0.00,0.00,0.68,"",0,0.0,-3,-8.1,-4,-10.8,-6,-15.0,-21940,-6.2,0,0.0,0,0.0,41,5.7
"38097","1","10","71","0","2016","3","","Traill County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,35,34,40,387726,0,0,821,"",4.41,0.56,0.55,0.60,0.38,0.00,0.00,0.66,"",0,0.0,-5,-12.5,-1,-2.9,4,11.1,-11361,-2.8,0,0.0,0,0.0,-9,-1.1
"38097","1","10","71","0","2016","4","","Traill County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,36,35,40,375955,0,0,782,"",4.45,0.51,0.52,0.60,0.35,0.00,0.00,0.64,"",0,0.0,-4,-10.0,-3,-7.9,0,0.0,3143,0.8,0,0.0,0,0.0,53,7.3
"38097","1","102","72","0","2016","1","","Traill County, North Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,36,34,34,364936,0,0,810,"",4.37,0.56,0.53,0.53,0.41,0.00,0.00,0.76,"",0,0.0,-3,-7.7,-3,-8.1,-6,-15.0,-46691,-11.3,0,0.0,0,0.0,-9,-1.1
"38097","1","102","72","0","2016","2","","Traill County, North Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,34,33,34,330546,0,0,755,"",4.38,0.52,0.50,0.53,0.35,0.00,0.00,0.68,"",0,0.0,-3,-8.1,-4,-10.8,-6,-15.0,-21940,-6.2,0,0.0,0,0.0,41,5.7
