"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"39000","0","10","50","0","2016","1","","Ohio -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",291893,5192334,5202483,5236328,61986917511,26095729660,629058602,915,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2084,0.7,78997,1.5,83817,1.6,90797,1.8,671225781,1.1,382879269,1.5,-36432374,-5.5,-5,-0.5
"39000","0","10","50","0","2016","2","","Ohio -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",292933,5308287,5361432,5358135,61345663797,8073678473,193029886,883,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2929,1.0,78208,1.5,51453,1.0,45988,0.9,1919948754,3.2,151135146,1.9,-7760783,-3.9,18,2.1
"39000","0","10","50","0","2016","3","","Ohio -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",293489,5346484,5354367,5349339,64441946042,5097943323,121846484,927,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1890,0.6,60082,1.1,51181,1.0,60141,1.1,4111573430,6.8,132351839,2.7,-6594130,-5.1,50,5.7
"39000","0","10","50","0","2016","4","","Ohio -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",293980,5371881,5387170,5367909,65974793354,4069122493,95902322,944,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1888,0.6,46228,0.9,52854,1.0,40755,0.8,-847029650,-1.3,-148780783,-3.5,-10315044,-9.7,-21,-2.2
"39000","1","10","51","0","2016","1","","Ohio -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1820,76496,76784,76786,1361172825,0,0,1365,"",0.99,0.74,0.75,0.74,0.77,0.00,0.00,1.04,"",-12,-0.7,402,0.5,871,1.1,819,1.1,-143571671,-9.5,0,0.0,0,0.0,-158,-10.4
"39000","1","10","51","0","2016","2","","Ohio -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1822,76873,77142,77717,1319898515,0,0,1314,"",1.00,0.74,0.74,0.74,0.78,0.00,0.00,1.06,"",-6,-0.3,149,0.2,964,1.3,1188,1.6,21522646,1.7,0,0.0,0,0.0,8,0.6
"39000","1","10","51","0","2016","3","","Ohio -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1813,77679,77810,77863,1550494734,0,0,1533,"",1.00,0.73,0.73,0.74,0.78,0.00,0.00,1.05,"",-5,-0.3,1143,1.5,1355,1.8,1591,2.1,37752429,2.5,0,0.0,0,0.0,10,0.7
"39000","1","10","51","0","2016","4","","Ohio -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1809,77821,77807,79171,1531835163,0,0,1506,"",1.00,0.74,0.74,0.75,0.82,0.00,0.00,1.11,"",-6,-0.3,1493,2.0,1268,1.7,1529,2.0,153830242,11.2,0,0.0,0,0.0,126,9.1
"39000","1","101","52","0","2016","1","","Ohio -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,8,8,9,211870,0,0,1956,"",0.27,0.00,0.00,0.00,0.01,0.00,0.00,1.53,"",0,0.0,-1,-11.1,0,0.0,1,12.5,9227,4.6,0,0.0,0,0.0,85,4.5
"39000","1","101","52","0","2016","2","","Ohio -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",1,9,9,9,172210,0,0,1472,"",0.27,0.00,0.00,0.00,0.01,0.00,0.00,1.20,"",0,0.0,1,12.5,1,12.5,1,12.5,12703,8.0,0,0.0,0,0.0,-62,-4.0
