"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"39043","0","10","70","0","2016","1","","Erie County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1960,33711,33877,34332,313674426,151754346,4358063,710,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.3,680,2.1,554,1.7,545,1.6,8759559,2.9,3518146,2.4,781750,21.9,7,1.0
"39043","0","10","70","0","2016","2","","Erie County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1993,35679,38356,40654,331015513,67593497,1725797,666,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,1.4,386,1.1,-547,-1.4,180,0.4,8761640,2.7,763270,1.1,123836,7.7,17,2.6
"39043","0","10","70","0","2016","3","","Erie County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1981,40792,40174,38290,368759889,57012822,1293351,714,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,0.7,5,0.0,86,0.2,-853,-2.2,24567201,7.1,2288967,4.2,143351,12.5,52,7.9
"39043","0","10","70","0","2016","4","","Erie County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1990,37224,35570,34982,354797092,25656855,566794,760,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",26,1.3,76,0.2,79,0.2,270,0.8,476624,0.1,-862633,-3.3,-8213,-1.4,-2,-0.3
"39043","1","10","71","0","2016","1","","Erie County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,265,238,209,3268065,0,0,1059,"",1.22,0.40,0.35,0.31,0.37,0.00,0.00,1.04,"",0,0.0,-15,-5.4,-43,-15.3,-73,-25.9,-2237344,-40.6,0,0.0,0,0.0,-448,-29.7
"39043","1","10","71","0","2016","2","","Erie County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,213,209,209,3059435,0,0,1119,"",1.21,0.31,0.28,0.26,0.34,0.00,0.00,1.20,"",0,0.0,-73,-25.5,-74,-26.1,-74,-26.1,-1691488,-35.6,0,0.0,0,0.0,-168,-13.1
"39043","1","10","71","0","2016","3","","Erie County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,208,207,206,3504250,0,0,1302,"",1.22,0.26,0.26,0.27,0.31,0.00,0.00,1.16,"",0,0.0,-74,-26.2,-77,-27.1,-74,-26.4,-2069490,-37.1,0,0.0,0,0.0,-218,-14.3
"39043","1","10","71","0","2016","4","","Erie County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,210,208,209,3487013,0,0,1283,"",1.23,0.29,0.30,0.30,0.35,0.00,0.00,1.17,"",0,0.0,-73,-25.8,-73,-26.0,-74,-26.1,-1543531,-30.7,0,0.0,0,0.0,-88,-6.4
"39043","1","102","72","0","2016","1","","Erie County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,265,238,209,3268065,0,0,1059,"",1.22,0.40,0.36,0.31,0.37,0.00,0.00,1.04,"",0,0.0,-15,-5.4,-43,-15.3,-73,-25.9,-2237344,-40.6,0,0.0,0,0.0,-448,-29.7
"39043","1","102","72","0","2016","2","","Erie County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,213,209,209,3059435,0,0,1119,"",1.21,0.31,0.28,0.27,0.34,0.00,0.00,1.20,"",0,0.0,-73,-25.5,-74,-26.1,-74,-26.1,-1691488,-35.6,0,0.0,0,0.0,-168,-13.1
"39043","1","102","72","0","2016","3","","Erie County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,208,207,206,3504250,0,0,1302,"",1.23,0.26,0.27,0.28,0.31,0.00,0.00,1.16,"",0,0.0,-74,-26.2,-77,-27.1,-74,-26.4,-2069490,-37.1,0,0.0,0,0.0,-218,-14.3
"39043","1","102","72","0","2016","4","","Erie County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,210,208,209,3487013,0,0,1283,"",1.23,0.29,0.31,0.31,0.36,0.00,0.00,1.17,"",0,0.0,-73,-25.8,-73,-26.0,-74,-26.1,-1543531,-30.7,0,0.0,0,0.0,-88,-6.4
"39043","1","1021","73","0","2016","1","","Erie County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,116,123,119,1540165,0,0,993,"",0.97,0.72,0.75,0.72,0.99,0.00,0.00,1.36,"",0,0.0,0,0.0,6,5.1,1,0.8,-271397,-15.0,0,0.0,0,0.0,-198,-16.6
"39043","1","1021","73","0","2016","2","","Erie County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,125,122,125,1523937,0,0,945,"",0.97,0.74,0.67,0.65,0.92,0.00,0.00,1.35,"",0,0.0,5,4.2,4,3.4,2,1.6,26613,1.8,0,0.0,0,0.0,-12,-1.3
"39043","1","1021","73","0","2016","3","","Erie County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,124,124,125,1806390,0,0,1118,"",0.98,0.63,0.64,0.68,0.88,0.00,0.00,1.34,"",0,0.0,4,3.3,3,2.5,5,4.2,28194,1.6,0,0.0,0,0.0,-19,-1.7
"39043","1","1021","73","0","2016","4","","Erie County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,126,122,123,1870666,0,0,1164,"",0.98,0.71,0.72,0.71,0.92,0.00,0.00,1.29,"",0,0.0,1,0.8,0,0.0,-1,-0.8,78838,4.4,0,0.0,0,0.0,49,4.4
"39043","1","1025","73","0","2016","1","","Erie County, Ohio","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,35,35,35,629484,0,0,1383,"",3.61,0.36,0.36,0.36,0.52,0.00,0.00,1.47,"",0,0.0,1,2.9,1,2.9,1,2.9,-48875,-7.2,0,0.0,0,0.0,-152,-9.9
"39043","1","1025","73","0","2016","2","","Erie County, Ohio","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,35,35,34,632988,0,0,1405,"",3.57,0.34,0.32,0.30,0.50,0.00,0.00,1.55,"",0,0.0,1,2.9,1,2.9,0,0.0,62746,11.0,0,0.0,0,0.0,115,8.9
"39043","1","1025","73","0","2016","3","","Erie County, Ohio","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,34,34,33,688843,0,0,1574,"",3.59,0.29,0.30,0.30,0.43,0.00,0.00,1.44,"",0,0.0,0,0.0,-1,-2.9,-1,-2.9,5381,0.8,0,0.0,0,0.0,43,2.8
"39043","1","1025","73","0","2016","4","","Erie County, Ohio","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,34,35,34,727089,0,0,1629,"",3.58,0.32,0.35,0.34,0.50,0.00,0.00,1.49,"",0,0.0,-1,-2.9,0,0.0,-2,-5.6,114221,18.6,0,0.0,0,0.0,295,22.1
