"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"39069","0","10","70","0","2016","1","","Henry County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",649,10634,10710,10594,99241202,50018174,2186986,717,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.9,62,0.6,198,1.9,148,1.4,3080876,3.2,1237090,2.5,-37008,-1.7,13,1.8
"39069","0","10","70","0","2016","2","","Henry County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",659,10796,11035,11102,104131244,15226964,498746,730,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.7,57,0.5,61,0.6,203,1.9,3542387,3.5,748435,5.2,6901,1.4,18,2.5
"39069","0","10","70","0","2016","3","","Henry County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",656,11147,11356,11428,118408971,10973328,445059,805,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.1,189,1.7,-72,-0.6,-77,-0.7,8380274,7.6,-17779,-0.2,-29024,-6.1,56,7.5
"39069","0","10","70","0","2016","4","","Henry County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",663,11618,11503,11199,120883311,7950763,249866,813,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,2.0,-81,-0.7,144,1.3,10,0.1,1754740,1.5,737066,10.2,3659,1.5,10,1.2
"39069","1","10","71","0","2016","1","","Henry County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,71,73,70,833932,0,0,899,"",3.43,0.34,0.34,0.33,0.30,0.00,0.00,0.87,"",0,0.0,1,1.4,5,7.4,1,1.4,-45428,-5.2,0,0.0,0,0.0,-81,-8.3
"39069","1","10","71","0","2016","2","","Henry County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,69,68,71,763694,0,0,847,"",3.41,0.33,0.32,0.33,0.27,0.00,0.00,0.83,"",0,0.0,-5,-6.8,-1,-1.4,0,0.0,-2376,-0.3,0,0.0,0,0.0,21,2.5
"39069","1","10","71","0","2016","3","","Henry County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,66,66,63,837574,0,0,991,"",3.20,0.30,0.29,0.28,0.23,0.00,0.00,0.79,"",-1,-7.1,-1,-1.5,-1,-1.5,-8,-11.3,-107645,-11.4,0,0.0,0,0.0,-73,-6.9
"39069","1","10","71","0","2016","4","","Henry County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,65,61,68,836553,0,0,995,"",3.19,0.29,0.27,0.31,0.25,0.00,0.00,0.85,"",-1,-7.1,-5,-7.1,-7,-10.3,-3,-4.2,-59678,-6.7,0,0.0,0,0.0,5,0.5
"39069","1","102","72","0","2016","1","","Henry County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,71,73,70,833932,0,0,899,"",3.43,0.34,0.35,0.34,0.30,0.00,0.00,0.87,"",0,0.0,1,1.4,5,7.4,1,1.4,-45428,-5.2,0,0.0,0,0.0,-81,-8.3
"39069","1","102","72","0","2016","2","","Henry County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,69,68,71,763694,0,0,847,"",3.41,0.33,0.32,0.33,0.27,0.00,0.00,0.83,"",0,0.0,-5,-6.8,-1,-1.4,0,0.0,-2376,-0.3,0,0.0,0,0.0,21,2.5
