"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"39091","0","10","70","0","2016","1","","Logan County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",899,19661,19674,19307,203310727,111441752,1662301,800,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.2,460,2.4,644,3.4,212,1.1,12522229,6.6,4466472,4.2,-254444,-13.3,32,4.2
"39091","0","10","70","0","2016","2","","Logan County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",912,19448,19714,19824,205762126,28949834,570590,805,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.3,435,2.3,429,2.2,422,2.2,4984841,2.5,2000912,7.4,-31113,-5.2,2,0.2
"39091","0","10","70","0","2016","3","","Logan County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",927,19770,19785,19634,215496182,18099343,339288,840,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,3.1,365,1.9,426,2.2,339,1.8,13606361,6.7,960050,5.6,-35382,-9.4,38,4.7
"39091","0","10","70","0","2016","4","","Logan County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",927,19785,20135,20276,244242022,15762000,283909,936,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",26,2.9,410,2.1,571,2.9,798,4.1,4551836,1.9,881011,5.9,-46532,-14.1,-11,-1.2
"39091","1","10","71","0","2016","1","","Logan County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,119,122,119,1757916,0,0,1127,"",3.18,0.30,0.31,0.31,0.30,0.00,0.00,0.98,"",0,0.0,5,4.4,8,7.0,5,4.4,5591,0.3,0,0.0,0,0.0,-55,-4.7
"39091","1","10","71","0","2016","2","","Logan County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,122,120,119,1626745,0,0,1040,"",3.16,0.32,0.31,0.31,0.29,0.00,0.00,0.92,"",0,0.0,12,10.9,12,11.1,8,7.2,126766,8.5,0,0.0,0,0.0,-12,-1.1
"39091","1","10","71","0","2016","3","","Logan County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,118,124,118,1928010,0,0,1236,"",3.14,0.30,0.32,0.31,0.29,0.00,0.00,0.94,"",0,0.0,8,7.3,9,7.8,-2,-1.7,26573,1.4,0,0.0,0,0.0,-36,-2.8
"39091","1","10","71","0","2016","4","","Logan County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,123,121,125,1838683,0,0,1150,"",3.16,0.32,0.31,0.31,0.27,0.00,0.00,0.85,"",0,0.0,11,9.8,5,4.3,4,3.3,107058,6.2,0,0.0,0,0.0,5,0.4
"39091","1","102","72","0","2016","1","","Logan County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,119,122,119,1757916,0,0,1127,"",3.19,0.31,0.32,0.32,0.31,0.00,0.00,0.98,"",0,0.0,5,4.4,8,7.0,5,4.4,5591,0.3,0,0.0,0,0.0,-55,-4.7
"39091","1","102","72","0","2016","2","","Logan County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,122,120,119,1626745,0,0,1040,"",3.17,0.33,0.32,0.31,0.29,0.00,0.00,0.92,"",0,0.0,12,10.9,12,11.1,8,7.2,126766,8.5,0,0.0,0,0.0,-12,-1.1
"39091","1","102","72","0","2016","3","","Logan County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,118,124,118,1928010,0,0,1236,"",3.15,0.31,0.32,0.31,0.29,0.00,0.00,0.94,"",0,0.0,8,7.3,9,7.8,-2,-1.7,26573,1.4,0,0.0,0,0.0,-36,-2.8
"39091","1","102","72","0","2016","4","","Logan County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,123,121,125,1838683,0,0,1150,"",3.17,0.32,0.31,0.32,0.27,0.00,0.00,0.85,"",0,0.0,11,9.8,5,4.3,4,3.3,107058,6.2,0,0.0,0,0.0,5,0.4
"39091","1","1021","73","0","2016","1","","Logan County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,78,85,80,835859,0,0,794,"",4.60,0.83,0.89,0.86,0.83,0.00,0.00,0.97,"",0,0.0,0,0.0,8,10.4,6,8.1,-93958,-10.1,0,0.0,0,0.0,-143,-15.3
"39091","1","1021","73","0","2016","2","","Logan County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,84,83,82,844019,0,0,782,"",4.57,0.91,0.88,0.87,0.82,0.00,0.00,0.93,"",0,0.0,9,12.0,11,15.3,7,9.3,49532,6.2,0,0.0,0,0.0,-44,-5.3
"39091","1","1021","73","0","2016","3","","Logan County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,80,84,82,984725,0,0,924,"",4.54,0.84,0.89,0.88,0.82,0.00,0.00,0.94,"",0,0.0,9,12.7,4,5.0,1,1.2,-15811,-1.6,0,0.0,0,0.0,-71,-7.1
"39091","1","1021","73","0","2016","4","","Logan County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,85,83,82,1025977,0,0,947,"",4.58,0.90,0.87,0.82,0.73,0.00,0.00,0.85,"",0,0.0,8,10.4,2,2.5,1,1.2,38433,3.9,0,0.0,0,0.0,-7,-0.7
"39091","1","1028","73","0","2016","1","","Logan County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,41,37,39,922057,0,0,1819,"",2.17,0.19,0.17,0.19,0.25,0.00,0.00,1.37,"",0,0.0,5,13.9,0,0.0,-1,-2.5,99549,12.1,0,0.0,0,0.0,139,8.3
"39091","1","1028","73","0","2016","2","","Logan County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,38,37,37,782726,0,0,1613,"",2.16,0.18,0.18,0.17,0.23,0.00,0.00,1.27,"",0,0.0,3,8.6,1,2.8,1,2.8,77234,10.9,0,0.0,0,0.0,91,6.0
"39091","1","1028","73","0","2016","3","","Logan County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,38,40,36,943285,0,0,1909,"",2.14,0.18,0.19,0.17,0.23,0.00,0.00,1.28,"",0,0.0,-1,-2.6,5,14.3,-3,-7.7,42384,4.7,0,0.0,0,0.0,69,3.8
"39091","1","1028","73","0","2016","4","","Logan County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,38,38,43,812706,0,0,1576,"",2.16,0.18,0.18,0.20,0.20,0.00,0.00,1.07,"",0,0.0,3,8.6,3,8.6,3,7.5,68625,9.2,0,0.0,0,0.0,15,1.0
"39091","1","48-49","74","0","2016","1","","Logan County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,78,85,80,835859,0,0,794,"",4.73,0.91,0.98,0.94,0.90,0.00,0.00,0.95,"",0,0.0,0,0.0,8,10.4,6,8.1,-93958,-10.1,0,0.0,0,0.0,-143,-15.3
"39091","1","48-49","74","0","2016","2","","Logan County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,84,83,82,844019,0,0,782,"",4.70,1.00,0.97,0.95,0.89,0.00,0.00,0.91,"",0,0.0,9,12.0,11,15.3,7,9.3,49532,6.2,0,0.0,0,0.0,-44,-5.3
"39091","1","48-49","74","0","2016","3","","Logan County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,80,84,82,984725,0,0,924,"",4.68,0.92,0.97,0.96,0.88,0.00,0.00,0.92,"",0,0.0,9,12.7,4,5.0,1,1.2,-15811,-1.6,0,0.0,0,0.0,-71,-7.1
"39091","1","48-49","74","0","2016","4","","Logan County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,85,83,82,1025977,0,0,947,"",4.71,0.99,0.95,0.89,0.79,0.00,0.00,0.84,"",0,0.0,8,10.4,2,2.5,1,1.2,38433,3.9,0,0.0,0,0.0,-7,-0.7
"39091","1","491","75","0","2016","1","","Logan County, Ohio","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,78,85,80,835859,0,0,794,"",4.77,0.93,1.00,0.96,0.94,0.00,0.00,0.98,"",0,0.0,0,0.0,8,10.4,6,8.1,-93958,-10.1,0,0.0,0,0.0,-143,-15.3
"39091","1","491","75","0","2016","2","","Logan County, Ohio","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,84,83,82,844019,0,0,782,"",4.74,1.02,0.99,0.97,0.93,0.00,0.00,0.93,"",0,0.0,9,12.0,11,15.3,7,9.3,49532,6.2,0,0.0,0,0.0,-44,-5.3
"39091","1","491","75","0","2016","3","","Logan County, Ohio","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,80,84,82,984725,0,0,924,"",4.71,0.94,0.99,0.98,0.92,0.00,0.00,0.94,"",0,0.0,9,12.7,4,5.0,1,1.2,-15811,-1.6,0,0.0,0,0.0,-71,-7.1
"39091","1","491","75","0","2016","4","","Logan County, Ohio","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,85,83,82,1025977,0,0,947,"",4.74,1.01,0.97,0.91,0.82,0.00,0.00,0.85,"",0,0.0,8,10.4,2,2.5,1,1.2,38433,3.9,0,0.0,0,0.0,-7,-0.7
"39091","1","4911","76","0","2016","1","","Logan County, Ohio","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,78,85,80,835859,0,0,794,"",4.77,0.93,1.00,0.96,0.94,0.00,0.00,0.98,"",0,0.0,0,0.0,8,10.4,6,8.1,-93958,-10.1,0,0.0,0,0.0,-143,-15.3
"39091","1","4911","76","0","2016","2","","Logan County, Ohio","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,84,83,82,844019,0,0,782,"",4.74,1.02,0.99,0.97,0.93,0.00,0.00,0.93,"",0,0.0,9,12.0,11,15.3,7,9.3,49532,6.2,0,0.0,0,0.0,-44,-5.3
"39091","1","4911","76","0","2016","3","","Logan County, Ohio","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,80,84,82,984725,0,0,924,"",4.71,0.94,0.99,0.98,0.92,0.00,0.00,0.94,"",0,0.0,9,12.7,4,5.0,1,1.2,-15811,-1.6,0,0.0,0,0.0,-71,-7.1
"39091","1","4911","76","0","2016","4","","Logan County, Ohio","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,85,83,82,1025977,0,0,947,"",4.74,1.01,0.97,0.91,0.82,0.00,0.00,0.85,"",0,0.0,8,10.4,2,2.5,1,1.2,38433,3.9,0,0.0,0,0.0,-7,-0.7
"39091","1","49111","77","0","2016","1","","Logan County, Ohio","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,78,85,80,835859,0,0,794,"",4.77,0.93,1.00,0.96,0.94,0.00,0.00,0.98,"",0,0.0,0,0.0,8,10.4,6,8.1,-93958,-10.1,0,0.0,0,0.0,-143,-15.3
"39091","1","49111","77","0","2016","2","","Logan County, Ohio","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,84,83,82,844019,0,0,782,"",4.74,1.02,0.99,0.97,0.93,0.00,0.00,0.93,"",0,0.0,9,12.0,11,15.3,7,9.3,49532,6.2,0,0.0,0,0.0,-44,-5.3
"39091","1","49111","77","0","2016","3","","Logan County, Ohio","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,80,84,82,984725,0,0,924,"",4.71,0.94,0.99,0.98,0.92,0.00,0.00,0.94,"",0,0.0,9,12.7,4,5.0,1,1.2,-15811,-1.6,0,0.0,0,0.0,-71,-7.1
"39091","1","49111","77","0","2016","4","","Logan County, Ohio","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,85,83,82,1025977,0,0,947,"",4.74,1.01,0.97,0.91,0.82,0.00,0.00,0.85,"",0,0.0,8,10.4,2,2.5,1,1.2,38433,3.9,0,0.0,0,0.0,-7,-0.7
"39091","1","491110","78","0","2016","1","","Logan County, Ohio","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,78,85,80,835859,0,0,794,"",4.77,0.93,1.00,0.96,0.94,0.00,0.00,0.98,"",0,0.0,0,0.0,8,10.4,6,8.1,-93958,-10.1,0,0.0,0,0.0,-143,-15.3
"39091","1","491110","78","0","2016","2","","Logan County, Ohio","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,84,83,82,844019,0,0,782,"",4.74,1.02,0.99,0.97,0.93,0.00,0.00,0.93,"",0,0.0,9,12.0,11,15.3,7,9.3,49532,6.2,0,0.0,0,0.0,-44,-5.3
"39091","1","491110","78","0","2016","3","","Logan County, Ohio","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,80,84,82,984725,0,0,924,"",4.71,0.94,0.99,0.98,0.92,0.00,0.00,0.94,"",0,0.0,9,12.7,4,5.0,1,1.2,-15811,-1.6,0,0.0,0,0.0,-71,-7.1
"39091","1","491110","78","0","2016","4","","Logan County, Ohio","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,85,83,82,1025977,0,0,947,"",4.74,1.01,0.97,0.91,0.82,0.00,0.00,0.85,"",0,0.0,8,10.4,2,2.5,1,1.2,38433,3.9,0,0.0,0,0.0,-7,-0.7
"39091","1","92","74","0","2016","1","","Logan County, Ohio","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,41,37,39,922057,0,0,1819,"",2.17,0.19,0.17,0.19,0.25,0.00,0.00,1.37,"",0,0.0,5,13.9,0,0.0,-1,-2.5,99549,12.1,0,0.0,0,0.0,139,8.3
"39091","1","92","74","0","2016","2","","Logan County, Ohio","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,38,37,37,782726,0,0,1613,"",2.16,0.18,0.18,0.17,0.23,0.00,0.00,1.27,"",0,0.0,3,8.6,1,2.8,1,2.8,77234,10.9,0,0.0,0,0.0,91,6.0
"39091","1","92","74","0","2016","3","","Logan County, Ohio","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,38,40,36,943285,0,0,1909,"",2.14,0.18,0.19,0.17,0.23,0.00,0.00,1.28,"",0,0.0,-1,-2.6,5,14.3,-3,-7.7,42384,4.7,0,0.0,0,0.0,69,3.8
"39091","1","92","74","0","2016","4","","Logan County, Ohio","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,38,38,43,812706,0,0,1576,"",2.16,0.18,0.18,0.20,0.20,0.00,0.00,1.07,"",0,0.0,3,8.6,3,8.6,3,7.5,68625,9.2,0,0.0,0,0.0,15,1.0
"39091","1","921","75","0","2016","1","","Logan County, Ohio","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,21935,0,0,1687,"",5.19,0.05,0.05,0.05,0.06,0.00,0.00,1.33,"",0,0.0,0,0.0,0,0.0,0,0.0,941,4.5,0,0.0,0,0.0,72,4.5
"39091","1","921","75","0","2016","2","","Logan County, Ohio","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,23418,0,0,1801,"",5.03,0.05,0.05,0.05,0.07,0.00,0.00,1.51,"",0,0.0,0,0.0,0,0.0,0,0.0,4770,25.6,0,0.0,0,0.0,367,25.6
"39091","1","921","75","0","2016","3","","Logan County, Ohio","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,20072,0,0,1544,"",4.87,0.05,0.05,0.05,0.06,0.00,0.00,1.16,"",0,0.0,0,0.0,0,0.0,0,0.0,-1096,-5.2,0,0.0,0,0.0,-84,-5.2
"39091","1","921","75","0","2016","4","","Logan County, Ohio","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,23525,0,0,1810,"",4.84,0.05,0.05,0.05,0.06,0.00,0.00,1.31,"",0,0.0,0,0.0,0,0.0,0,0.0,4427,23.2,0,0.0,0,0.0,341,23.2
"39091","1","9211","76","0","2016","1","","Logan County, Ohio","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,21935,0,0,1687,"",5.19,0.05,0.05,0.05,0.06,0.00,0.00,1.33,"",0,0.0,0,0.0,0,0.0,0,0.0,941,4.5,0,0.0,0,0.0,72,4.5
"39091","1","9211","76","0","2016","2","","Logan County, Ohio","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,23418,0,0,1801,"",5.03,0.05,0.05,0.05,0.07,0.00,0.00,1.51,"",0,0.0,0,0.0,0,0.0,0,0.0,4770,25.6,0,0.0,0,0.0,367,25.6
"39091","1","9211","76","0","2016","3","","Logan County, Ohio","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,20072,0,0,1544,"",4.87,0.05,0.05,0.05,0.06,0.00,0.00,1.16,"",0,0.0,0,0.0,0,0.0,0,0.0,-1096,-5.2,0,0.0,0,0.0,-84,-5.2
"39091","1","9211","76","0","2016","4","","Logan County, Ohio","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,23525,0,0,1810,"",4.84,0.05,0.05,0.05,0.06,0.00,0.00,1.31,"",0,0.0,0,0.0,0,0.0,0,0.0,4427,23.2,0,0.0,0,0.0,341,23.2
"39091","1","92119","77","0","2016","1","","Logan County, Ohio","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,21935,0,0,1687,"",7.19,0.19,0.19,0.20,0.26,0.00,0.00,1.32,"",0,0.0,0,0.0,0,0.0,0,0.0,941,4.5,0,0.0,0,0.0,72,4.5
"39091","1","92119","77","0","2016","2","","Logan County, Ohio","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,23418,0,0,1801,"",6.92,0.20,0.19,0.19,0.27,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,4770,25.6,0,0.0,0,0.0,367,25.6
"39091","1","92119","77","0","2016","3","","Logan County, Ohio","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,20072,0,0,1544,"",6.63,0.20,0.19,0.19,0.23,0.00,0.00,1.22,"",0,0.0,0,0.0,0,0.0,0,0.0,-1096,-5.2,0,0.0,0,0.0,-84,-5.2
"39091","1","92119","77","0","2016","4","","Logan County, Ohio","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,23525,0,0,1810,"",6.55,0.19,0.19,0.19,0.23,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,4427,23.2,0,0.0,0,0.0,341,23.2
"39091","1","921190","78","0","2016","1","","Logan County, Ohio","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,21935,0,0,1687,"",7.19,0.19,0.19,0.20,0.26,0.00,0.00,1.32,"",0,0.0,0,0.0,0,0.0,0,0.0,941,4.5,0,0.0,0,0.0,72,4.5
"39091","1","921190","78","0","2016","2","","Logan County, Ohio","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,23418,0,0,1801,"",6.92,0.20,0.19,0.19,0.27,0.00,0.00,1.40,"",0,0.0,0,0.0,0,0.0,0,0.0,4770,25.6,0,0.0,0,0.0,367,25.6
"39091","1","921190","78","0","2016","3","","Logan County, Ohio","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,20072,0,0,1544,"",6.63,0.20,0.19,0.19,0.23,0.00,0.00,1.22,"",0,0.0,0,0.0,0,0.0,0,0.0,-1096,-5.2,0,0.0,0,0.0,-84,-5.2
