"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"39105","0","10","70","0","2016","1","","Meigs County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",346,3338,3339,3434,23689997,11419443,283637,541,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.2,-108,-3.1,-114,-3.3,-32,-0.9,-1742060,-6.8,-373475,-3.2,-51499,-15.4,-25,-4.4
"39105","0","10","70","0","2016","2","","Meigs County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",341,3527,3572,3581,26074733,6196018,157054,563,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.2,-96,-2.6,-107,-2.9,-55,-1.5,53837,0.2,-264986,-4.1,2442,1.6,14,2.6
"39105","0","10","70","0","2016","3","","Meigs County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",340,3476,3481,3505,27275504,3234444,78082,602,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-4.0,-92,-2.6,-64,-1.8,-76,-2.1,1049294,4.0,-277903,-7.9,-9527,-10.9,36,6.4
"39105","0","10","70","0","2016","4","","Meigs County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",340,3561,3547,3493,27831138,2311591,59566,606,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-4.0,-33,-0.9,-20,-0.6,-32,-0.9,145510,0.5,-119547,-4.9,-2979,-4.8,8,1.3
"39105","1","10","71","0","2016","1","","Meigs County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,56,55,57,728332,0,0,1000,"",5.05,0.84,0.83,0.84,1.08,0.00,0.00,1.29,"",0,0.0,-6,-9.7,-3,-5.2,-1,-1.7,-47833,-6.2,0,0.0,0,0.0,-6,-0.6
"39105","1","10","71","0","2016","2","","Meigs County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,58,61,62,685459,0,0,874,"",5.17,0.84,0.87,0.88,0.96,0.00,0.00,1.11,"",0,0.0,-2,-3.3,4,7.0,5,8.8,-32028,-4.5,0,0.0,0,0.0,-78,-8.2
"39105","1","10","71","0","2016","3","","Meigs County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,59,62,60,776162,0,0,990,"",5.23,0.85,0.90,0.87,0.92,0.00,0.00,1.05,"",0,0.0,5,9.3,8,14.8,5,9.1,36210,4.9,0,0.0,0,0.0,-58,-5.5
"39105","1","10","71","0","2016","4","","Meigs County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,61,59,59,717851,0,0,925,"",5.27,0.88,0.85,0.86,0.91,0.00,0.00,1.06,"",0,0.0,6,10.9,2,3.5,2,3.5,-52997,-6.9,0,0.0,0,0.0,-128,-12.2
"39105","1","102","72","0","2016","1","","Meigs County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,56,55,57,728332,0,0,1000,"",5.06,0.86,0.85,0.86,1.10,0.00,0.00,1.29,"",0,0.0,-6,-9.7,-3,-5.2,-1,-1.7,-47833,-6.2,0,0.0,0,0.0,-6,-0.6
"39105","1","102","72","0","2016","2","","Meigs County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,58,61,62,685459,0,0,874,"",5.18,0.86,0.89,0.90,0.98,0.00,0.00,1.11,"",0,0.0,-2,-3.3,4,7.0,5,8.8,-32028,-4.5,0,0.0,0,0.0,-78,-8.2
"39105","1","102","72","0","2016","3","","Meigs County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,59,62,60,776162,0,0,990,"",5.24,0.87,0.92,0.89,0.94,0.00,0.00,1.05,"",0,0.0,5,9.3,8,14.8,5,9.1,36210,4.9,0,0.0,0,0.0,-58,-5.5
"39105","1","102","72","0","2016","4","","Meigs County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,61,59,59,717851,0,0,925,"",5.28,0.89,0.87,0.87,0.93,0.00,0.00,1.06,"",0,0.0,6,10.9,2,3.5,2,3.5,-52997,-6.9,0,0.0,0,0.0,-128,-12.2
