"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"39161","0","10","70","0","2016","1","","Van Wert County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",624,10603,10652,10746,92386564,53308456,1011230,666,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.0,71,0.7,168,1.6,128,1.2,1393191,1.5,606937,1.2,-78950,-7.2,2,0.3
"39161","0","10","70","0","2016","2","","Van Wert County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",629,10964,11007,10979,96707489,15874816,340023,677,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.6,141,1.3,-20,-0.2,-83,-0.8,3419158,3.7,617131,4.0,34198,11.2,23,3.5
"39161","0","10","70","0","2016","3","","Van Wert County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",629,10882,10878,10914,98736031,9439676,215876,697,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.5,-208,-1.9,13,0.1,151,1.4,5050435,5.4,470401,5.2,40381,23.0,36,5.4
"39161","0","10","70","0","2016","4","","Van Wert County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",629,10892,10810,10903,100297099,7165125,172457,710,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,109,1.0,87,0.8,130,1.2,-2139769,-2.1,148309,2.1,35592,26.0,-22,-3.0
"39161","1","10","71","0","2016","1","","Van Wert County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,46,48,48,519835,0,0,845,"",2.80,0.22,0.23,0.23,0.20,0.00,0.00,0.88,"",0,0.0,3,7.0,6,14.3,2,4.3,-96402,-15.6,0,0.0,0,0.0,-241,-22.2
"39161","1","10","71","0","2016","2","","Van Wert County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,50,48,52,518200,0,0,797,"",2.80,0.23,0.22,0.24,0.20,0.00,0.00,0.84,"",0,0.0,-2,-3.8,0,0.0,1,2.0,8810,1.7,0,0.0,0,0.0,19,2.4
"39161","1","10","71","0","2016","3","","Van Wert County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,49,50,51,663212,0,0,1020,"",2.57,0.23,0.23,0.24,0.22,0.00,0.00,0.93,"",-1,-9.1,0,0.0,2,4.2,3,6.2,43156,7.0,0,0.0,0,0.0,33,3.3
"39161","1","10","71","0","2016","4","","Van Wert County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,50,50,52,622117,0,0,945,"",2.59,0.24,0.24,0.24,0.22,0.00,0.00,0.92,"",-1,-9.1,3,6.4,-1,-2.0,1,2.0,40768,7.0,0,0.0,0,0.0,45,5.0
"39161","1","102","72","0","2016","1","","Van Wert County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,46,48,48,519835,0,0,845,"",2.81,0.22,0.23,0.23,0.20,0.00,0.00,0.88,"",0,0.0,3,7.0,6,14.3,2,4.3,-96402,-15.6,0,0.0,0,0.0,-241,-22.2
"39161","1","102","72","0","2016","2","","Van Wert County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,50,48,52,518200,0,0,797,"",2.81,0.24,0.23,0.25,0.20,0.00,0.00,0.84,"",0,0.0,-2,-3.8,0,0.0,1,2.0,8810,1.7,0,0.0,0,0.0,19,2.4
"39161","1","102","72","0","2016","3","","Van Wert County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,49,50,51,663212,0,0,1020,"",2.58,0.23,0.24,0.24,0.22,0.00,0.00,0.93,"",-1,-9.1,0,0.0,2,4.2,3,6.2,43156,7.0,0,0.0,0,0.0,33,3.3
"39161","1","102","72","0","2016","4","","Van Wert County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,50,50,52,622117,0,0,945,"",2.59,0.24,0.24,0.25,0.22,0.00,0.00,0.92,"",-1,-9.1,3,6.4,-1,-2.0,1,2.0,40768,7.0,0,0.0,0,0.0,45,5.0
"39161","1","1021","73","0","2016","1","","Van Wert County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,40,42,42,437709,0,0,815,"",4.59,0.78,0.82,0.81,0.96,0.00,0.00,1.19,"",0,0.0,3,8.1,6,16.7,2,5.0,-95764,-18.0,0,0.0,0,0.0,-274,-25.2
"39161","1","1021","73","0","2016","2","","Van Wert County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,41,42,41,445470,0,0,829,"",4.59,0.79,0.80,0.78,0.92,0.00,0.00,1.17,"",0,0.0,-1,-2.4,0,0.0,-3,-6.8,5196,1.2,0,0.0,0,0.0,35,4.4
"39161","1","1021","73","0","2016","3","","Van Wert County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,41,42,44,544182,0,0,989,"",4.12,0.79,0.81,0.84,0.99,0.00,0.00,1.22,"",-1,-11.1,-1,-2.4,0,0.0,2,4.8,12091,2.3,0,0.0,0,0.0,14,1.4
"39161","1","1021","73","0","2016","4","","Van Wert County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,43,43,41,526060,0,0,956,"",4.15,0.83,0.84,0.76,0.92,0.00,0.00,1.13,"",-1,-11.1,2,4.9,1,2.4,0,0.0,15930,3.1,0,0.0,0,0.0,7,0.7
"39161","1","1028","73","0","2016","1","","Van Wert County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,6,6,82126,0,0,1053,"",1.25,0.05,0.05,0.05,0.05,0.00,0.00,0.96,"",0,0.0,0,0.0,0,0.0,0,0.0,-638,-0.8,0,0.0,0,0.0,-8,-0.8
"39161","1","1028","73","0","2016","2","","Van Wert County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,6,11,72730,0,0,646,"",1.25,0.08,0.05,0.09,0.04,0.00,0.00,0.60,"",0,0.0,-1,-10.0,0,0.0,4,57.1,3614,5.2,0,0.0,0,0.0,-47,-6.8
"39161","1","1028","73","0","2016","3","","Van Wert County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,8,7,119030,0,0,1194,"",1.26,0.07,0.07,0.06,0.06,0.00,0.00,0.97,"",0,0.0,1,14.3,2,33.3,1,16.7,31065,35.3,0,0.0,0,0.0,126,11.8
"39161","1","1028","73","0","2016","4","","Van Wert County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,7,11,96057,0,0,887,"",1.27,0.06,0.06,0.09,0.06,0.00,0.00,0.80,"",0,0.0,1,16.7,-2,-22.2,1,10.0,24838,34.9,0,0.0,0,0.0,230,35.0
"39161","1","48-49","74","0","2016","1","","Van Wert County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,40,42,42,437709,0,0,815,"",4.72,0.86,0.89,0.89,1.03,0.00,0.00,1.17,"",0,0.0,3,8.1,6,16.7,2,5.0,-95764,-18.0,0,0.0,0,0.0,-274,-25.2
"39161","1","48-49","74","0","2016","2","","Van Wert County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,41,42,41,445470,0,0,829,"",4.72,0.86,0.88,0.86,1.00,0.00,0.00,1.15,"",0,0.0,-1,-2.4,0,0.0,-3,-6.8,5196,1.2,0,0.0,0,0.0,35,4.4
"39161","1","48-49","74","0","2016","3","","Van Wert County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,41,42,44,544182,0,0,989,"",4.24,0.86,0.88,0.92,1.06,0.00,0.00,1.19,"",-1,-11.1,-1,-2.4,0,0.0,2,4.8,12091,2.3,0,0.0,0,0.0,14,1.4
"39161","1","48-49","74","0","2016","4","","Van Wert County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,43,43,41,526060,0,0,956,"",4.27,0.91,0.92,0.83,0.99,0.00,0.00,1.12,"",-1,-11.1,2,4.9,1,2.4,0,0.0,15930,3.1,0,0.0,0,0.0,7,0.7
