"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"40067","0","10","70","0","2016","1","","Jefferson County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",146,1173,1174,1189,9030656,6343798,62836,589,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.7,34,3.0,35,3.1,48,4.2,238267,2.7,428564,7.2,8101,14.8,-4,-0.7
"40067","0","10","70","0","2016","2","","Jefferson County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",145,1232,1217,1098,10909495,4921533,52527,710,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-2.0,107,9.5,108,9.7,29,2.7,1477778,15.7,795056,19.3,19619,59.6,51,7.7
"40067","0","10","70","0","2016","3","","Jefferson County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",140,1063,1120,1167,9501608,2804594,23782,655,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-5.4,69,6.9,32,2.9,56,5.0,513609,5.7,-6116,-0.2,1811,8.2,5,0.8
"40067","0","10","70","0","2016","4","","Jefferson County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",138,1086,1077,1068,8992898,1637779,13706,642,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-8.0,-67,-5.8,-104,-8.8,-138,-11.4,-682013,-7.0,-587609,-26.4,-5851,-29.9,11,1.7
"40067","1","10","71","0","2016","1","","Jefferson County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,29,29,24,298130,0,0,839,"",8.70,1.24,1.25,1.02,1.16,0.00,0.00,0.99,"",0,0.0,-2,-6.5,-1,-3.3,-2,-7.7,-27331,-8.4,0,0.0,0,0.0,-24,-2.8
"40067","1","10","71","0","2016","2","","Jefferson County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,26,24,28,268503,0,0,794,"",8.85,1.08,1.01,1.30,0.90,0.00,0.00,0.80,"",0,0.0,-5,-16.1,-7,-22.6,1,3.7,-40337,-13.1,0,0.0,0,0.0,-7,-0.9
"40067","1","10","71","0","2016","3","","Jefferson County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,29,32,28,350157,0,0,908,"",9.24,1.37,1.44,1.22,1.19,0.00,0.00,0.88,"",0,0.0,1,3.6,2,6.7,2,7.7,32814,10.3,0,0.0,0,0.0,36,4.1
"40067","1","10","71","0","2016","4","","Jefferson County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,31,28,28,293243,0,0,778,"",9.44,1.46,1.33,1.33,1.16,0.00,0.00,0.84,"",0,0.0,6,24.0,4,16.7,-1,-3.4,3275,1.1,0,0.0,0,0.0,-80,-9.3
"40067","1","102","72","0","2016","1","","Jefferson County, Oklahoma","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,29,29,24,298130,0,0,839,"",8.72,1.27,1.27,1.04,1.18,0.00,0.00,0.99,"",0,0.0,-2,-6.5,-1,-3.3,-2,-7.7,-27331,-8.4,0,0.0,0,0.0,-24,-2.8
"40067","1","102","72","0","2016","2","","Jefferson County, Oklahoma","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,26,24,28,268503,0,0,794,"",8.86,1.10,1.03,1.32,0.91,0.00,0.00,0.80,"",0,0.0,-5,-16.1,-7,-22.6,1,3.7,-40337,-13.1,0,0.0,0,0.0,-7,-0.9
