"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"40091","0","10","70","0","2016","1","","McIntosh County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",405,3944,3911,3945,27233250,19935556,156517,533,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.5,-20,-0.5,-80,-2.0,-40,-1.0,-19167,-0.1,395284,2.0,-14002,-8.2,6,1.1
"40091","0","10","70","0","2016","2","","McIntosh County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",403,3992,4040,4025,29460061,15826120,118792,564,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-2.7,-34,-0.8,-58,-1.4,180,4.7,67518,0.2,685750,4.5,-7899,-6.2,-3,-0.5
"40091","0","10","70","0","2016","3","","McIntosh County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",410,3743,3875,3947,28600966,10424873,80567,571,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.4,-66,-1.7,-22,-0.6,-154,-3.8,962840,3.5,239748,2.4,-11124,-12.1,31,5.7
"40091","0","10","70","0","2016","4","","McIntosh County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",404,3905,3900,3877,28769014,7176072,57097,568,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.9,-166,-4.1,-203,-4.9,-200,-4.9,-2043291,-6.6,-268706,-3.6,-8799,-13.4,-12,-2.1
"40091","1","10","71","0","2016","1","","McIntosh County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,33,37,37,398264,0,0,859,"",1.96,0.42,0.48,0.47,0.51,0.00,0.00,1.12,"",0,0.0,-3,-8.3,1,2.8,2,5.7,-53585,-11.9,0,0.0,0,0.0,-116,-11.9
"40091","1","10","71","0","2016","2","","McIntosh County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,36,37,38,388610,0,0,808,"",1.99,0.46,0.47,0.48,0.48,0.00,0.00,1.02,"",0,0.0,0,0.0,0,0.0,4,11.8,5838,1.5,0,0.0,0,0.0,-18,-2.2
"40091","1","10","71","0","2016","3","","McIntosh County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,37,37,35,440666,0,0,933,"",1.97,0.50,0.48,0.45,0.50,0.00,0.00,1.04,"",0,0.0,1,2.8,3,8.8,1,2.9,8792,2.0,0,0.0,0,0.0,-25,-2.6
"40091","1","10","71","0","2016","4","","McIntosh County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,34,37,37,461427,0,0,986,"",2.02,0.45,0.49,0.48,0.57,0.00,0.00,1.21,"",0,0.0,0,0.0,4,12.1,4,12.1,20945,4.8,0,0.0,0,0.0,-30,-3.0
"40091","1","102","72","0","2016","1","","McIntosh County, Oklahoma","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,33,37,37,398264,0,0,859,"",1.96,0.43,0.49,0.48,0.52,0.00,0.00,1.12,"",0,0.0,-3,-8.3,1,2.8,2,5.7,-53585,-11.9,0,0.0,0,0.0,-116,-11.9
"40091","1","102","72","0","2016","2","","McIntosh County, Oklahoma","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,36,37,38,388610,0,0,808,"",1.99,0.47,0.48,0.49,0.49,0.00,0.00,1.02,"",0,0.0,0,0.0,0,0.0,4,11.8,5838,1.5,0,0.0,0,0.0,-18,-2.2
