"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"40113","0","10","70","0","2016","1","","Osage County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",597,6573,6519,6567,58071785,40485852,472380,682,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.3,-132,-2.0,-243,-3.6,-186,-2.8,-1062869,-1.8,-244734,-0.6,-20765,-4.2,7,1.0
"40113","0","10","70","0","2016","2","","Osage County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",601,6628,6707,6735,58462739,24169455,244290,672,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.9,-186,-2.7,-109,-1.6,25,0.4,-2873156,-4.7,-1453614,-5.7,-45648,-15.7,-24,-3.4
"40113","0","10","70","0","2016","3","","Osage County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",597,6508,6736,6732,59861364,14549211,173979,692,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-1,0.0,61,0.9,18,0.3,2042878,3.5,850741,6.2,17483,11.2,21,3.1
"40113","0","10","70","0","2016","4","","Osage County, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",595,6861,6657,6761,60629408,10195401,143051,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.5,3,0.0,-243,-3.5,-68,-1.0,-3419915,-5.3,-43374,-0.4,-13692,-8.7,-28,-3.9
"40113","1","10","71","0","2016","1","","Osage County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,157,159,156,2338504,0,0,1143,"",7.98,1.20,1.23,1.20,1.42,0.00,0.00,1.17,"",0,0.0,-17,-9.8,-16,-9.1,-24,-13.3,-155582,-6.2,0,0.0,0,0.0,55,5.1
"40113","1","10","71","0","2016","2","","Osage County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,167,161,165,2261052,0,0,1058,"",7.74,1.29,1.23,1.25,1.41,0.00,0.00,1.12,"",0,0.0,-14,-7.7,-19,-10.6,-17,-9.3,-100458,-4.3,0,0.0,0,0.0,54,5.4
"40113","1","10","71","0","2016","3","","Osage County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,166,161,163,2598839,0,0,1224,"",7.85,1.28,1.21,1.23,1.40,0.00,0.00,1.13,"",-1,-3.3,-13,-7.3,-20,-11.0,-11,-6.3,-40682,-1.5,0,0.0,0,0.0,83,7.3
"40113","1","10","71","0","2016","4","","Osage County, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,162,164,166,2323542,0,0,1090,"",7.94,1.21,1.26,1.25,1.36,0.00,0.00,1.10,"",-1,-3.3,6,3.8,0,0.0,5,3.1,-1555,-0.1,0,0.0,0,0.0,-26,-2.3
"40113","1","102","72","0","2016","1","","Osage County, Oklahoma","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,157,159,156,2338504,0,0,1143,"",8.00,1.22,1.25,1.22,1.44,0.00,0.00,1.17,"",0,0.0,-17,-9.8,-16,-9.1,-24,-13.3,-155582,-6.2,0,0.0,0,0.0,55,5.1
"40113","1","102","72","0","2016","2","","Osage County, Oklahoma","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,167,161,165,2261052,0,0,1058,"",7.75,1.31,1.25,1.27,1.44,0.00,0.00,1.12,"",0,0.0,-14,-7.7,-19,-10.6,-17,-9.3,-100458,-4.3,0,0.0,0,0.0,54,5.4
