"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"40999","0","10","70","0","2016","1","","Unknown Or Undefined, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4679,22662,23126,23074,398755419,271153168,3375124,1336,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-564,-10.8,-4414,-16.3,-3775,-14.0,-3850,-14.3,-30694474,-7.1,-25294973,-8.5,-682791,-16.8,111,9.1
"40999","0","10","70","0","2016","2","","Unknown Or Undefined, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4635,23446,23637,23347,381778573,114720470,1709576,1251,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-506,-9.8,-2784,-10.6,-2519,-9.6,-2508,-9.7,-12028737,-3.1,-4267759,-3.6,-118100,-6.5,89,7.7
"40999","0","10","70","0","2016","3","","Unknown Or Undefined, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4623,22924,23440,23774,384933133,76228303,1131395,1267,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-395,-7.9,-1978,-7.9,-1526,-6.1,-1219,-4.9,-491665,-0.1,-2636053,-3.3,-179214,-13.7,79,6.6
"40999","0","10","70","0","2016","4","","Unknown Or Undefined, Oklahoma","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4537,24257,24381,24592,407609414,65570876,1066713,1284,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-312,-6.4,-965,-3.8,-1015,-4.0,-833,-3.3,-11820412,-2.8,-2485916,-3.7,-158348,-12.9,11,0.9
"40999","1","10","71","0","2016","1","","Unknown Or Undefined, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",38,163,163,168,2421752,0,0,1131,"",1.29,0.36,0.36,0.37,0.21,0.00,0.00,0.59,"",3,8.6,14,9.4,-31,-16.0,22,15.1,434654,21.9,0,0.0,0,0.0,193,20.6
"40999","1","10","71","0","2016","2","","Unknown Or Undefined, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",39,160,164,168,2108139,0,0,989,"",1.35,0.35,0.35,0.37,0.20,0.00,0.00,0.56,"",3,8.3,16,11.1,18,12.3,11,7.0,103033,5.1,0,0.0,0,0.0,-46,-4.4
"40999","1","10","71","0","2016","3","","Unknown Or Undefined, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",39,178,176,182,2475776,0,0,1066,"",1.36,0.39,0.38,0.39,0.21,0.00,0.00,0.54,"",2,5.4,20,12.7,16,10.0,28,18.2,233310,10.4,0,0.0,0,0.0,-30,-2.7
"40999","1","10","71","0","2016","4","","Unknown Or Undefined, Oklahoma","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",39,197,173,175,2336778,0,0,989,"",1.40,0.42,0.36,0.36,0.20,0.00,0.00,0.53,"",1,2.6,34,20.9,12,7.5,17,10.8,58537,2.6,0,0.0,0,0.0,-102,-9.3
"40999","1","102","72","0","2016","1","","Unknown Or Undefined, Oklahoma","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",38,163,163,168,2421752,0,0,1131,"",1.29,0.37,0.36,0.38,0.22,0.00,0.00,0.59,"",3,8.6,14,9.4,-31,-16.0,22,15.1,434654,21.9,0,0.0,0,0.0,193,20.6
"40999","1","102","72","0","2016","2","","Unknown Or Undefined, Oklahoma","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",39,160,164,168,2108139,0,0,989,"",1.35,0.35,0.36,0.37,0.20,0.00,0.00,0.56,"",3,8.3,16,11.1,18,12.3,11,7.0,103033,5.1,0,0.0,0,0.0,-46,-4.4
"40999","1","102","72","0","2016","3","","Unknown Or Undefined, Oklahoma","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",39,178,176,182,2475776,0,0,1066,"",1.37,0.40,0.39,0.40,0.21,0.00,0.00,0.54,"",2,5.4,20,12.7,16,10.0,28,18.2,233310,10.4,0,0.0,0,0.0,-30,-2.7
"40999","1","102","72","0","2016","4","","Unknown Or Undefined, Oklahoma","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",39,197,173,175,2336778,0,0,989,"",1.40,0.42,0.37,0.37,0.21,0.00,0.00,0.53,"",1,2.6,34,20.9,12,7.5,17,10.8,58537,2.6,0,0.0,0,0.0,-102,-9.3
