"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"41001","0","10","70","0","2016","1","","Baker County, Oregon","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",673,5054,5082,5192,42969309,25584933,506949,647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,3.4,53,1.1,81,1.6,155,3.1,1736989,4.2,1559637,6.5,-71650,-12.4,14,2.2
"41001","0","10","70","0","2016","2","","Baker County, Oregon","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",674,5327,5469,5550,47479984,25891749,532012,670,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.7,197,3.8,239,4.6,235,4.4,3721169,8.5,2749865,11.9,-38182,-6.7,26,4.0
"41001","0","10","70","0","2016","3","","Baker County, Oregon","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",676,5320,5414,5548,48312680,22143150,462692,685,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.2,102,2.0,252,4.9,233,4.4,3062224,6.8,2038774,10.1,-36140,-7.2,20,3.0
"41001","0","10","70","0","2016","4","","Baker County, Oregon","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",682,5665,5449,5419,49352952,17828884,370832,689,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.2,255,4.7,173,3.3,215,4.1,2306937,4.9,1312646,7.9,-32474,-8.1,6,0.9
"41001","1","10","71","0","2016","1","","Baker County, Oregon","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,174,174,173,2755497,0,0,1221,"",3.54,1.73,1.73,1.69,2.25,0.00,0.00,1.31,"",-1,-6.2,-14,-7.4,-4,-2.2,-7,-3.9,-83681,-2.9,0,0.0,0,0.0,21,1.8
"41001","1","10","71","0","2016","2","","Baker County, Oregon","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,195,208,255,2742302,0,0,962,"",3.57,1.87,1.94,2.34,2.11,0.00,0.00,1.02,"",-1,-6.2,-1,-0.5,7,3.5,36,16.4,111610,4.2,0,0.0,0,0.0,-24,-2.4
"41001","1","10","71","0","2016","3","","Baker County, Oregon","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,258,259,241,4288429,0,0,1306,"",3.59,2.44,2.42,2.21,2.86,0.00,0.00,1.22,"",-1,-6.2,8,3.2,21,8.8,13,5.7,-264593,-5.8,0,0.0,0,0.0,-161,-11.0
"41001","1","10","71","0","2016","4","","Baker County, Oregon","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,221,202,191,2932689,0,0,1102,"",3.58,2.00,1.90,1.79,2.11,0.00,0.00,1.11,"",-1,-6.2,2,0.9,-4,-1.9,-3,-1.5,202248,7.4,0,0.0,0,0.0,84,8.3
"41001","1","101","72","0","2016","1","","Baker County, Oregon","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,99,98,100,1833344,0,0,1425,"",233.88,56.19,55.37,55.19,87.46,0.00,0.00,1.57,"",0,0.0,-4,-3.9,-3,-3.0,-2,-2.0,47213,2.6,0,0.0,0,0.0,78,5.8
"41001","1","101","72","0","2016","2","","Baker County, Oregon","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,116,127,159,1755809,0,0,1008,"",237.33,62.82,66.89,80.98,76.00,0.00,0.00,1.08,"",0,0.0,3,2.7,17,15.5,38,31.4,130663,8.0,0,0.0,0,0.0,-82,-7.5
"41001","1","101","72","0","2016","3","","Baker County, Oregon","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,157,154,139,2845542,0,0,1459,"",238.61,81.92,79.19,70.42,103.03,0.00,0.00,1.34,"",0,0.0,18,12.9,23,17.6,14,11.2,-173518,-5.7,0,0.0,0,0.0,-305,-17.3
"41001","1","101","72","0","2016","4","","Baker County, Oregon","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,126,115,106,1803331,0,0,1199,"",238.21,62.86,60.05,56.36,70.90,0.00,0.00,1.18,"",0,0.0,4,3.3,-3,-2.5,1,1.0,99936,5.9,0,0.0,0,0.0,60,5.3
"41001","1","1011","73","0","2016","1","","Baker County, Oregon","Federal Government","1011 Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,99,98,100,1833344,0,0,1425,"",375.44,1146.49,1109.05,1074.42,1914.75,0.00,0.00,1.73,"",0,0.0,-4,-3.9,-3,-3.0,-2,-2.0,47213,2.6,0,0.0,0,0.0,78,5.8
"41001","1","1011","73","0","2016","2","","Baker County, Oregon","Federal Government","1011 Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,116,127,159,1755809,0,0,1008,"",388.07,1126.27,1055.86,1030.86,1577.27,0.00,0.00,1.48,"",0,0.0,3,2.7,17,15.5,38,31.4,130663,8.0,0,0.0,0,0.0,-82,-7.5
"41001","1","1011","73","0","2016","3","","Baker County, Oregon","Federal Government","1011 Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,157,154,139,2845542,0,0,1459,"",395.50,1033.31,1010.70,942.11,1564.73,0.00,0.00,1.57,"",0,0.0,18,12.9,23,17.6,14,11.2,-173518,-5.7,0,0.0,0,0.0,-305,-17.3
"41001","1","1011","73","0","2016","4","","Baker County, Oregon","Federal Government","1011 Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,126,115,106,1803331,0,0,1199,"",394.84,914.95,986.89,1102.20,1619.97,0.00,0.00,1.63,"",0,0.0,4,3.3,-3,-2.5,1,1.0,99936,5.9,0,0.0,0,0.0,60,5.3
"41001","1","102","72","0","2016","1","","Baker County, Oregon","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,75,76,73,922153,0,0,950,"",3.07,0.76,0.77,0.72,0.77,0.00,0.00,1.02,"",-1,-7.1,-10,-11.8,-1,-1.3,-5,-6.4,-130894,-12.4,0,0.0,0,0.0,-63,-6.2
"41001","1","102","72","0","2016","2","","Baker County, Oregon","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,79,81,96,986493,0,0,889,"",3.10,0.77,0.77,0.90,0.77,0.00,0.00,0.95,"",-1,-7.1,-4,-4.8,-10,-11.0,-2,-2.0,-19053,-1.9,0,0.0,0,0.0,36,4.2
"41001","1","102","72","0","2016","3","","Baker County, Oregon","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,101,105,102,1442887,0,0,1081,"",3.12,0.97,1.00,0.95,0.98,0.00,0.00,1.01,"",-1,-7.1,-10,-9.0,-2,-1.9,-1,-1.0,-91075,-5.9,0,0.0,0,0.0,-22,-2.0
"41001","1","102","72","0","2016","4","","Baker County, Oregon","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,95,87,85,1129358,0,0,976,"",3.11,0.88,0.83,0.81,0.83,0.00,0.00,0.98,"",-1,-7.1,-2,-2.1,-1,-1.1,-4,-4.5,102312,10.0,0,0.0,0,0.0,111,12.8
"41001","1","1021","73","0","2016","1","","Baker County, Oregon","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,37,37,36,305911,0,0,642,"",4.26,1.52,1.51,1.44,1.44,0.00,0.00,0.97,"",0,0.0,-3,-7.5,1,2.8,-1,-2.7,-72506,-19.2,0,0.0,0,0.0,-131,-16.9
"41001","1","1021","73","0","2016","2","","Baker County, Oregon","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,34,33,34,324623,0,0,742,"",4.28,1.34,1.27,1.29,1.37,0.00,0.00,1.06,"",0,0.0,-2,-5.6,-2,-5.7,-2,-5.6,6300,2.0,0,0.0,0,0.0,55,8.0
"41001","1","1021","73","0","2016","3","","Baker County, Oregon","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,37,38,38,378043,0,0,772,"",4.31,1.45,1.46,1.44,1.40,0.00,0.00,0.97,"",0,0.0,0,0.0,-1,-2.6,0,0.0,-2293,-0.6,0,0.0,0,0.0,2,0.3
"41001","1","1021","73","0","2016","4","","Baker County, Oregon","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,36,34,36,395712,0,0,861,"",4.31,1.34,1.31,1.35,1.40,0.00,0.00,1.05,"",0,0.0,-3,-7.7,-6,-15.0,-3,-7.7,24965,6.7,0,0.0,0,0.0,136,18.8
"41001","1","1028","73","0","2016","1","","Baker County, Oregon","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,38,39,37,616242,0,0,1247,"",2.32,0.69,0.71,0.66,0.80,0.00,0.00,1.16,"",-1,-20.0,-7,-15.6,-2,-4.9,-4,-9.8,-58388,-8.7,0,0.0,0,0.0,21,1.7
"41001","1","1028","73","0","2016","2","","Baker County, Oregon","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,45,48,62,661870,0,0,985,"",2.34,0.79,0.83,1.04,0.83,0.00,0.00,0.93,"",-1,-20.0,-2,-4.3,-8,-14.3,0,0.0,-25353,-3.7,0,0.0,0,0.0,24,2.5
"41001","1","1028","73","0","2016","3","","Baker County, Oregon","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,64,67,64,1064844,0,0,1260,"",2.35,1.11,1.15,1.08,1.16,0.00,0.00,1.04,"",-1,-20.0,-10,-13.5,-1,-1.5,-1,-1.5,-88782,-7.7,0,0.0,0,0.0,-26,-2.0
"41001","1","1028","73","0","2016","4","","Baker County, Oregon","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,59,53,49,733646,0,0,1052,"",2.34,0.98,0.92,0.85,0.89,0.00,0.00,0.97,"",-1,-20.0,1,1.7,5,10.4,-1,-2.0,77347,11.8,0,0.0,0,0.0,81,8.3
"41001","1","11","74","0","2016","1","","Baker County, Oregon","Federal Government","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,99,98,100,1833344,0,0,1425,"",375.44,1146.49,1109.05,1074.42,1914.75,0.00,0.00,1.73,"",0,0.0,-4,-3.9,-3,-3.0,-2,-2.0,47213,2.6,0,0.0,0,0.0,78,5.8
"41001","1","11","74","0","2016","2","","Baker County, Oregon","Federal Government","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,116,127,159,1755809,0,0,1008,"",388.07,1126.27,1055.86,1030.86,1577.27,0.00,0.00,1.48,"",0,0.0,3,2.7,17,15.5,38,31.4,130663,8.0,0,0.0,0,0.0,-82,-7.5
"41001","1","11","74","0","2016","3","","Baker County, Oregon","Federal Government","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,157,154,139,2845542,0,0,1459,"",395.50,1033.31,1010.70,942.11,1564.73,0.00,0.00,1.57,"",0,0.0,18,12.9,23,17.6,14,11.2,-173518,-5.7,0,0.0,0,0.0,-305,-17.3
"41001","1","11","74","0","2016","4","","Baker County, Oregon","Federal Government","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,126,115,106,1803331,0,0,1199,"",394.84,914.95,986.89,1102.20,1619.97,0.00,0.00,1.63,"",0,0.0,4,3.3,-3,-2.5,1,1.0,99936,5.9,0,0.0,0,0.0,60,5.3
"41001","1","113","75","0","2016","1","","Baker County, Oregon","Federal Government","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,99,98,100,1833344,0,0,1425,"",407.62,1159.20,1121.07,1084.78,1930.54,0.00,0.00,1.72,"",0,0.0,-4,-3.9,-3,-3.0,-2,-2.0,47213,2.6,0,0.0,0,0.0,78,5.8
"41001","1","113","75","0","2016","2","","Baker County, Oregon","Federal Government","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,116,127,159,1755809,0,0,1008,"",422.31,1136.64,1063.67,1038.18,1587.88,0.00,0.00,1.48,"",0,0.0,3,2.7,17,15.5,38,31.4,130663,8.0,0,0.0,0,0.0,-82,-7.5
"41001","1","113","75","0","2016","3","","Baker County, Oregon","Federal Government","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,157,154,139,2845542,0,0,1459,"",430.92,1039.76,1017.07,948.35,1572.50,0.00,0.00,1.57,"",0,0.0,18,12.9,23,17.6,14,11.2,-173518,-5.7,0,0.0,0,0.0,-305,-17.3
"41001","1","113","75","0","2016","4","","Baker County, Oregon","Federal Government","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,126,115,106,1803331,0,0,1199,"",430.20,922.09,995.95,1115.75,1631.83,0.00,0.00,1.63,"",0,0.0,4,3.3,-3,-2.5,1,1.0,99936,5.9,0,0.0,0,0.0,60,5.3
"41001","1","1131","76","0","2016","1","","Baker County, Oregon","Federal Government","NAICS 1131 Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,99,98,100,1833344,0,0,1425,"",407.62,1159.20,1121.07,1084.78,1930.54,0.00,0.00,1.72,"",0,0.0,-4,-3.9,-3,-3.0,-2,-2.0,47213,2.6,0,0.0,0,0.0,78,5.8
"41001","1","1131","76","0","2016","2","","Baker County, Oregon","Federal Government","NAICS 1131 Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,116,127,159,1755809,0,0,1008,"",422.31,1136.64,1063.67,1038.18,1587.88,0.00,0.00,1.48,"",0,0.0,3,2.7,17,15.5,38,31.4,130663,8.0,0,0.0,0,0.0,-82,-7.5
"41001","1","1131","76","0","2016","3","","Baker County, Oregon","Federal Government","NAICS 1131 Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,157,154,139,2845542,0,0,1459,"",430.92,1039.76,1017.07,948.35,1572.50,0.00,0.00,1.57,"",0,0.0,18,12.9,23,17.6,14,11.2,-173518,-5.7,0,0.0,0,0.0,-305,-17.3
"41001","1","1131","76","0","2016","4","","Baker County, Oregon","Federal Government","NAICS 1131 Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,126,115,106,1803331,0,0,1199,"",430.20,922.09,995.95,1115.75,1631.83,0.00,0.00,1.63,"",0,0.0,4,3.3,-3,-2.5,1,1.0,99936,5.9,0,0.0,0,0.0,60,5.3
"41001","1","11311","77","0","2016","1","","Baker County, Oregon","Federal Government","NAICS 11311 Timber tract operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,99,98,100,1833344,0,0,1425,"",407.62,1159.20,1121.07,1084.78,1930.54,0.00,0.00,1.72,"",0,0.0,-4,-3.9,-3,-3.0,-2,-2.0,47213,2.6,0,0.0,0,0.0,78,5.8
