"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"42019","0","10","70","0","2016","1","","Butler County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4993,83517,83200,84011,979960930,455114415,26123289,902,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.2,598,0.7,530,0.6,884,1.1,-11871976,-1.2,20195403,4.6,561479,2.2,-18,-2.0
"42019","0","10","70","0","2016","2","","Butler County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4991,85305,86354,85813,1016615903,131916195,7804220,911,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",36,0.7,609,0.7,-49,-0.1,-771,-0.9,12279060,1.2,12674139,10.6,554864,7.7,12,1.3
"42019","0","10","70","0","2016","3","","Butler County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4992,85071,84883,85196,1048075547,78439329,4476045,948,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,0.4,-396,-0.5,-547,-0.6,-346,-0.4,23048102,2.2,2241554,2.9,-121163,-2.6,26,2.8
"42019","0","10","70","0","2016","4","","Butler County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5025,85582,85384,85341,1117377948,60313469,3328872,1006,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,0.6,-379,-0.4,-494,-0.6,-576,-0.7,-293290,0.0,52547,0.1,-186935,-5.3,5,0.5
"42019","1","10","71","0","2016","1","","Butler County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,2790,2785,2798,48404081,0,0,1334,"",1.59,1.68,1.69,1.69,1.74,0.00,0.00,1.03,"",-3,-5.7,24,0.9,32,1.2,43,1.6,-2363530,-4.7,0,0.0,0,0.0,-82,-5.8
"42019","1","10","71","0","2016","2","","Butler County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",51,2777,2787,2787,47431691,0,0,1311,"",1.64,1.66,1.65,1.65,1.70,0.00,0.00,1.03,"",-1,-1.9,-94,-3.3,28,1.0,27,1.0,3986020,9.2,0,0.0,0,0.0,116,9.7
"42019","1","10","71","0","2016","3","","Butler County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,2807,2833,2875,47590990,0,0,1290,"",1.62,1.66,1.69,1.72,1.46,0.00,0.00,0.87,"",-2,-3.8,25,0.9,52,1.9,86,3.1,-3108434,-6.1,0,0.0,0,0.0,-111,-7.9
"42019","1","10","71","0","2016","4","","Butler County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,2892,2905,3096,54575967,0,0,1416,"",1.62,1.73,1.75,1.84,1.73,0.00,0.00,0.98,"",-2,-3.8,113,4.1,100,3.6,177,6.1,6342245,13.1,0,0.0,0,0.0,107,8.2
"42019","1","102","72","0","2016","1","","Butler County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",50,2790,2785,2798,48404081,0,0,1334,"",1.59,1.71,1.72,1.72,1.77,0.00,0.00,1.03,"",-3,-5.7,24,0.9,32,1.2,43,1.6,-2363530,-4.7,0,0.0,0,0.0,-82,-5.8
"42019","1","102","72","0","2016","2","","Butler County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",51,2777,2787,2787,47431691,0,0,1311,"",1.64,1.69,1.68,1.68,1.73,0.00,0.00,1.03,"",-1,-1.9,-94,-3.3,28,1.0,27,1.0,3986020,9.2,0,0.0,0,0.0,116,9.7
"42019","1","102","72","0","2016","3","","Butler County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",50,2807,2833,2875,47590990,0,0,1290,"",1.62,1.69,1.72,1.75,1.49,0.00,0.00,0.87,"",-2,-3.8,25,0.9,52,1.9,86,3.1,-3108434,-6.1,0,0.0,0,0.0,-111,-7.9
"42019","1","102","72","0","2016","4","","Butler County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",50,2892,2905,3096,54575967,0,0,1416,"",1.62,1.76,1.78,1.87,1.76,0.00,0.00,0.98,"",-2,-3.8,113,4.1,100,3.6,177,6.1,6342245,13.1,0,0.0,0,0.0,107,8.2
"42019","1","1021","73","0","2016","1","","Butler County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",30,711,732,748,10355276,0,0,1091,"",1.91,1.77,1.82,1.85,2.14,0.00,0.00,1.18,"",-1,-3.2,3,0.4,30,4.3,49,7.0,-1723900,-14.3,0,0.0,0,0.0,-231,-17.5
"42019","1","1021","73","0","2016","2","","Butler County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",30,733,740,748,10147758,0,0,1054,"",1.93,1.81,1.80,1.83,2.00,0.00,0.00,1.10,"",0,0.0,-70,-8.7,41,5.9,50,7.2,307642,3.1,0,0.0,0,0.0,22,2.1
"42019","1","1021","73","0","2016","3","","Butler County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",29,738,751,756,11730785,0,0,1206,"",1.88,1.81,1.85,1.86,2.00,0.00,0.00,1.09,"",-1,-3.3,34,4.8,34,4.7,35,4.9,-28914,-0.2,0,0.0,0,0.0,-61,-4.8
"42019","1","1021","73","0","2016","4","","Butler County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",29,749,754,927,13821498,0,0,1313,"",1.88,1.84,1.86,2.20,2.16,0.00,0.00,1.10,"",-1,-3.3,38,5.3,33,4.6,110,13.5,327792,2.4,0,0.0,0,0.0,-72,-5.2
"42019","1","1023","73","0","2016","1","","Butler County, Pennsylvania","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,39,39,40,1122652,0,0,2196,"",4.80,4.84,4.92,5.05,5.37,0.00,0.00,1.09,"",0,0.0,5,14.7,5,14.7,3,8.1,83570,8.0,0,0.0,0,0.0,-88,-3.9
