"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"42045","0","10","70","0","2016","1","","Delaware County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",13907,213917,215260,217070,3126866847,1103707615,63215655,1117,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",129,0.9,1569,0.7,2106,1.0,2199,1.0,-50176567,-1.6,40419418,3.8,984997,1.6,-28,-2.4
"42045","0","10","70","0","2016","2","","Delaware County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",13872,219579,220691,221435,3061903152,319457480,17881243,1068,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",142,1.0,2912,1.3,1945,0.9,2079,0.9,152638384,5.2,23351623,7.9,448372,2.6,43,4.2
"42045","0","10","70","0","2016","3","","Delaware County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",13910,215968,216120,220357,3021605313,250913799,13059747,1069,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",88,0.6,2009,0.9,2625,1.2,2308,1.1,192879707,6.8,61262252,32.3,1999405,18.1,58,5.7
"42045","0","10","70","0","2016","4","","Delaware County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",13955,222116,223241,223986,3222348134,169464010,9303120,1111,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",66,0.5,1882,0.9,1581,0.7,1674,0.8,-68936132,-2.1,4418773,2.7,-357250,-3.7,-33,-2.9
"42045","1","10","71","0","2016","1","","Delaware County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,2069,2062,2015,43329700,0,0,1627,"",0.70,0.49,0.48,0.47,0.49,0.00,0.00,1.01,"",-3,-4.7,2,0.1,-19,-0.9,-5,-0.2,-1891819,-4.2,0,0.0,0,0.0,-65,-3.8
"42045","1","10","71","0","2016","2","","Delaware County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,2074,2078,2086,38975858,0,0,1442,"",0.71,0.48,0.48,0.48,0.46,0.00,0.00,0.96,"",-2,-3.2,-22,-1.0,9,0.4,33,1.6,409107,1.1,0,0.0,0,0.0,11,0.8
"42045","1","10","71","0","2016","3","","Delaware County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",61,2057,2059,2033,45972906,0,0,1725,"",0.71,0.48,0.48,0.47,0.49,0.00,0.00,1.03,"",-2,-3.2,-40,-1.9,-34,-1.6,-6,-0.3,223193,0.5,0,0.0,0,0.0,30,1.8
"42045","1","10","71","0","2016","4","","Delaware County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",62,2074,2070,2088,43043630,0,0,1594,"",0.72,0.48,0.48,0.47,0.47,0.00,0.00,1.00,"",-1,-1.6,-20,-1.0,-18,-0.9,18,0.9,-243305,-0.6,0,0.0,0,0.0,-4,-0.3
"42045","1","102","72","0","2016","1","","Delaware County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",61,2069,2062,2015,43329700,0,0,1627,"",0.70,0.50,0.49,0.48,0.50,0.00,0.00,1.01,"",-3,-4.7,2,0.1,-19,-0.9,-5,-0.2,-1891819,-4.2,0,0.0,0,0.0,-65,-3.8
"42045","1","102","72","0","2016","2","","Delaware County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",61,2074,2078,2086,38975858,0,0,1442,"",0.71,0.49,0.49,0.49,0.47,0.00,0.00,0.96,"",-2,-3.2,-22,-1.0,9,0.4,33,1.6,409107,1.1,0,0.0,0,0.0,11,0.8
"42045","1","102","72","0","2016","3","","Delaware County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",61,2057,2059,2033,45972906,0,0,1725,"",0.71,0.49,0.49,0.48,0.50,0.00,0.00,1.03,"",-2,-3.2,-40,-1.9,-34,-1.6,-6,-0.3,223193,0.5,0,0.0,0,0.0,30,1.8
"42045","1","102","72","0","2016","4","","Delaware County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",62,2074,2070,2088,43043630,0,0,1594,"",0.72,0.49,0.48,0.48,0.48,0.00,0.00,1.00,"",-1,-1.6,-20,-1.0,-18,-0.9,18,0.9,-243305,-0.6,0,0.0,0,0.0,-4,-0.3
"42045","1","1021","73","0","2016","1","","Delaware County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,934,929,929,17201718,0,0,1422,"",0.76,0.91,0.89,0.89,1.11,0.00,0.00,1.24,"",0,0.0,116,14.2,105,12.7,106,12.9,3516825,25.7,0,0.0,0,0.0,141,11.0
"42045","1","1021","73","0","2016","2","","Delaware County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,924,925,939,15994700,0,0,1324,"",0.76,0.89,0.88,0.89,1.05,0.00,0.00,1.18,"",1,3.1,89,10.7,115,14.2,130,16.1,4681206,41.4,0,0.0,0,0.0,260,24.4
"42045","1","1021","73","0","2016","3","","Delaware County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,921,926,923,19011411,0,0,1584,"",0.77,0.89,0.89,0.88,1.13,0.00,0.00,1.27,"",1,3.1,102,12.5,107,13.1,104,12.7,5060614,36.3,0,0.0,0,0.0,274,20.9
"42045","1","1021","73","0","2016","4","","Delaware County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,932,921,936,19233933,0,0,1591,"",0.77,0.88,0.87,0.85,1.04,0.00,0.00,1.20,"",1,3.1,123,15.2,108,13.3,122,15.0,4416875,29.8,0,0.0,0,0.0,187,13.3
"42045","1","1024","73","0","2016","1","","Delaware County, Pennsylvania","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,55716,0,0,2143,"",0.47,0.02,0.02,0.02,0.02,0.00,0.00,1.17,"",0,0.0,1,100.0,1,100.0,1,100.0,24538,78.7,0,0.0,0,0.0,-255,-10.6
"42045","1","1024","73","0","2016","2","","Delaware County, Pennsylvania","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,53301,0,0,2050,"",0.47,0.02,0.02,0.02,0.03,0.00,0.00,1.25,"",0,0.0,1,100.0,1,100.0,1,100.0,27362,105.5,0,0.0,0,0.0,55,2.8
"42045","1","1024","73","0","2016","3","","Delaware County, Pennsylvania","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,59716,0,0,2297,"",0.48,0.02,0.02,0.02,0.02,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,0,0.0,9974,20.1,0,0.0,0,0.0,384,20.1
"42045","1","1024","73","0","2016","4","","Delaware County, Pennsylvania","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,1,47169,0,0,2177,"",0.48,0.02,0.02,0.01,0.02,0.00,0.00,1.31,"",0,0.0,0,0.0,0,0.0,-1,-50.0,-6480,-12.1,0,0.0,0,0.0,114,5.5
"42045","1","1028","73","0","2016","1","","Delaware County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,1133,1131,1084,26072266,0,0,1797,"",0.76,0.49,0.49,0.47,0.47,0.00,0.00,0.97,"",-3,-10.0,-115,-9.2,-125,-10.0,-112,-9.4,-5433182,-17.2,0,0.0,0,0.0,-168,-8.5
"42045","1","1028","73","0","2016","2","","Delaware County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,1148,1151,1145,22927857,0,0,1536,"",0.77,0.49,0.49,0.48,0.44,0.00,0.00,0.91,"",-3,-10.0,-112,-8.9,-107,-8.5,-98,-7.9,-4299461,-15.8,0,0.0,0,0.0,-135,-8.1
"42045","1","1028","73","0","2016","3","","Delaware County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,1134,1131,1108,26901779,0,0,1841,"",0.77,0.48,0.49,0.47,0.47,0.00,0.00,0.97,"",-3,-10.0,-142,-11.1,-141,-11.1,-110,-9.0,-4847395,-15.3,0,0.0,0,0.0,-104,-5.3
"42045","1","1028","73","0","2016","4","","Delaware County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",28,1140,1147,1151,23762528,0,0,1595,"",0.80,0.48,0.49,0.48,0.44,0.00,0.00,0.91,"",-2,-6.7,-143,-11.1,-126,-9.9,-103,-8.2,-4653700,-16.4,0,0.0,0,0.0,-126,-7.3
"42045","1","48-49","74","0","2016","1","","Delaware County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",33,934,929,929,17201718,0,0,1422,"",0.78,1.00,0.98,0.97,1.20,0.00,0.00,1.22,"",0,0.0,116,14.2,105,12.7,106,12.9,3516825,25.7,0,0.0,0,0.0,141,11.0
"42045","1","48-49","74","0","2016","2","","Delaware County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",33,924,925,939,15994700,0,0,1324,"",0.78,0.97,0.96,0.97,1.13,0.00,0.00,1.17,"",1,3.1,89,10.7,115,14.2,130,16.1,4681206,41.4,0,0.0,0,0.0,260,24.4
