"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"42087","0","10","70","0","2016","1","","Mifflin County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1029,15357,15198,15413,134323384,69085438,4119415,674,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-37,-3.5,-94,-0.6,-262,-1.7,-80,-0.5,-2406551,-1.8,1946912,2.9,193217,4.9,-6,-0.9
"42087","0","10","70","0","2016","2","","Mifflin County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1026,15600,15591,15589,145858174,23465482,1325784,720,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-30,-2.8,-101,-0.6,-121,-0.8,170,1.1,3914639,2.8,1737201,8.0,64941,5.2,21,3.0
"42087","0","10","70","0","2016","3","","Mifflin County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1044,15558,15426,15570,152364438,11793435,642906,755,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-1.5,166,1.1,17,0.1,48,0.3,9075565,6.3,283426,2.5,-15999,-2.4,41,5.7
"42087","0","10","70","0","2016","4","","Mifflin County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1049,15615,15569,15600,149162069,9805096,523012,736,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-1.2,171,1.1,225,1.5,250,1.6,-5482582,-3.5,182228,1.9,-11382,-2.1,-37,-4.8
"42087","1","10","71","0","2016","1","","Mifflin County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,85,85,88,1008050,0,0,902,"",2.16,0.28,0.28,0.29,0.26,0.00,0.00,0.93,"",0,0.0,-2,-2.3,-1,-1.2,3,3.5,-114581,-10.2,0,0.0,0,0.0,-102,-10.2
"42087","1","10","71","0","2016","2","","Mifflin County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,85,87,87,977661,0,0,871,"",2.19,0.28,0.29,0.28,0.24,0.00,0.00,0.86,"",0,0.0,-1,-1.2,3,3.6,2,2.4,9261,1.0,0,0.0,0,0.0,-5,-0.6
"42087","1","10","71","0","2016","3","","Mifflin County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,86,86,88,1159566,0,0,1029,"",2.17,0.28,0.28,0.29,0.25,0.00,0.00,0.87,"",0,0.0,3,3.6,2,2.4,4,4.8,36153,3.2,0,0.0,0,0.0,-4,-0.4
"42087","1","10","71","0","2016","4","","Mifflin County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,87,86,86,1106296,0,0,986,"",2.17,0.29,0.28,0.28,0.26,0.00,0.00,0.93,"",0,0.0,3,3.6,4,4.9,3,3.6,24906,2.3,0,0.0,0,0.0,-16,-1.6
"42087","1","102","72","0","2016","1","","Mifflin County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,85,85,88,1008050,0,0,902,"",2.17,0.28,0.29,0.29,0.27,0.00,0.00,0.93,"",0,0.0,-2,-2.3,-1,-1.2,3,3.5,-114581,-10.2,0,0.0,0,0.0,-102,-10.2
"42087","1","102","72","0","2016","2","","Mifflin County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,85,87,87,977661,0,0,871,"",2.19,0.28,0.29,0.29,0.25,0.00,0.00,0.86,"",0,0.0,-1,-1.2,3,3.6,2,2.4,9261,1.0,0,0.0,0,0.0,-5,-0.6
"42087","1","102","72","0","2016","3","","Mifflin County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,86,86,88,1159566,0,0,1029,"",2.17,0.28,0.29,0.29,0.25,0.00,0.00,0.87,"",0,0.0,3,3.6,2,2.4,4,4.8,36153,3.2,0,0.0,0,0.0,-4,-0.4
"42087","1","102","72","0","2016","4","","Mifflin County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,87,86,86,1106296,0,0,986,"",2.18,0.29,0.29,0.28,0.27,0.00,0.00,0.93,"",0,0.0,3,3.6,4,4.9,3,3.6,24906,2.3,0,0.0,0,0.0,-16,-1.6
"42087","1","1021","73","0","2016","1","","Mifflin County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,70,71,72,748395,0,0,811,"",3.40,0.95,0.97,0.97,1.13,0.00,0.00,1.17,"",0,0.0,-2,-2.8,0,0.0,2,2.9,-127003,-14.5,0,0.0,0,0.0,-137,-14.5
"42087","1","1021","73","0","2016","2","","Mifflin County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,71,73,72,739626,0,0,790,"",3.44,0.96,0.98,0.97,1.02,0.00,0.00,1.05,"",0,0.0,-1,-1.4,3,4.3,1,1.4,-10976,-1.5,0,0.0,0,0.0,-23,-2.8
"42087","1","1021","73","0","2016","3","","Mifflin County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,71,71,73,880467,0,0,945,"",3.41,0.95,0.96,0.98,1.03,0.00,0.00,1.07,"",0,0.0,2,2.9,1,1.4,3,4.3,8072,0.9,0,0.0,0,0.0,-18,-1.9
"42087","1","1021","73","0","2016","4","","Mifflin County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,72,71,71,891579,0,0,961,"",3.42,0.97,0.96,0.92,1.04,0.00,0.00,1.10,"",0,0.0,2,2.9,3,4.4,2,2.9,13351,1.5,0,0.0,0,0.0,-18,-1.8
"42087","1","1028","73","0","2016","1","","Mifflin County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,15,14,16,259655,0,0,1332,"",1.14,0.09,0.09,0.10,0.11,0.00,0.00,1.19,"",0,0.0,0,0.0,-1,-6.7,1,6.7,12422,5.0,0,0.0,0,0.0,64,5.0
"42087","1","1028","73","0","2016","2","","Mifflin County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,14,15,238035,0,0,1277,"",1.15,0.08,0.08,0.09,0.10,0.00,0.00,1.12,"",0,0.0,0,0.0,0,0.0,1,7.1,20237,9.3,0,0.0,0,0.0,80,6.7
"42087","1","1028","73","0","2016","3","","Mifflin County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,15,15,15,279099,0,0,1431,"",1.14,0.09,0.09,0.09,0.10,0.00,0.00,1.07,"",0,0.0,1,7.1,1,7.1,1,7.1,28081,11.2,0,0.0,0,0.0,52,3.8
"42087","1","1028","73","0","2016","4","","Mifflin County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,15,15,15,214717,0,0,1101,"",1.14,0.09,0.09,0.09,0.09,0.00,0.00,0.95,"",0,0.0,1,7.1,1,7.1,1,7.1,11555,5.7,0,0.0,0,0.0,-15,-1.3
"42087","1","48-49","74","0","2016","1","","Mifflin County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,70,71,72,748395,0,0,811,"",3.50,1.04,1.06,1.06,1.21,0.00,0.00,1.15,"",0,0.0,-2,-2.8,0,0.0,2,2.9,-127003,-14.5,0,0.0,0,0.0,-137,-14.5
"42087","1","48-49","74","0","2016","2","","Mifflin County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,71,73,72,739626,0,0,790,"",3.54,1.05,1.08,1.06,1.10,0.00,0.00,1.03,"",0,0.0,-1,-1.4,3,4.3,1,1.4,-10976,-1.5,0,0.0,0,0.0,-23,-2.8
"42087","1","48-49","74","0","2016","3","","Mifflin County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,71,71,73,880467,0,0,945,"",3.51,1.04,1.05,1.07,1.11,0.00,0.00,1.05,"",0,0.0,2,2.9,1,1.4,3,4.3,8072,0.9,0,0.0,0,0.0,-18,-1.9
"42087","1","48-49","74","0","2016","4","","Mifflin County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,72,71,71,891579,0,0,961,"",3.52,1.06,1.05,1.01,1.13,0.00,0.00,1.08,"",0,0.0,2,2.9,3,4.4,2,2.9,13351,1.5,0,0.0,0,0.0,-18,-1.8
