"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"42121","0","10","70","0","2016","1","","Venango County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1270,18109,17958,18139,156843087,76803532,4632753,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-26,-2.0,-898,-4.7,-1065,-5.6,-866,-4.6,-13945412,-8.2,-2224040,-2.8,-197003,-4.1,-23,-3.3
"42121","0","10","70","0","2016","2","","Venango County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1268,18401,18578,18353,167119012,27318679,1585209,697,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-1.5,-803,-4.2,-691,-3.6,-860,-4.5,-1700575,-1.0,1901798,7.5,86375,5.8,22,3.3
"42121","0","10","70","0","2016","3","","Venango County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1269,18116,18025,18164,175548238,14534838,835428,746,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-15,-1.2,-680,-3.6,-636,-3.4,-595,-3.2,1387205,0.8,360798,2.5,18081,2.2,31,4.3
"42121","0","10","70","0","2016","4","","Venango County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1253,18106,18015,18037,176917578,10817869,579951,754,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-27,-2.1,-701,-3.7,-673,-3.6,-586,-3.1,-9886651,-5.3,-217073,-2.0,-40273,-6.5,-14,-1.8
"42121","1","10","71","0","2016","1","","Venango County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,104,101,101,1190218,0,0,898,"",2.00,0.29,0.28,0.28,0.27,0.00,0.00,0.94,"",0,0.0,-3,-2.8,0,0.0,-1,-1.0,-215344,-15.3,0,0.0,0,0.0,-148,-14.1
"42121","1","10","71","0","2016","2","","Venango County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,101,105,106,1180951,0,0,873,"",2.15,0.28,0.29,0.29,0.26,0.00,0.00,0.89,"",1,6.2,-4,-3.8,2,1.9,3,2.9,-36879,-3.0,0,0.0,0,0.0,-31,-3.4
"42121","1","10","71","0","2016","3","","Venango County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,103,110,105,1443517,0,0,1048,"",2.17,0.29,0.31,0.29,0.27,0.00,0.00,0.90,"",1,6.2,0,0.0,8,7.8,0,0.0,38869,2.8,0,0.0,0,0.0,2,0.2
"42121","1","10","71","0","2016","4","","Venango County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,99,108,107,1434382,0,0,1054,"",2.21,0.28,0.31,0.30,0.29,0.00,0.00,0.97,"",1,6.2,-6,-5.7,6,5.9,4,3.9,68397,5.0,0,0.0,0,0.0,37,3.6
"42121","1","102","72","0","2016","1","","Venango County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,104,101,101,1190218,0,0,898,"",2.01,0.29,0.29,0.29,0.27,0.00,0.00,0.94,"",0,0.0,-3,-2.8,0,0.0,-1,-1.0,-215344,-15.3,0,0.0,0,0.0,-148,-14.1
"42121","1","102","72","0","2016","2","","Venango County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,101,105,106,1180951,0,0,873,"",2.15,0.29,0.29,0.30,0.26,0.00,0.00,0.89,"",1,6.2,-4,-3.8,2,1.9,3,2.9,-36879,-3.0,0,0.0,0,0.0,-31,-3.4
"42121","1","102","72","0","2016","3","","Venango County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,103,110,105,1443517,0,0,1048,"",2.17,0.29,0.31,0.30,0.27,0.00,0.00,0.90,"",1,6.2,0,0.0,8,7.8,0,0.0,38869,2.8,0,0.0,0,0.0,2,0.2
"42121","1","102","72","0","2016","4","","Venango County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,99,108,107,1434382,0,0,1054,"",2.21,0.29,0.31,0.31,0.29,0.00,0.00,0.97,"",1,6.2,-6,-5.7,6,5.9,4,3.9,68397,5.0,0,0.0,0,0.0,37,3.6
"42121","1","1021","73","0","2016","1","","Venango County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,87,84,84,928706,0,0,840,"",3.26,1.00,0.97,0.96,1.20,0.00,0.00,1.23,"",0,0.0,-3,-3.3,1,1.2,0,0.0,-221093,-19.2,0,0.0,0,0.0,-192,-18.6
"42121","1","1021","73","0","2016","2","","Venango County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,84,87,88,943132,0,0,840,"",3.29,0.96,0.98,1.01,1.13,0.00,0.00,1.15,"",0,0.0,-3,-3.4,2,2.4,3,3.5,-30768,-3.2,0,0.0,0,0.0,-34,-3.9
"42121","1","1021","73","0","2016","3","","Venango County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,86,92,88,1163515,0,0,1009,"",3.32,0.99,1.06,1.02,1.19,0.00,0.00,1.16,"",0,0.0,0,0.0,7,8.2,0,0.0,15386,1.3,0,0.0,0,0.0,-14,-1.4
"42121","1","1021","73","0","2016","4","","Venango County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,92,92,91,1210884,0,0,1016,"",3.39,1.07,1.08,1.02,1.20,0.00,0.00,1.13,"",0,0.0,4,4.5,6,7.0,5,5.8,60371,5.2,0,0.0,0,0.0,-5,-0.5
"42121","1","1028","73","0","2016","1","","Venango County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,17,17,17,261512,0,0,1183,"",0.92,0.09,0.09,0.09,0.09,0.00,0.00,1.07,"",0,0.0,0,0.0,-1,-5.6,-1,-5.6,5749,2.2,0,0.0,0,0.0,69,6.2
"42121","1","1028","73","0","2016","2","","Venango County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,17,18,18,237819,0,0,1035,"",1.24,0.09,0.09,0.09,0.08,0.00,0.00,0.94,"",1,33.3,-1,-5.6,0,0.0,0,0.0,-6111,-2.5,0,0.0,0,0.0,-7,-0.7
"42121","1","1028","73","0","2016","3","","Venango County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,17,18,17,280002,0,0,1243,"",1.25,0.09,0.09,0.09,0.08,0.00,0.00,0.94,"",1,33.3,0,0.0,1,5.9,0,0.0,23483,9.2,0,0.0,0,0.0,82,7.1
"42121","1","1028","73","0","2016","4","","Venango County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,7,16,16,223498,0,0,1322,"",1.28,0.04,0.08,0.08,0.08,0.00,0.00,1.12,"",1,33.3,-10,-58.8,0,0.0,-1,-5.9,8026,3.7,0,0.0,0,0.0,328,33.0
"42121","1","48-49","74","0","2016","1","","Venango County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,87,84,84,928706,0,0,840,"",3.35,1.10,1.06,1.05,1.29,0.00,0.00,1.21,"",0,0.0,-3,-3.3,1,1.2,0,0.0,-221093,-19.2,0,0.0,0,0.0,-192,-18.6
"42121","1","48-49","74","0","2016","2","","Venango County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,84,87,88,943132,0,0,840,"",3.38,1.05,1.08,1.10,1.22,0.00,0.00,1.13,"",0,0.0,-3,-3.4,2,2.4,3,3.5,-30768,-3.2,0,0.0,0,0.0,-34,-3.9
"42121","1","48-49","74","0","2016","3","","Venango County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,86,92,88,1163515,0,0,1009,"",3.42,1.08,1.16,1.11,1.27,0.00,0.00,1.13,"",0,0.0,0,0.0,7,8.2,0,0.0,15386,1.3,0,0.0,0,0.0,-14,-1.4
"42121","1","48-49","74","0","2016","4","","Venango County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,92,92,91,1210884,0,0,1016,"",3.48,1.17,1.18,1.11,1.29,0.00,0.00,1.12,"",0,0.0,4,4.5,6,7.0,5,5.8,60371,5.2,0,0.0,0,0.0,-5,-0.5
"42121","1","491","75","0","2016","1","","Venango County, Pennsylvania","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,87,84,84,928706,0,0,840,"",3.38,1.12,1.08,1.07,1.36,0.00,0.00,1.24,"",0,0.0,-3,-3.3,1,1.2,0,0.0,-221093,-19.2,0,0.0,0,0.0,-192,-18.6
