"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"44005","0","10","70","0","2016","1","","Newport County, Rhode Island","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3271,35850,35909,36518,440590686,220253106,7363496,939,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",37,1.1,605,1.7,649,1.8,786,2.2,1011231,0.2,6964477,3.3,-186049,-2.5,-16,-1.7
"44005","0","10","70","0","2016","2","","Newport County, Rhode Island","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3287,37871,39387,41131,469784292,155717760,5978507,916,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",25,0.8,293,0.8,-285,-0.7,-45,-0.1,12753755,2.8,5264269,3.5,-181541,-2.9,25,2.8
"44005","0","10","70","0","2016","3","","Newport County, Rhode Island","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3311,41409,41047,40541,506491469,116652057,4791752,950,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",25,0.8,423,1.0,397,1.0,152,0.4,33544873,7.1,7052510,6.4,24653,0.5,56,6.3
"44005","0","10","70","0","2016","4","","Newport County, Rhode Island","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3329,39954,39292,38561,512823609,65298661,2470452,1005,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",48,1.5,425,1.1,650,1.7,265,0.7,19204619,3.9,-1951419,-2.9,-239196,-8.8,27,2.8
"44005","1","10","71","0","2016","1","","Newport County, Rhode Island","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,4700,4690,4669,96462439,0,0,1583,"",1.46,6.60,6.60,6.47,7.69,0.00,0.00,1.17,"",1,3.4,220,4.9,189,4.2,197,4.4,-12899440,-11.8,0,0.0,0,0.0,-293,-15.6
"44005","1","10","71","0","2016","2","","Newport County, Rhode Island","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,4671,4664,4732,96678553,0,0,1586,"",1.46,6.30,6.05,5.85,7.50,0.00,0.00,1.24,"",0,0.0,193,4.3,177,3.9,193,4.3,4098054,4.4,0,0.0,0,0.0,4,0.3
"44005","1","10","71","0","2016","3","","Newport County, Rhode Island","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,4822,4850,4407,111513939,0,0,1828,"",1.47,5.86,5.97,5.53,7.10,0.00,0.00,1.23,"",0,0.0,272,6.0,254,5.5,-173,-3.8,2929240,2.7,0,0.0,0,0.0,2,0.1
"44005","1","10","71","0","2016","4","","Newport County, Rhode Island","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,4796,4807,4830,115936916,0,0,1854,"",1.47,6.15,6.28,6.35,8.02,0.00,0.00,1.28,"",0,0.0,123,2.6,130,2.8,131,2.8,20428412,21.4,0,0.0,0,0.0,285,18.2
"44005","1","101","72","0","2016","1","","Newport County, Rhode Island","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,55,53,53,1255648,0,0,1800,"",24.06,4.40,4.24,4.16,5.84,0.00,0.00,1.37,"",0,0.0,16,41.0,15,39.5,14,35.9,310001,32.8,0,0.0,0,0.0,-81,-4.3
"44005","1","101","72","0","2016","2","","Newport County, Rhode Island","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,52,53,50,1234931,0,0,1839,"",24.33,3.96,3.88,3.44,5.40,0.00,0.00,1.44,"",0,0.0,10,23.8,10,23.3,7,16.3,329314,36.4,0,0.0,0,0.0,206,12.6
"44005","1","101","72","0","2016","3","","Newport County, Rhode Island","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,49,49,49,1394675,0,0,2189,"",24.36,3.28,3.32,3.40,4.82,0.00,0.00,1.44,"",0,0.0,2,4.3,1,2.1,5,11.4,242548,21.1,0,0.0,0,0.0,276,14.4
"44005","1","101","72","0","2016","4","","Newport County, Rhode Island","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,47,46,45,1329739,0,0,2224,"",24.40,3.32,3.33,3.36,5.03,0.00,0.00,1.51,"",0,0.0,-2,-4.1,-4,-8.0,-11,-19.6,196498,17.3,0,0.0,0,0.0,537,31.8
"44005","1","1013","73","0","2016","1","","Newport County, Rhode Island","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,55,53,53,1255648,0,0,1800,"",66.71,4.63,4.46,4.38,6.12,0.00,0.00,1.36,"",0,0.0,16,41.0,15,39.5,14,35.9,310001,32.8,0,0.0,0,0.0,-81,-4.3
"44005","1","1013","73","0","2016","2","","Newport County, Rhode Island","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,52,53,50,1234931,0,0,1839,"",65.43,4.20,4.14,3.73,5.68,0.00,0.00,1.41,"",0,0.0,10,23.8,10,23.3,7,16.3,329314,36.4,0,0.0,0,0.0,206,12.6
"44005","1","1013","73","0","2016","3","","Newport County, Rhode Island","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,49,49,49,1394675,0,0,2189,"",64.07,3.57,3.61,3.67,5.16,0.00,0.00,1.43,"",0,0.0,2,4.3,1,2.1,5,11.4,242548,21.1,0,0.0,0,0.0,276,14.4
"44005","1","1013","73","0","2016","4","","Newport County, Rhode Island","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,47,46,45,1329739,0,0,2224,"",64.18,3.57,3.55,3.54,5.26,0.00,0.00,1.48,"",0,0.0,-2,-4.1,-4,-8.0,-11,-19.6,196498,17.3,0,0.0,0,0.0,537,31.8
"44005","1","102","72","0","2016","1","","Newport County, Rhode Island","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,4645,4637,4616,95206791,0,0,1581,"",1.41,6.64,6.64,6.52,7.73,0.00,0.00,1.17,"",1,3.6,204,4.6,174,3.9,183,4.1,-13209441,-12.2,0,0.0,0,0.0,-295,-15.7
"44005","1","102","72","0","2016","2","","Newport County, Rhode Island","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,4619,4611,4682,95443622,0,0,1583,"",1.42,6.34,6.09,5.89,7.54,0.00,0.00,1.23,"",0,0.0,183,4.1,167,3.8,186,4.1,3768740,4.1,0,0.0,0,0.0,1,0.1
"44005","1","102","72","0","2016","3","","Newport County, Rhode Island","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,4773,4801,4358,110119264,0,0,1824,"",1.42,5.90,6.02,5.57,7.15,0.00,0.00,1.23,"",0,0.0,270,6.0,253,5.6,-178,-3.9,2686692,2.5,0,0.0,0,0.0,-1,-0.1
"44005","1","102","72","0","2016","4","","Newport County, Rhode Island","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,4749,4761,4785,114607177,0,0,1850,"",1.42,6.20,6.33,6.41,8.07,0.00,0.00,1.28,"",0,0.0,125,2.7,134,2.9,142,3.1,20231914,21.4,0,0.0,0,0.0,282,18.0
"44005","1","1021","73","0","2016","1","","Newport County, Rhode Island","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,361,368,363,3472715,0,0,734,"",1.56,2.09,2.12,2.06,1.59,0.00,0.00,0.76,"",0,0.0,4,1.1,11,3.1,1,0.3,-394537,-10.2,0,0.0,0,0.0,-95,-11.5
"44005","1","1021","73","0","2016","2","","Newport County, Rhode Island","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,371,368,361,3307579,0,0,694,"",1.56,2.06,1.96,1.84,1.41,0.00,0.00,0.72,"",0,0.0,13,3.6,6,1.7,-4,-1.1,-203282,-5.8,0,0.0,0,0.0,-53,-7.1
