"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"45037","0","10","70","0","2016","1","","Edgefield County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",361,5604,5665,5690,50630699,27222485,487482,689,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,3.7,-433,-7.2,-407,-6.7,-438,-7.1,-1426647,-2.7,-1463768,-5.1,-106096,-17.9,30,4.6
"45037","0","10","70","0","2016","2","","Edgefield County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",354,5794,5743,5736,49739813,16819776,321445,665,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.6,-348,-5.7,-313,-5.2,-267,-4.4,-1824145,-3.5,-1427764,-7.8,-40675,-11.2,11,1.7
"45037","0","10","70","0","2016","3","","Edgefield County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",357,5560,5518,5516,51353415,8563212,153270,714,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.8,-251,-4.3,-384,-6.5,-207,-3.6,-2713633,-5.0,441909,5.4,361,0.2,-2,-0.3
"45037","0","10","70","0","2016","4","","Edgefield County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",363,5498,5487,5495,52563558,5184754,86518,736,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.0,-63,-1.1,-93,-1.7,-120,-2.1,-392129,-0.7,-561272,-9.8,-20578,-19.2,7,1.0
"45037","1","10","71","0","2016","1","","Edgefield County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,420,414,413,7200224,0,0,1332,"",4.40,3.77,3.69,3.68,5.00,0.00,0.00,1.35,"",1,11.1,1,0.2,1,0.2,-1,-0.2,106717,1.5,0,0.0,0,0.0,18,1.4
"45037","1","10","71","0","2016","2","","Edgefield County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,415,411,423,6006102,0,0,1110,"",4.53,3.66,3.66,3.75,4.40,0.00,0.00,1.19,"",1,11.1,0,0.0,-3,-0.7,10,2.4,-54799,-0.9,0,0.0,0,0.0,-16,-1.4
"45037","1","10","71","0","2016","3","","Edgefield County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,425,418,424,7102108,0,0,1294,"",4.53,3.84,3.83,3.91,4.46,0.00,0.00,1.16,"",1,11.1,16,3.9,5,1.2,12,2.9,138833,2.0,0,0.0,0,0.0,-8,-0.6
"45037","1","10","71","0","2016","4","","Edgefield County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,429,435,438,6330160,0,0,1122,"",4.49,4.00,4.07,4.04,4.27,0.00,0.00,1.06,"",1,11.1,20,4.9,24,5.8,22,5.3,247025,4.1,0,0.0,0,0.0,-14,-1.2
"45037","1","102","72","0","2016","1","","Edgefield County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,420,414,413,7200224,0,0,1332,"",4.41,3.84,3.76,3.74,5.08,0.00,0.00,1.34,"",1,11.1,1,0.2,1,0.2,-1,-0.2,106717,1.5,0,0.0,0,0.0,18,1.4
"45037","1","102","72","0","2016","2","","Edgefield County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,415,411,423,6006102,0,0,1110,"",4.54,3.73,3.73,3.82,4.48,0.00,0.00,1.19,"",1,11.1,0,0.0,-3,-0.7,10,2.4,-54799,-0.9,0,0.0,0,0.0,-16,-1.4
"45037","1","102","72","0","2016","3","","Edgefield County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,425,418,424,7102108,0,0,1294,"",4.54,3.91,3.90,3.98,4.55,0.00,0.00,1.16,"",1,11.1,16,3.9,5,1.2,12,2.9,138833,2.0,0,0.0,0,0.0,-8,-0.6
"45037","1","102","72","0","2016","4","","Edgefield County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,429,435,438,6330160,0,0,1122,"",4.49,4.07,4.14,4.12,4.35,0.00,0.00,1.06,"",1,11.1,20,4.9,24,5.8,22,5.3,247025,4.1,0,0.0,0,0.0,-14,-1.2
"45037","1","1021","73","0","2016","1","","Edgefield County, South Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,29,32,32,331417,0,0,822,"",2.64,1.08,1.17,1.17,1.32,0.00,0.00,1.16,"",0,0.0,0,0.0,4,14.3,3,10.3,-43977,-11.7,0,0.0,0,0.0,-185,-18.4
"45037","1","1021","73","0","2016","2","","Edgefield County, South Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,32,31,33,333126,0,0,801,"",2.72,1.16,1.13,1.21,1.34,0.00,0.00,1.15,"",0,0.0,4,14.3,1,3.3,4,13.8,3354,1.0,0,0.0,0,0.0,-74,-8.5
