"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"45039","0","10","70","0","2016","1","","Fairfield County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",369,10144,10121,10127,159908927,95904758,1562913,1214,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",26,7.6,62,0.6,-24,-0.2,-72,-0.7,5100798,3.3,2398382,2.6,-778531,-33.3,40,3.4
"45039","0","10","70","0","2016","2","","Fairfield County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",364,10061,9956,10040,162043572,55322357,845101,1244,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.0,-205,-2.0,-337,-3.3,-230,-2.2,16316884,11.2,29813758,116.9,239525,39.6,153,14.0
"45039","0","10","70","0","2016","3","","Fairfield County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",364,10242,10458,10721,181636420,22263222,344586,1334,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,259,2.6,269,2.6,214,2.0,26339577,17.0,6497450,41.2,4609,1.4,166,14.2
"45039","0","10","70","0","2016","4","","Fairfield County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",369,10870,11107,11349,187547872,18813939,279981,1299,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.5,4,0.0,363,3.4,946,9.1,1084138,0.6,2339085,14.2,-103118,-26.9,-45,-3.3
"45039","1","10","71","0","2016","1","","Fairfield County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,39,38,56,401896,0,0,697,"",3.01,0.19,0.19,0.28,0.09,0.00,0.00,0.40,"",0,0.0,-5,-11.4,-1,-2.6,18,47.4,-80100,-16.6,0,0.0,0,0.0,-222,-24.2
"45039","1","10","71","0","2016","2","","Fairfield County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,39,37,39,414422,0,0,832,"",3.08,0.20,0.19,0.20,0.09,0.00,0.00,0.48,"",0,0.0,0,0.0,-3,-7.5,2,5.4,26797,6.9,0,0.0,0,0.0,61,7.9
"45039","1","10","71","0","2016","3","","Fairfield County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,38,37,37,442785,0,0,912,"",3.11,0.19,0.18,0.18,0.08,0.00,0.00,0.44,"",0,0.0,-1,-2.6,-4,-9.8,-2,-5.1,-16721,-3.6,0,0.0,0,0.0,21,2.4
"45039","1","10","71","0","2016","4","","Fairfield County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,38,37,37,466984,0,0,962,"",3.09,0.18,0.17,0.17,0.09,0.00,0.00,0.51,"",0,0.0,-1,-2.6,-2,-5.1,-2,-5.1,7488,1.6,0,0.0,0,0.0,56,6.2
"45039","1","102","72","0","2016","1","","Fairfield County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,39,38,56,401896,0,0,697,"",3.02,0.20,0.19,0.29,0.09,0.00,0.00,0.40,"",0,0.0,-5,-11.4,-1,-2.6,18,47.4,-80100,-16.6,0,0.0,0,0.0,-222,-24.2
"45039","1","102","72","0","2016","2","","Fairfield County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,39,37,39,414422,0,0,832,"",3.09,0.20,0.19,0.20,0.09,0.00,0.00,0.48,"",0,0.0,0,0.0,-3,-7.5,2,5.4,26797,6.9,0,0.0,0,0.0,61,7.9
"45039","1","102","72","0","2016","3","","Fairfield County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,38,37,37,442785,0,0,912,"",3.12,0.19,0.18,0.18,0.08,0.00,0.00,0.44,"",0,0.0,-1,-2.6,-4,-9.8,-2,-5.1,-16721,-3.6,0,0.0,0,0.0,21,2.4
"45039","1","102","72","0","2016","4","","Fairfield County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,38,37,37,466984,0,0,962,"",3.10,0.18,0.17,0.17,0.09,0.00,0.00,0.51,"",0,0.0,-1,-2.6,-2,-5.1,-2,-5.1,7488,1.6,0,0.0,0,0.0,56,6.2
"45039","1","1021","73","0","2016","1","","Fairfield County, South Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,39,38,56,401896,0,0,697,"",5.18,0.80,0.78,1.15,0.51,0.00,0.00,0.56,"",0,0.0,-5,-11.4,-1,-2.6,18,47.4,-80100,-16.6,0,0.0,0,0.0,-222,-24.2
"45039","1","1021","73","0","2016","2","","Fairfield County, South Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,39,37,39,414422,0,0,832,"",5.29,0.82,0.78,0.82,0.51,0.00,0.00,0.64,"",0,0.0,0,0.0,-3,-7.5,2,5.4,26797,6.9,0,0.0,0,0.0,61,7.9
"45039","1","1021","73","0","2016","3","","Fairfield County, South Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,38,37,37,442785,0,0,912,"",5.34,0.77,0.74,0.72,0.44,0.00,0.00,0.59,"",0,0.0,-1,-2.6,-4,-9.8,-2,-5.1,-16721,-3.6,0,0.0,0,0.0,21,2.4
