"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"45081","0","10","70","0","2016","1","","Saluda County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",266,4499,4543,4561,34908874,23653393,238269,592,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.8,-42,-0.9,32,0.7,117,2.6,3106432,9.8,1857744,8.5,-11846,-4.7,48,8.8
"45081","0","10","70","0","2016","2","","Saluda County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",267,4424,4480,4521,33281436,14850255,143573,572,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.3,-154,-3.4,-36,-0.8,-15,-0.3,-35472,-0.1,-1291518,-8.0,-38339,-21.1,8,1.4
"45081","0","10","70","0","2016","3","","Saluda County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",268,4464,4572,4557,35526391,8928063,87172,603,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.1,-95,-2.1,-67,-1.4,-52,-1.1,1121369,3.3,-718233,-7.4,-26797,-23.5,28,4.9
"45081","0","10","70","0","2016","4","","Saluda County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",265,4502,4431,4417,38047131,5444412,55975,658,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.5,-44,-1.0,-156,-3.4,-167,-3.6,-359166,-0.9,-430723,-7.3,-12223,-17.9,12,1.9
"45081","1","10","71","0","2016","1","","Saluda County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,39,34,39,456117,0,0,940,"",4.78,0.44,0.38,0.43,0.46,0.00,0.00,1.11,"",0,0.0,3,8.3,-1,-2.9,3,8.3,-13443,-2.9,0,0.0,0,0.0,-73,-7.2
"45081","1","10","71","0","2016","2","","Saluda County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,31,36,39,403172,0,0,878,"",4.80,0.36,0.41,0.44,0.44,0.00,0.00,1.10,"",0,0.0,-3,-8.8,4,12.5,5,14.7,-651,-0.2,0,0.0,0,0.0,-54,-5.8
"45081","1","10","71","0","2016","3","","Saluda County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,34,35,32,440894,0,0,1007,"",4.83,0.38,0.39,0.36,0.40,0.00,0.00,1.07,"",0,0.0,0,0.0,-2,-5.4,-7,-17.9,-35353,-7.4,0,0.0,0,0.0,8,0.8
"45081","1","10","71","0","2016","4","","Saluda County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,32,32,34,421380,0,0,992,"",4.92,0.36,0.37,0.39,0.39,0.00,0.00,1.05,"",0,0.0,-2,-5.9,0,0.0,-2,-5.6,-17929,-4.1,0,0.0,0,0.0,-2,-0.2
"45081","1","102","72","0","2016","1","","Saluda County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,39,34,39,456117,0,0,940,"",4.79,0.44,0.38,0.44,0.47,0.00,0.00,1.10,"",0,0.0,3,8.3,-1,-2.9,3,8.3,-13443,-2.9,0,0.0,0,0.0,-73,-7.2
"45081","1","102","72","0","2016","2","","Saluda County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,31,36,39,403172,0,0,878,"",4.81,0.36,0.42,0.45,0.45,0.00,0.00,1.10,"",0,0.0,-3,-8.8,4,12.5,5,14.7,-651,-0.2,0,0.0,0,0.0,-54,-5.8
