"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"45087","0","10","70","0","2016","1","","Union County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",439,7589,7440,7526,62193157,40982464,721260,636,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-29,-6.2,481,6.8,345,4.9,357,5.0,3803508,6.5,3980687,10.8,-75528,-9.5,6,1.0
"45087","0","10","70","0","2016","2","","Union County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",443,7546,7587,7630,62265432,24085278,406001,631,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-2.2,191,2.6,155,2.1,212,2.9,265417,0.4,1390526,6.1,-78469,-16.2,-13,-2.0
"45087","0","10","70","0","2016","3","","Union County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",445,7653,7816,7836,66384689,14823669,241684,657,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-20,-4.3,384,5.3,462,6.3,267,3.5,5602936,9.2,2018729,15.8,-16307,-6.3,25,4.0
"45087","0","10","70","0","2016","4","","Union County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",443,8010,8156,8175,70495260,13459162,255251,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-4.5,317,4.1,456,5.9,500,6.5,4281430,6.5,1981821,17.3,-1125,-0.4,6,0.9
"45087","1","10","71","0","2016","1","","Union County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,53,56,54,664355,0,0,941,"",3.26,0.35,0.38,0.36,0.38,0.00,0.00,1.03,"",0,0.0,-2,-3.6,2,3.7,0,0.0,-77328,-10.4,0,0.0,0,0.0,-109,-10.4
"45087","1","10","71","0","2016","2","","Union County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,56,55,55,620502,0,0,863,"",2.90,0.38,0.37,0.37,0.36,0.00,0.00,0.98,"",-1,-11.1,1,1.8,-1,-1.8,-2,-3.5,-64368,-9.4,0,0.0,0,0.0,-78,-8.3
"45087","1","10","71","0","2016","3","","Union County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,53,56,56,700325,0,0,979,"",2.91,0.35,0.36,0.36,0.34,0.00,0.00,0.95,"",-1,-11.1,-1,-1.9,0,0.0,0,0.0,-54877,-7.3,0,0.0,0,0.0,-71,-6.8
"45087","1","10","71","0","2016","4","","Union County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,55,54,52,646270,0,0,926,"",2.94,0.35,0.34,0.32,0.33,0.00,0.00,0.96,"",-1,-11.1,0,0.0,-3,-5.3,-4,-7.1,-89018,-12.1,0,0.0,0,0.0,-84,-8.3
"45087","1","102","72","0","2016","1","","Union County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,53,56,54,664355,0,0,941,"",3.26,0.36,0.39,0.37,0.38,0.00,0.00,1.03,"",0,0.0,-2,-3.6,2,3.7,0,0.0,-77328,-10.4,0,0.0,0,0.0,-109,-10.4
"45087","1","102","72","0","2016","2","","Union County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,56,55,55,620502,0,0,863,"",2.90,0.39,0.38,0.37,0.37,0.00,0.00,0.98,"",-1,-11.1,1,1.8,-1,-1.8,-2,-3.5,-64368,-9.4,0,0.0,0,0.0,-78,-8.3
