"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46011","0","10","70","0","2016","1","","Brookings County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1068,17656,18054,18074,179084298,104762634,720319,768,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,2.2,342,2.0,484,2.8,533,3.0,1870599,1.1,907917,0.9,121232,20.2,-12,-1.5
"46011","0","10","70","0","2016","2","","Brookings County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1067,18394,18340,18710,186581761,50596646,457903,777,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,1.4,466,2.6,402,2.2,655,3.6,8536506,4.8,1904537,3.9,44763,10.8,15,2.0
"46011","0","10","70","0","2016","3","","Brookings County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1070,18492,18689,18704,201777498,27718881,369583,833,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.2,336,1.9,381,2.1,374,2.0,18444196,10.1,880324,3.3,11987,3.4,61,7.9
"46011","0","10","70","0","2016","4","","Brookings County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1076,19036,19095,18689,199423014,20100723,247336,810,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.4,573,3.1,614,3.3,430,2.4,4836538,2.5,1468439,7.9,36374,17.2,-3,-0.4
"46011","1","10","71","0","2016","1","","Brookings County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,142,138,137,1812186,0,0,1003,"",2.38,0.40,0.39,0.38,0.36,0.00,0.00,0.91,"",0,0.0,-12,-7.8,-11,-7.4,-12,-8.1,-240059,-11.7,0,0.0,0,0.0,-45,-4.3
"46011","1","10","71","0","2016","2","","Brookings County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,135,133,135,1592547,0,0,912,"",2.40,0.37,0.37,0.37,0.31,0.00,0.00,0.84,"",0,0.0,-17,-11.2,-15,-10.1,-18,-11.8,-161377,-9.2,0,0.0,0,0.0,19,2.1
"46011","1","10","71","0","2016","3","","Brookings County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,135,135,135,1879317,0,0,1071,"",2.42,0.37,0.36,0.37,0.30,0.00,0.00,0.82,"",0,0.0,-13,-8.8,-10,-6.9,-13,-8.8,-133893,-6.7,0,0.0,0,0.0,18,1.7
"46011","1","10","71","0","2016","4","","Brookings County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,134,130,135,1732227,0,0,1002,"",2.42,0.36,0.35,0.37,0.31,0.00,0.00,0.86,"",0,0.0,-11,-7.6,-15,-10.3,-11,-7.5,-47915,-2.7,0,0.0,0,0.0,60,6.4
"46011","1","102","72","0","2016","1","","Brookings County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,142,138,137,1812186,0,0,1003,"",2.38,0.41,0.39,0.39,0.36,0.00,0.00,0.91,"",0,0.0,-12,-7.8,-11,-7.4,-12,-8.1,-240059,-11.7,0,0.0,0,0.0,-45,-4.3
"46011","1","102","72","0","2016","2","","Brookings County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,135,133,135,1592547,0,0,912,"",2.41,0.38,0.38,0.37,0.32,0.00,0.00,0.84,"",0,0.0,-17,-11.2,-15,-10.1,-18,-11.8,-161377,-9.2,0,0.0,0,0.0,19,2.1
