"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46059","0","10","70","0","2016","1","","Hand County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",152,1346,1348,1389,9767249,6517559,25106,552,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-3.2,30,2.3,38,2.9,98,7.6,501007,5.4,394053,6.4,-942,-3.6,6,1.1
"46059","0","10","70","0","2016","2","","Hand County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",152,1383,1411,1427,10982354,4288715,18467,600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.3,114,9.0,51,3.8,19,1.3,495042,4.7,90360,2.2,181,1.0,1,0.2
"46059","0","10","70","0","2016","3","","Hand County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",156,1373,1350,1355,11046265,1910814,9186,625,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.6,25,1.9,-17,-1.2,-17,-1.2,347233,3.2,-306736,-13.8,-1166,-11.3,21,3.5
"46059","0","10","70","0","2016","4","","Hand County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",157,1429,1382,1360,12882037,1402901,5659,713,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.3,-85,-5.6,-154,-10.0,-156,-10.3,132456,1.0,-423427,-23.2,-8131,-59.0,69,10.7
"46059","1","10","71","0","2016","1","","Hand County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,22,18,20,221923,0,0,854,"",6.27,0.82,0.67,0.73,0.80,0.00,0.00,1.08,"",0,0.0,2,10.0,-3,-14.3,0,0.0,-125,-0.1,0,0.0,0,0.0,14,1.7
"46059","1","10","71","0","2016","2","","Hand County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,21,20,20,195872,0,0,741,"",6.33,0.78,0.72,0.71,0.65,0.00,0.00,0.88,"",0,0.0,1,5.0,2,11.1,2,11.1,-1945,-1.0,0,0.0,0,0.0,-74,-9.1
"46059","1","10","71","0","2016","3","","Hand County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,19,17,16,233782,0,0,1037,"",6.22,0.70,0.64,0.60,0.68,0.00,0.00,1.06,"",0,0.0,-2,-9.5,-4,-19.0,-5,-23.8,8867,3.9,0,0.0,0,0.0,213,25.8
"46059","1","10","71","0","2016","4","","Hand County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,17,20,19,208894,0,0,861,"",6.22,0.61,0.74,0.71,0.58,0.00,0.00,0.84,"",0,0.0,-4,-19.0,1,5.3,-3,-13.6,-5535,-2.6,0,0.0,0,0.0,63,7.9
"46059","1","102","72","0","2016","1","","Hand County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,22,18,20,221923,0,0,854,"",6.28,0.84,0.69,0.74,0.81,0.00,0.00,1.08,"",0,0.0,2,10.0,-3,-14.3,0,0.0,-125,-0.1,0,0.0,0,0.0,14,1.7
"46059","1","102","72","0","2016","2","","Hand County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,21,20,20,195872,0,0,741,"",6.34,0.79,0.74,0.73,0.66,0.00,0.00,0.88,"",0,0.0,1,5.0,2,11.1,2,11.1,-1945,-1.0,0,0.0,0,0.0,-74,-9.1
"46059","1","102","72","0","2016","3","","Hand County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,19,17,16,233782,0,0,1037,"",6.23,0.71,0.65,0.61,0.70,0.00,0.00,1.06,"",0,0.0,-2,-9.5,-4,-19.0,-5,-23.8,8867,3.9,0,0.0,0,0.0,213,25.8
"46059","1","102","72","0","2016","4","","Hand County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,17,20,19,208894,0,0,861,"",6.24,0.62,0.76,0.72,0.59,0.00,0.00,0.84,"",0,0.0,-4,-19.0,1,5.3,-3,-13.6,-5535,-2.6,0,0.0,0,0.0,63,7.9
"46059","1","1021","73","0","2016","1","","Hand County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,9,8,7,60377,0,0,581,"",6.28,1.39,1.23,1.04,1.25,0.00,0.00,1.03,"",0,0.0,1,12.5,-1,-11.1,-1,-12.5,-16916,-21.9,0,0.0,0,0.0,-132,-18.5
"46059","1","1021","73","0","2016","2","","Hand County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,8,7,7,57893,0,0,607,"",6.33,1.22,1.04,1.03,1.06,0.00,0.00,0.96,"",0,0.0,0,0.0,-2,-22.2,-2,-22.2,-12075,-17.3,0,0.0,0,0.0,-14,-2.3
"46059","1","1021","73","0","2016","3","","Hand County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,7,7,6,70607,0,0,815,"",6.23,1.06,1.08,0.93,1.14,0.00,0.00,1.12,"",0,0.0,-2,-22.2,-2,-22.2,-3,-33.3,-7260,-9.3,0,0.0,0,0.0,149,22.4
"46059","1","1021","73","0","2016","4","","Hand County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,7,7,6,68508,0,0,790,"",6.24,1.03,1.07,0.89,0.93,0.00,0.00,0.93,"",0,0.0,-2,-22.2,-2,-22.2,-3,-33.3,-9177,-11.8,0,0.0,0,0.0,126,19.0
"46059","1","1028","73","0","2016","1","","Hand County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,10,13,161546,0,0,1036,"",7.69,0.89,0.69,0.87,0.93,0.00,0.00,1.13,"",0,0.0,1,8.3,-2,-16.7,1,8.3,16791,11.6,0,0.0,0,0.0,108,11.6
"46059","1","1028","73","0","2016","2","","Hand County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,13,13,137979,0,0,816,"",7.78,0.88,0.87,0.85,0.75,0.00,0.00,0.86,"",0,0.0,1,8.3,4,44.4,4,44.4,10130,7.9,0,0.0,0,0.0,-167,-17.0
"46059","1","1028","73","0","2016","3","","Hand County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,10,10,163175,0,0,1177,"",7.63,0.81,0.69,0.69,0.78,0.00,0.00,1.06,"",0,0.0,0,0.0,-2,-16.7,-2,-16.7,16127,11.0,0,0.0,0,0.0,234,24.8
