"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46067","0","10","70","0","2016","1","","Hutchinson County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",276,2596,2579,2618,20428436,13347172,53152,605,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,3.0,13,0.5,57,2.3,39,1.5,234745,1.2,282452,2.2,-10746,-16.8,-1,-0.2
"46067","0","10","70","0","2016","2","","Hutchinson County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",281,2657,2680,2716,21800554,7776657,34237,625,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,2.9,56,2.2,28,1.1,-4,-0.1,1207069,5.9,95345,1.2,-2239,-6.1,29,4.9
"46067","0","10","70","0","2016","3","","Hutchinson County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",275,2646,2612,2572,21760907,3351091,19431,641,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.7,14,0.5,9,0.3,8,0.3,664611,3.2,-26191,-0.8,1206,6.6,17,2.7
"46067","0","10","70","0","2016","4","","Hutchinson County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",272,2590,2565,2615,23827408,2230041,11541,708,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-42,-1.6,-26,-1.0,16,0.6,-546655,-2.2,-417562,-15.8,-3011,-20.7,-11,-1.5
"46067","1","10","71","0","2016","1","","Hutchinson County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,43,42,43,435656,0,0,785,"",5.18,0.83,0.82,0.83,0.75,0.00,0.00,0.90,"",-1,-10.0,1,2.4,6,16.7,5,13.2,-23722,-5.2,0,0.0,0,0.0,-129,-14.1
"46067","1","10","71","0","2016","2","","Hutchinson County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,43,43,40,407052,0,0,746,"",5.14,0.83,0.82,0.75,0.68,0.00,0.00,0.85,"",-1,-10.0,5,13.2,6,16.2,1,2.6,28634,7.6,0,0.0,0,0.0,-20,-2.6
"46067","1","10","71","0","2016","3","","Hutchinson County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,44,44,45,481716,0,0,836,"",4.70,0.84,0.85,0.89,0.71,0.00,0.00,0.83,"",-2,-20.0,6,15.8,4,10.0,6,15.4,20524,4.5,0,0.0,0,0.0,-74,-8.1
"46067","1","10","71","0","2016","4","","Hutchinson County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,42,39,45,440879,0,0,807,"",5.39,0.83,0.78,0.87,0.66,0.00,0.00,0.79,"",0,0.0,0,0.0,-2,-4.9,2,4.7,-2246,-0.5,0,0.0,0,0.0,-5,-0.6
"46067","1","102","72","0","2016","1","","Hutchinson County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,43,42,43,435656,0,0,785,"",5.19,0.85,0.84,0.85,0.76,0.00,0.00,0.90,"",-1,-10.0,1,2.4,6,16.7,5,13.2,-23722,-5.2,0,0.0,0,0.0,-129,-14.1
"46067","1","102","72","0","2016","2","","Hutchinson County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,43,43,40,407052,0,0,746,"",5.15,0.84,0.84,0.76,0.69,0.00,0.00,0.85,"",-1,-10.0,5,13.2,6,16.2,1,2.6,28634,7.6,0,0.0,0,0.0,-20,-2.6
