"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46073","0","10","70","0","2016","1","","Jerauld County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",109,1342,1331,1342,11248115,8988589,43095,647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.9,-145,-9.8,-151,-10.2,-125,-8.5,-104442,-0.9,-192713,-2.1,134,0.3,56,9.5
"46073","0","10","70","0","2016","2","","Jerauld County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",109,1345,1376,1417,11962862,6208372,32227,667,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.9,-123,-8.4,-88,-6.0,-87,-5.8,41759,0.4,-536474,-8.0,-1973,-5.8,47,7.6
"46073","0","10","70","0","2016","3","","Jerauld County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",111,1402,1364,1358,12715226,2246416,14318,712,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.8,-69,-4.7,-74,-5.1,-75,-5.2,842509,7.1,-636539,-22.1,-1016,-6.6,81,12.8
"46073","0","10","70","0","2016","4","","Jerauld County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",111,1376,1369,1352,11640794,1319488,7368,656,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-48,-3.4,-40,-2.8,-41,-2.9,-1015603,-8.0,54667,4.3,804,12.2,-35,-5.1
"46073","1","10","71","0","2016","1","","Jerauld County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,9,10,12,95807,0,0,713,"",5.83,0.34,0.38,0.45,0.30,0.00,0.00,0.77,"",0,0.0,-1,-10.0,3,42.9,4,50.0,-1549,-1.6,0,0.0,0,0.0,-186,-20.7
"46073","1","10","71","0","2016","2","","Jerauld County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,10,11,11,90601,0,0,653,"",5.88,0.38,0.41,0.39,0.28,0.00,0.00,0.70,"",0,0.0,3,42.9,3,37.5,5,83.3,5301,6.2,0,0.0,0,0.0,-284,-30.3
"46073","1","10","71","0","2016","3","","Jerauld County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,11,12,10,110655,0,0,774,"",5.83,0.39,0.44,0.37,0.28,0.00,0.00,0.69,"",0,0.0,2,22.2,3,33.3,1,11.1,11889,12.0,0,0.0,0,0.0,-70,-8.3
"46073","1","10","71","0","2016","4","","Jerauld County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,9,10,11,111655,0,0,859,"",5.87,0.34,0.37,0.41,0.34,0.00,0.00,0.91,"",0,0.0,2,28.6,0,0.0,1,10.0,7500,7.2,0,0.0,0,0.0,-31,-3.5
"46073","1","102","72","0","2016","1","","Jerauld County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,9,10,12,95807,0,0,713,"",5.84,0.34,0.39,0.46,0.30,0.00,0.00,0.77,"",0,0.0,-1,-10.0,3,42.9,4,50.0,-1549,-1.6,0,0.0,0,0.0,-186,-20.7
"46073","1","102","72","0","2016","2","","Jerauld County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,10,11,11,90601,0,0,653,"",5.90,0.39,0.42,0.40,0.28,0.00,0.00,0.70,"",0,0.0,3,42.9,3,37.5,5,83.3,5301,6.2,0,0.0,0,0.0,-284,-30.3
"46073","1","102","72","0","2016","3","","Jerauld County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,11,12,10,110655,0,0,774,"",5.84,0.40,0.45,0.38,0.29,0.00,0.00,0.69,"",0,0.0,2,22.2,3,33.3,1,11.1,11889,12.0,0,0.0,0,0.0,-70,-8.3
"46073","1","102","72","0","2016","4","","Jerauld County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,9,10,11,111655,0,0,859,"",5.88,0.34,0.38,0.42,0.35,0.00,0.00,0.91,"",0,0.0,2,28.6,0,0.0,1,10.0,7500,7.2,0,0.0,0,0.0,-31,-3.5
"46073","1","1021","73","0","2016","1","","Jerauld County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,6,8,8,67299,0,0,706,"",5.84,0.93,1.24,1.24,1.21,0.00,0.00,1.06,"",0,0.0,-1,-14.3,3,60.0,3,60.0,-11050,-14.1,0,0.0,0,0.0,-358,-33.6
"46073","1","1021","73","0","2016","2","","Jerauld County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,6,7,7,66033,0,0,762,"",5.89,0.94,1.07,1.04,1.11,0.00,0.00,1.09,"",0,0.0,0,0.0,2,40.0,2,40.0,-2968,-4.3,0,0.0,0,0.0,-233,-23.4
"46073","1","1021","73","0","2016","3","","Jerauld County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,7,8,8,82017,0,0,823,"",5.84,1.04,1.22,1.23,1.15,0.00,0.00,0.99,"",0,0.0,2,40.0,2,33.3,2,33.3,2608,3.3,0,0.0,0,0.0,-255,-23.7
"46073","1","1021","73","0","2016","4","","Jerauld County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,7,8,7,87273,0,0,915,"",5.88,1.07,1.23,1.05,1.31,0.00,0.00,1.17,"",0,0.0,1,16.7,1,14.3,0,0.0,12,0.0,0,0.0,0,0.0,-92,-9.1
"46073","1","1028","73","0","2016","1","","Jerauld County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,2,4,28508,0,0,731,"",7.15,0.21,0.14,0.28,0.14,0.00,0.00,0.68,"",0,0.0,0,0.0,0,0.0,1,33.3,9501,50.0,0,0.0,0,0.0,183,33.4
"46073","1","1028","73","0","2016","2","","Jerauld County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,4,4,4,24568,0,0,472,"",7.23,0.28,0.27,0.26,0.12,0.00,0.00,0.45,"",0,0.0,3,300.0,1,33.3,3,300.0,8269,50.7,0,0.0,0,0.0,-280,-37.2
"46073","1","1028","73","0","2016","3","","Jerauld County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,4,4,2,28638,0,0,661,"",7.15,0.26,0.27,0.14,0.12,0.00,0.00,0.52,"",0,0.0,0,0.0,1,33.3,-1,-33.3,9281,47.9,0,0.0,0,0.0,214,47.9
"46073","1","1028","73","0","2016","4","","Jerauld County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,2,2,4,24382,0,0,703,"",7.20,0.14,0.14,0.28,0.13,0.00,0.00,0.68,"",0,0.0,1,100.0,-1,-33.3,1,33.3,7488,44.3,0,0.0,0,0.0,146,26.2
"46073","1","48-49","74","0","2016","1","","Jerauld County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,6,8,8,67299,0,0,706,"",6.01,1.02,1.36,1.35,1.30,0.00,0.00,1.05,"",0,0.0,-1,-14.3,3,60.0,3,60.0,-11050,-14.1,0,0.0,0,0.0,-358,-33.6
"46073","1","48-49","74","0","2016","2","","Jerauld County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,6,7,7,66033,0,0,762,"",6.05,1.03,1.17,1.13,1.20,0.00,0.00,1.07,"",0,0.0,0,0.0,2,40.0,2,40.0,-2968,-4.3,0,0.0,0,0.0,-233,-23.4
"46073","1","48-49","74","0","2016","3","","Jerauld County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,7,8,8,82017,0,0,823,"",6.01,1.14,1.34,1.35,1.24,0.00,0.00,0.97,"",0,0.0,2,40.0,2,33.3,2,33.3,2608,3.3,0,0.0,0,0.0,-255,-23.7
"46073","1","48-49","74","0","2016","4","","Jerauld County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,7,8,7,87273,0,0,915,"",6.05,1.17,1.35,1.14,1.41,0.00,0.00,1.16,"",0,0.0,1,16.7,1,14.3,0,0.0,12,0.0,0,0.0,0,0.0,-92,-9.1
"46073","1","491","75","0","2016","1","","Jerauld County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,8,8,67299,0,0,706,"",6.05,1.04,1.39,1.38,1.37,0.00,0.00,1.08,"",0,0.0,-1,-14.3,3,60.0,3,60.0,-11050,-14.1,0,0.0,0,0.0,-358,-33.6
"46073","1","491","75","0","2016","2","","Jerauld County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,7,7,66033,0,0,762,"",6.10,1.05,1.19,1.16,1.25,0.00,0.00,1.10,"",0,0.0,0,0.0,2,40.0,2,40.0,-2968,-4.3,0,0.0,0,0.0,-233,-23.4
"46073","1","491","75","0","2016","3","","Jerauld County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,8,8,82017,0,0,823,"",6.05,1.16,1.37,1.38,1.29,0.00,0.00,0.99,"",0,0.0,2,40.0,2,33.3,2,33.3,2608,3.3,0,0.0,0,0.0,-255,-23.7
"46073","1","491","75","0","2016","4","","Jerauld County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,8,7,87273,0,0,915,"",6.09,1.20,1.38,1.17,1.47,0.00,0.00,1.18,"",0,0.0,1,16.7,1,14.3,0,0.0,12,0.0,0,0.0,0,0.0,-92,-9.1
"46073","1","4911","76","0","2016","1","","Jerauld County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,8,8,67299,0,0,706,"",6.05,1.04,1.39,1.38,1.37,0.00,0.00,1.08,"",0,0.0,-1,-14.3,3,60.0,3,60.0,-11050,-14.1,0,0.0,0,0.0,-358,-33.6
"46073","1","4911","76","0","2016","2","","Jerauld County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,7,7,66033,0,0,762,"",6.10,1.05,1.19,1.16,1.25,0.00,0.00,1.10,"",0,0.0,0,0.0,2,40.0,2,40.0,-2968,-4.3,0,0.0,0,0.0,-233,-23.4
"46073","1","4911","76","0","2016","3","","Jerauld County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,8,8,82017,0,0,823,"",6.05,1.16,1.37,1.38,1.29,0.00,0.00,0.99,"",0,0.0,2,40.0,2,33.3,2,33.3,2608,3.3,0,0.0,0,0.0,-255,-23.7
"46073","1","4911","76","0","2016","4","","Jerauld County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,8,7,87273,0,0,915,"",6.09,1.20,1.38,1.17,1.47,0.00,0.00,1.18,"",0,0.0,1,16.7,1,14.3,0,0.0,12,0.0,0,0.0,0,0.0,-92,-9.1
"46073","1","49111","77","0","2016","1","","Jerauld County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,8,8,67299,0,0,706,"",6.05,1.04,1.39,1.38,1.37,0.00,0.00,1.08,"",0,0.0,-1,-14.3,3,60.0,3,60.0,-11050,-14.1,0,0.0,0,0.0,-358,-33.6
"46073","1","49111","77","0","2016","2","","Jerauld County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,7,7,66033,0,0,762,"",6.10,1.05,1.19,1.16,1.25,0.00,0.00,1.10,"",0,0.0,0,0.0,2,40.0,2,40.0,-2968,-4.3,0,0.0,0,0.0,-233,-23.4
"46073","1","49111","77","0","2016","3","","Jerauld County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,8,8,82017,0,0,823,"",6.05,1.16,1.37,1.38,1.29,0.00,0.00,0.99,"",0,0.0,2,40.0,2,33.3,2,33.3,2608,3.3,0,0.0,0,0.0,-255,-23.7
"46073","1","49111","77","0","2016","4","","Jerauld County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,8,7,87273,0,0,915,"",6.09,1.20,1.38,1.17,1.47,0.00,0.00,1.18,"",0,0.0,1,16.7,1,14.3,0,0.0,12,0.0,0,0.0,0,0.0,-92,-9.1
"46073","1","491110","78","0","2016","1","","Jerauld County, South Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,8,8,67299,0,0,706,"",6.05,1.04,1.39,1.38,1.37,0.00,0.00,1.08,"",0,0.0,-1,-14.3,3,60.0,3,60.0,-11050,-14.1,0,0.0,0,0.0,-358,-33.6
"46073","1","491110","78","0","2016","2","","Jerauld County, South Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,7,7,66033,0,0,762,"",6.10,1.05,1.19,1.16,1.25,0.00,0.00,1.10,"",0,0.0,0,0.0,2,40.0,2,40.0,-2968,-4.3,0,0.0,0,0.0,-233,-23.4
"46073","1","491110","78","0","2016","3","","Jerauld County, South Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,8,8,82017,0,0,823,"",6.05,1.16,1.37,1.38,1.29,0.00,0.00,0.99,"",0,0.0,2,40.0,2,33.3,2,33.3,2608,3.3,0,0.0,0,0.0,-255,-23.7
"46073","1","491110","78","0","2016","4","","Jerauld County, South Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,8,7,87273,0,0,915,"",6.09,1.20,1.38,1.17,1.47,0.00,0.00,1.18,"",0,0.0,1,16.7,1,14.3,0,0.0,12,0.0,0,0.0,0,0.0,-92,-9.1
"46073","1","92","74","0","2016","1","","Jerauld County, South Dakota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,3,2,4,28508,0,0,731,"",7.15,0.21,0.14,0.28,0.14,0.00,0.00,0.68,"",0,0.0,0,0.0,0,0.0,1,33.3,9501,50.0,0,0.0,0,0.0,183,33.4
"46073","1","92","74","0","2016","2","","Jerauld County, South Dakota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,4,4,4,24568,0,0,472,"",7.23,0.28,0.27,0.26,0.12,0.00,0.00,0.45,"",0,0.0,3,300.0,1,33.3,3,300.0,8269,50.7,0,0.0,0,0.0,-280,-37.2
"46073","1","92","74","0","2016","3","","Jerauld County, South Dakota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,4,4,2,28638,0,0,661,"",7.15,0.26,0.27,0.14,0.12,0.00,0.00,0.52,"",0,0.0,0,0.0,1,33.3,-1,-33.3,9281,47.9,0,0.0,0,0.0,214,47.9
"46073","1","92","74","0","2016","4","","Jerauld County, South Dakota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,2,2,4,24382,0,0,703,"",7.20,0.14,0.14,0.28,0.13,0.00,0.00,0.68,"",0,0.0,1,100.0,-1,-33.3,1,33.3,7488,44.3,0,0.0,0,0.0,146,26.2
"46073","1","924","75","0","2016","1","","Jerauld County, South Dakota","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,28187,0,0,1084,"",15.81,2.24,2.29,2.26,2.39,0.00,0.00,1.05,"",0,0.0,0,0.0,0,0.0,1,100.0,9385,49.9,0,0.0,0,0.0,216,24.9
"46073","1","924","75","0","2016","2","","Jerauld County, South Dakota","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,24240,0,0,932,"",15.93,2.21,2.09,1.88,2.06,0.00,0.00,1.00,"",0,0.0,1,100.0,1,100.0,1,100.0,8078,50.0,0,0.0,0,0.0,-311,-25.0
"46073","1","924","75","0","2016","3","","Jerauld County, South Dakota","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,28280,0,0,1088,"",15.82,1.87,1.94,2.01,1.79,0.00,0.00,0.92,"",0,0.0,1,100.0,1,100.0,1,100.0,9425,50.0,0,0.0,0,0.0,-362,-25.0
"46073","1","924","75","0","2016","4","","Jerauld County, South Dakota","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,24240,0,0,932,"",15.99,2.07,2.16,2.21,2.25,0.00,0.00,1.05,"",0,0.0,1,100.0,1,100.0,1,100.0,7778,47.2,0,0.0,0,0.0,-334,-26.4
