"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46087","0","10","70","0","2016","1","","McCook County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",228,1308,1329,1354,10759570,7682500,39762,622,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,6.0,-27,-2.0,13,1.0,-5,-0.4,902478,9.2,562933,7.9,3253,8.9,55,9.7
"46087","0","10","70","0","2016","2","","McCook County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",231,1344,1394,1395,11561855,4460991,33171,646,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,6.0,-29,-2.1,-20,-1.4,-35,-2.4,682360,6.3,41070,0.9,8522,34.6,51,8.6
"46087","0","10","70","0","2016","3","","McCook County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",233,1375,1392,1364,11815053,2229563,17092,660,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,5.9,-58,-4.0,-59,-4.1,-49,-3.5,379162,3.3,-125991,-5.3,-1845,-9.7,46,7.5
"46087","0","10","70","0","2016","4","","McCook County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",232,1344,1322,1330,12223324,1575572,13999,706,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.7,-74,-5.2,-84,-6.0,-75,-5.3,-32929,-0.3,-253482,-13.9,254,1.8,37,5.5
"46087","1","10","71","0","2016","1","","McCook County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,23,24,28,253759,0,0,781,"",5.57,0.89,0.91,1.05,0.83,0.00,0.00,0.87,"",0,0.0,-7,-23.3,0,0.0,1,3.7,-12040,-4.5,0,0.0,0,0.0,24,3.2
"46087","1","10","71","0","2016","2","","McCook County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,24,25,26,245571,0,0,756,"",5.55,0.91,0.92,0.95,0.77,0.00,0.00,0.84,"",0,0.0,-2,-7.7,2,8.7,1,4.0,9593,4.1,0,0.0,0,0.0,20,2.7
"46087","1","10","71","0","2016","3","","McCook County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,24,25,25,300999,0,0,939,"",5.55,0.88,0.91,0.93,0.82,0.00,0.00,0.91,"",0,0.0,0,0.0,-1,-3.8,-3,-10.7,22892,8.2,0,0.0,0,0.0,116,14.1
"46087","1","10","71","0","2016","4","","McCook County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,25,26,29,300295,0,0,866,"",5.62,0.95,1.01,1.11,0.87,0.00,0.00,0.85,"",0,0.0,-2,-7.4,1,4.0,4,16.0,42561,16.5,0,0.0,0,0.0,94,12.2
"46087","1","102","72","0","2016","1","","McCook County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,23,24,28,253759,0,0,781,"",5.58,0.90,0.93,1.07,0.84,0.00,0.00,0.87,"",0,0.0,-7,-23.3,0,0.0,1,3.7,-12040,-4.5,0,0.0,0,0.0,24,3.2
"46087","1","102","72","0","2016","2","","McCook County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,24,25,26,245571,0,0,756,"",5.56,0.93,0.93,0.96,0.79,0.00,0.00,0.84,"",0,0.0,-2,-7.7,2,8.7,1,4.0,9593,4.1,0,0.0,0,0.0,20,2.7
