"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46102","0","10","70","0","2016","1","","Oglala Lakota County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",116,3681,3730,3729,34246542,13151893,196428,709,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",116,100.0,3681,100.0,3730,100.0,3729,100.0,34246542,100.0,13151893,100.0,196428,100.0,709,100.0
"46102","0","10","70","0","2016","2","","Oglala Lakota County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",119,3703,3704,3891,35421244,8240732,109601,724,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",119,100.0,3703,100.0,3704,100.0,3891,100.0,35421244,100.0,8240732,100.0,109601,100.0,724,100.0
"46102","0","10","70","0","2016","3","","Oglala Lakota County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",120,3631,3846,3653,34294280,3240771,32616,711,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,2.6,202,5.9,117,3.1,4,0.1,1129940,3.4,-108358,-3.2,-12040,-27.0,3,0.4
"46102","0","10","70","0","2016","4","","Oglala Lakota County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",120,3659,3691,3696,38112711,3032834,29810,796,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.8,-16,-0.4,26,0.7,-23,-0.6,1722502,4.7,-86011,-2.8,-13026,-30.4,37,4.9
"46102","1","10","71","0","2016","1","","Oglala Lakota County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,630,633,643,10090794,0,0,1222,"",16.43,8.62,8.57,8.73,10.35,0.00,0.00,1.20,"",12,100.0,630,100.0,633,100.0,643,100.0,10090794,100.0,0,0.0,0,0.0,1222,100.0
"46102","1","10","71","0","2016","2","","Oglala Lakota County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,646,657,662,9632910,0,0,1131,"",16.17,8.91,9.07,8.65,9.91,0.00,0.00,1.12,"",12,100.0,646,100.0,657,100.0,662,100.0,9632910,100.0,0,0.0,0,0.0,1131,100.0
"46102","1","10","71","0","2016","3","","Oglala Lakota County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,560,653,638,10448878,0,0,1303,"",14.82,7.75,8.58,8.89,9.83,0.00,0.00,1.17,"",-1,-8.3,49,9.6,33,5.3,15,2.4,496885,5.0,0,0.0,0,0.0,-6,-0.5
"46102","1","10","71","0","2016","4","","Oglala Lakota County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,624,626,627,10518279,0,0,1293,"",14.93,8.74,8.71,8.61,9.79,0.00,0.00,1.13,"",-2,-15.4,-9,-1.4,-8,-1.3,-10,-1.6,-178511,-1.7,0,0.0,0,0.0,-3,-0.2
"46102","1","102","72","0","2016","1","","Oglala Lakota County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,630,633,643,10090794,0,0,1222,"",16.47,8.77,8.72,8.89,10.54,0.00,0.00,1.20,"",12,100.0,630,100.0,633,100.0,643,100.0,10090794,100.0,0,0.0,0,0.0,1222,100.0
"46102","1","102","72","0","2016","2","","Oglala Lakota County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,646,657,662,9632910,0,0,1131,"",16.20,9.07,9.23,8.81,10.09,0.00,0.00,1.12,"",12,100.0,646,100.0,657,100.0,662,100.0,9632910,100.0,0,0.0,0,0.0,1131,100.0
