"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46125","0","10","70","0","2016","1","","Turner County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",292,1983,1960,1996,15446625,10424348,55613,600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,3.5,15,0.8,10,0.5,-18,-0.9,149784,1.0,218934,2.1,2803,5.3,5,0.8
"46125","0","10","70","0","2016","2","","Turner County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",293,2062,2121,2134,16234458,5699770,45485,593,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,2.8,38,1.9,46,2.2,-23,-1.1,468126,3.0,82965,1.5,894,2.0,11,1.9
"46125","0","10","70","0","2016","3","","Turner County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",298,2091,2106,2105,17882758,3050807,32277,655,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,4.6,0,0.0,-13,-0.6,-8,-0.4,594221,3.4,-141977,-4.4,4565,16.5,24,3.8
"46125","0","10","70","0","2016","4","","Turner County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",301,2061,2045,2082,18826749,2174043,15660,702,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,3.1,0,0.0,-15,-0.7,30,1.5,488734,2.7,-55843,-2.5,-1304,-7.7,16,2.3
"46125","1","10","71","0","2016","1","","Turner County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,27,25,28,300444,0,0,867,"",5.44,0.69,0.64,0.71,0.68,0.00,0.00,1.01,"",1,11.1,-1,-3.6,3,13.6,1,3.7,-15336,-4.9,0,0.0,0,0.0,-79,-8.4
"46125","1","10","71","0","2016","2","","Turner County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,26,28,28,288350,0,0,811,"",5.47,0.64,0.67,0.67,0.65,0.00,0.00,0.98,"",0,0.0,2,8.3,3,12.0,1,3.7,12399,4.5,0,0.0,0,0.0,-27,-3.2
"46125","1","10","71","0","2016","3","","Turner County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,25,28,27,340271,0,0,982,"",5.43,0.60,0.67,0.65,0.61,0.00,0.00,0.96,"",0,0.0,-1,-3.8,2,7.7,1,3.8,5771,1.7,0,0.0,0,0.0,-8,-0.8
"46125","1","10","71","0","2016","4","","Turner County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,25,26,28,324862,0,0,949,"",5.41,0.62,0.65,0.68,0.61,0.00,0.00,0.94,"",0,0.0,1,4.2,1,4.0,1,3.7,18004,5.9,0,0.0,0,0.0,17,1.8
"46125","1","102","72","0","2016","1","","Turner County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,27,25,28,300444,0,0,867,"",5.45,0.70,0.66,0.72,0.70,0.00,0.00,1.01,"",1,11.1,-1,-3.6,3,13.6,1,3.7,-15336,-4.9,0,0.0,0,0.0,-79,-8.4
"46125","1","102","72","0","2016","2","","Turner County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,26,28,28,288350,0,0,811,"",5.48,0.66,0.69,0.68,0.66,0.00,0.00,0.98,"",0,0.0,2,8.3,3,12.0,1,3.7,12399,4.5,0,0.0,0,0.0,-27,-3.2
