"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46127","0","10","70","0","2016","1","","Union County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",683,9276,9332,9323,112243187,72222394,465556,927,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.9,95,1.0,194,2.1,136,1.5,10919579,10.8,1394789,2.0,28581,6.5,77,9.1
"46127","0","10","70","0","2016","2","","Union County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",683,9581,9647,9725,113318235,34706053,262782,903,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,0.9,311,3.4,190,2.0,115,1.2,-646104,-0.6,1071952,3.2,25229,10.6,-25,-2.7
"46127","0","10","70","0","2016","3","","Union County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",689,9514,9587,9626,123867027,15997266,135869,995,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.6,185,2.0,323,3.5,298,3.2,17193528,16.1,1156200,7.8,12231,9.9,113,12.8
"46127","0","10","70","0","2016","4","","Union County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",690,9630,9607,9717,148375049,11301296,85535,1183,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.0,243,2.6,221,2.4,245,2.6,4602905,3.2,-2665024,-19.1,-26852,-23.9,8,0.7
"46127","1","10","71","0","2016","1","","Union County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,56,53,55,567604,0,0,799,"",1.86,0.30,0.29,0.30,0.18,0.00,0.00,0.60,"",0,0.0,2,3.7,4,8.2,7,14.6,-9356,-1.6,0,0.0,0,0.0,-83,-9.4
"46127","1","10","71","0","2016","2","","Union County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,57,55,57,547018,0,0,747,"",1.88,0.30,0.29,0.30,0.18,0.00,0.00,0.59,"",0,0.0,5,9.6,7,14.6,9,18.8,46530,9.3,0,0.0,0,0.0,-33,-4.2
"46127","1","10","71","0","2016","3","","Union County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,53,54,56,603504,0,0,854,"",1.88,0.28,0.28,0.30,0.16,0.00,0.00,0.55,"",0,0.0,2,3.9,1,1.9,-1,-1.8,-9815,-1.6,0,0.0,0,0.0,-25,-2.8
"46127","1","10","71","0","2016","4","","Union County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,52,51,53,598674,0,0,886,"",1.89,0.28,0.27,0.28,0.14,0.00,0.00,0.52,"",0,0.0,-2,-3.7,-3,-5.6,-5,-8.6,-23542,-3.8,0,0.0,0,0.0,21,2.4
"46127","1","102","72","0","2016","1","","Union County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,56,53,55,567604,0,0,799,"",1.86,0.31,0.29,0.30,0.18,0.00,0.00,0.60,"",0,0.0,2,3.7,4,8.2,7,14.6,-9356,-1.6,0,0.0,0,0.0,-83,-9.4
"46127","1","102","72","0","2016","2","","Union County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,57,55,57,547018,0,0,747,"",1.88,0.31,0.30,0.30,0.18,0.00,0.00,0.59,"",0,0.0,5,9.6,7,14.6,9,18.8,46530,9.3,0,0.0,0,0.0,-33,-4.2
"46127","1","102","72","0","2016","3","","Union County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,53,54,56,603504,0,0,854,"",1.88,0.29,0.29,0.30,0.16,0.00,0.00,0.55,"",0,0.0,2,3.9,1,1.9,-1,-1.8,-9815,-1.6,0,0.0,0,0.0,-25,-2.8
"46127","1","102","72","0","2016","4","","Union County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,52,51,53,598674,0,0,886,"",1.89,0.28,0.28,0.28,0.15,0.00,0.00,0.52,"",0,0.0,-2,-3.7,-3,-5.6,-5,-8.6,-23542,-3.8,0,0.0,0,0.0,21,2.4
"46127","1","1021","73","0","2016","1","","Union County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,45,45,47,441914,0,0,744,"",2.33,1.01,1.00,1.05,0.80,0.00,0.00,0.78,"",0,0.0,-2,-4.3,3,7.1,6,14.6,-31166,-6.6,0,0.0,0,0.0,-96,-11.4
