"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46129","0","10","70","0","2016","1","","Walworth County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",258,2084,2093,2128,16293741,9871060,96411,596,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-102,-4.7,-43,-2.0,-58,-2.7,390140,2.5,9882,0.1,11556,13.6,32,5.7
"46129","0","10","70","0","2016","2","","Walworth County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",259,2137,2237,2263,18048895,6434972,81151,628,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.1,-90,-4.0,-21,-0.9,-69,-3.0,906684,5.3,-95948,-1.5,3803,4.9,48,8.3
"46129","0","10","70","0","2016","3","","Walworth County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",259,2277,2250,2161,17907127,3603722,59321,618,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.2,-5,-0.2,-7,-0.3,-31,-1.4,-63010,-0.4,-314124,-8.0,-13309,-18.3,2,0.3
"46129","0","10","70","0","2016","4","","Walworth County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",256,2185,2158,2152,19172383,2304389,18447,681,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-2.3,8,0.4,5,0.2,3,0.1,91794,0.5,-148342,-6.0,-4893,-21.0,1,0.1
"46129","1","10","71","0","2016","1","","Walworth County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,28,30,31,322100,0,0,835,"",5.54,0.68,0.72,0.74,0.69,0.00,0.00,0.98,"",0,0.0,-3,-9.7,-1,-3.2,0,0.0,-36793,-10.3,0,0.0,0,0.0,-56,-6.3
"46129","1","10","71","0","2016","2","","Walworth County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,29,37,37,322364,0,0,722,"",5.57,0.69,0.85,0.83,0.65,0.00,0.00,0.82,"",0,0.0,-3,-9.4,4,12.1,2,5.7,-8595,-2.6,0,0.0,0,0.0,-42,-5.5
"46129","1","10","71","0","2016","3","","Walworth County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,34,33,34,392392,0,0,897,"",5.62,0.75,0.74,0.80,0.71,0.00,0.00,0.93,"",0,0.0,-1,-2.9,1,3.1,5,17.2,13639,3.6,0,0.0,0,0.0,-13,-1.4
"46129","1","10","71","0","2016","4","","Walworth County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,30,31,32,341322,0,0,847,"",5.72,0.70,0.74,0.75,0.63,0.00,0.00,0.86,"",0,0.0,-1,-3.2,1,3.3,0,0.0,-11227,-3.2,0,0.0,0,0.0,-28,-3.2
"46129","1","102","72","0","2016","1","","Walworth County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,28,30,31,322100,0,0,835,"",5.55,0.69,0.74,0.75,0.71,0.00,0.00,0.97,"",0,0.0,-3,-9.7,-1,-3.2,0,0.0,-36793,-10.3,0,0.0,0,0.0,-56,-6.3
"46129","1","102","72","0","2016","2","","Walworth County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,29,37,37,322364,0,0,722,"",5.58,0.71,0.86,0.85,0.66,0.00,0.00,0.82,"",0,0.0,-3,-9.4,4,12.1,2,5.7,-8595,-2.6,0,0.0,0,0.0,-42,-5.5
"46129","1","102","72","0","2016","3","","Walworth County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,34,33,34,392392,0,0,897,"",5.63,0.76,0.75,0.82,0.72,0.00,0.00,0.93,"",0,0.0,-1,-2.9,1,3.1,5,17.2,13639,3.6,0,0.0,0,0.0,-13,-1.4
"46129","1","102","72","0","2016","4","","Walworth County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,30,31,32,341322,0,0,847,"",5.74,0.72,0.75,0.77,0.64,0.00,0.00,0.86,"",0,0.0,-1,-3.2,1,3.3,0,0.0,-11227,-3.2,0,0.0,0,0.0,-28,-3.2
"46129","1","1021","73","0","2016","1","","Walworth County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,16,18,18,165292,0,0,734,"",4.93,1.60,1.78,1.75,2.05,0.00,0.00,1.20,"",0,0.0,-3,-15.8,-1,-5.3,-1,-5.3,-45736,-21.7,0,0.0,0,0.0,-120,-14.1
"46129","1","1021","73","0","2016","2","","Walworth County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,17,19,18,166530,0,0,712,"",4.95,1.67,1.78,1.67,1.85,0.00,0.00,1.08,"",0,0.0,-3,-15.0,0,0.0,-1,-5.3,-16221,-8.9,0,0.0,0,0.0,-15,-2.1
"46129","1","1021","73","0","2016","3","","Walworth County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,17,18,19,193499,0,0,827,"",5.01,1.56,1.67,1.84,1.93,0.00,0.00,1.15,"",0,0.0,-2,-10.5,0,0.0,3,18.8,-4663,-2.4,0,0.0,0,0.0,-36,-4.2
