"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"46137","0","10","70","0","2016","1","","Ziebach County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34,298,299,302,2386991,2002173,14949,613,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-5.6,9,3.1,11,3.8,10,3.4,116000,5.1,80601,4.2,2530,20.4,10,1.7
"46137","0","10","70","0","2016","2","","Ziebach County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34,302,297,280,2508681,1073056,9202,659,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-5.6,13,4.5,-5,-1.7,-17,-5.7,59986,2.4,-30639,-2.8,1803,24.4,23,3.6
"46137","0","10","70","0","2016","3","","Ziebach County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34,283,301,320,2543024,428477,3441,649,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-2.9,-11,-3.7,2,0.7,29,10.0,128887,5.3,-46152,-9.7,471,15.9,19,3.0
"46137","0","10","70","0","2016","4","","Ziebach County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34,311,320,317,2589864,441270,3066,630,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,14,4.7,23,7.7,15,5.0,-13969,-0.5,23106,5.5,701,29.6,-41,-6.1
"46137","1","10","71","0","2016","1","","Ziebach County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,7,7,10,103427,0,0,994,"",14.02,1.18,1.18,1.68,1.52,0.00,0.00,1.13,"",0,0.0,0,0.0,0,0.0,3,42.9,-4171,-3.9,0,0.0,0,0.0,-188,-15.9
"46137","1","10","71","0","2016","2","","Ziebach County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,7,7,7,89802,0,0,987,"",14.15,1.18,1.21,1.27,1.30,0.00,0.00,1.07,"",0,0.0,0,0.0,0,0.0,-1,-12.5,-3930,-4.2,0,0.0,0,0.0,4,0.4
"46137","1","10","71","0","2016","3","","Ziebach County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,7,8,11,107637,0,0,955,"",14.27,1.24,1.34,1.75,1.37,0.00,0.00,0.94,"",0,0.0,0,0.0,2,33.3,4,57.1,-1322,-1.2,0,0.0,0,0.0,-302,-24.0
"46137","1","10","71","0","2016","4","","Ziebach County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,11,10,10,92409,0,0,688,"",14.37,1.81,1.60,1.60,1.27,0.00,0.00,0.76,"",0,0.0,-1,-8.3,3,42.9,3,42.9,2478,2.8,0,0.0,0,0.0,-110,-13.8
"46137","1","102","72","0","2016","1","","Ziebach County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,7,7,10,103427,0,0,994,"",14.04,1.20,1.20,1.71,1.55,0.00,0.00,1.13,"",0,0.0,0,0.0,0,0.0,3,42.9,-4171,-3.9,0,0.0,0,0.0,-188,-15.9
"46137","1","102","72","0","2016","2","","Ziebach County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,7,7,7,89802,0,0,987,"",14.18,1.21,1.23,1.29,1.33,0.00,0.00,1.07,"",0,0.0,0,0.0,0,0.0,-1,-12.5,-3930,-4.2,0,0.0,0,0.0,4,0.4
"46137","1","102","72","0","2016","3","","Ziebach County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,7,8,11,107637,0,0,955,"",14.30,1.27,1.37,1.78,1.39,0.00,0.00,0.94,"",0,0.0,0,0.0,2,33.3,4,57.1,-1322,-1.2,0,0.0,0,0.0,-302,-24.0
"46137","1","102","72","0","2016","4","","Ziebach County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,11,10,10,92409,0,0,688,"",14.40,1.85,1.63,1.63,1.29,0.00,0.00,0.76,"",0,0.0,-1,-8.3,3,42.9,3,42.9,2478,2.8,0,0.0,0,0.0,-110,-13.8
"46137","1","1021","73","0","2016","1","","Ziebach County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,8103,0,0,623,"",9.36,0.70,0.69,0.69,0.69,0.00,0.00,0.99,"",0,0.0,0,0.0,0,0.0,0,0.0,-7102,-46.7,0,0.0,0,0.0,-547,-46.8
"46137","1","1021","73","0","2016","2","","Ziebach County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,8412,0,0,647,"",9.43,0.70,0.71,0.75,0.67,0.00,0.00,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,-5040,-37.5,0,0.0,0,0.0,-388,-37.5
"46137","1","1021","73","0","2016","3","","Ziebach County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,9767,0,0,751,"",9.53,0.74,0.69,0.65,0.69,0.00,0.00,0.99,"",0,0.0,0,0.0,1,100.0,0,0.0,-7082,-42.0,0,0.0,0,0.0,-1193,-61.4
"46137","1","1021","73","0","2016","4","","Ziebach County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,10025,0,0,771,"",9.60,0.68,0.66,0.64,0.68,0.00,0.00,1.03,"",0,0.0,-1,-50.0,0,0.0,0,0.0,214,2.2,0,0.0,0,0.0,205,36.2
"46137","1","1028","73","0","2016","1","","Ziebach County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,6,9,95324,0,0,1048,"",22.91,1.86,1.86,2.78,2.24,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,3,50.0,2931,3.2,0,0.0,0,0.0,-137,-11.6
"46137","1","1028","73","0","2016","2","","Ziebach County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,6,6,81390,0,0,1043,"",23.18,1.86,1.90,2.00,1.93,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,-1,-14.3,1110,1.4,0,0.0,0,0.0,68,7.0
"46137","1","1028","73","0","2016","3","","Ziebach County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,7,10,97870,0,0,982,"",23.34,1.96,2.16,2.93,2.02,0.00,0.00,0.85,"",0,0.0,0,0.0,1,16.7,4,66.7,5760,6.3,0,0.0,0,0.0,-199,-16.9
"46137","1","1028","73","0","2016","4","","Ziebach County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,10,9,9,82384,0,0,679,"",23.52,3.03,2.66,2.67,1.91,0.00,0.00,0.69,"",0,0.0,0,0.0,3,50.0,3,50.0,2264,2.8,0,0.0,0,0.0,-161,-19.2
"46137","1","48-49","74","0","2016","1","","Ziebach County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,8103,0,0,623,"",9.63,0.77,0.76,0.75,0.74,0.00,0.00,0.97,"",0,0.0,0,0.0,0,0.0,0,0.0,-7102,-46.7,0,0.0,0,0.0,-547,-46.8
"46137","1","48-49","74","0","2016","2","","Ziebach County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,8412,0,0,647,"",9.70,0.76,0.77,0.82,0.73,0.00,0.00,0.92,"",0,0.0,0,0.0,0,0.0,0,0.0,-5040,-37.5,0,0.0,0,0.0,-388,-37.5
"46137","1","48-49","74","0","2016","3","","Ziebach County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,9767,0,0,751,"",9.81,0.81,0.76,0.72,0.74,0.00,0.00,0.97,"",0,0.0,0,0.0,1,100.0,0,0.0,-7082,-42.0,0,0.0,0,0.0,-1193,-61.4
"46137","1","48-49","74","0","2016","4","","Ziebach County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,10025,0,0,771,"",9.88,0.74,0.72,0.70,0.73,0.00,0.00,1.02,"",0,0.0,-1,-50.0,0,0.0,0,0.0,214,2.2,0,0.0,0,0.0,205,36.2
"46137","1","491","75","0","2016","1","","Ziebach County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,8103,0,0,623,"",9.70,0.78,0.77,0.77,0.78,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,0,0.0,-7102,-46.7,0,0.0,0,0.0,-547,-46.8
"46137","1","491","75","0","2016","2","","Ziebach County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,8412,0,0,647,"",9.77,0.78,0.79,0.84,0.76,0.00,0.00,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,-5040,-37.5,0,0.0,0,0.0,-388,-37.5
"46137","1","491","75","0","2016","3","","Ziebach County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,9767,0,0,751,"",9.88,0.82,0.77,0.73,0.77,0.00,0.00,0.99,"",0,0.0,0,0.0,1,100.0,0,0.0,-7082,-42.0,0,0.0,0,0.0,-1193,-61.4
"46137","1","491","75","0","2016","4","","Ziebach County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,10025,0,0,771,"",9.95,0.76,0.74,0.71,0.76,0.00,0.00,1.03,"",0,0.0,-1,-50.0,0,0.0,0,0.0,214,2.2,0,0.0,0,0.0,205,36.2
"46137","1","4911","76","0","2016","1","","Ziebach County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,8103,0,0,623,"",9.70,0.78,0.77,0.77,0.78,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,0,0.0,-7102,-46.7,0,0.0,0,0.0,-547,-46.8
"46137","1","4911","76","0","2016","2","","Ziebach County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,8412,0,0,647,"",9.77,0.78,0.79,0.84,0.76,0.00,0.00,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,-5040,-37.5,0,0.0,0,0.0,-388,-37.5
"46137","1","4911","76","0","2016","3","","Ziebach County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,9767,0,0,751,"",9.88,0.82,0.77,0.73,0.77,0.00,0.00,0.99,"",0,0.0,0,0.0,1,100.0,0,0.0,-7082,-42.0,0,0.0,0,0.0,-1193,-61.4
"46137","1","4911","76","0","2016","4","","Ziebach County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,10025,0,0,771,"",9.95,0.76,0.74,0.71,0.76,0.00,0.00,1.03,"",0,0.0,-1,-50.0,0,0.0,0,0.0,214,2.2,0,0.0,0,0.0,205,36.2
"46137","1","49111","77","0","2016","1","","Ziebach County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,8103,0,0,623,"",9.70,0.78,0.77,0.77,0.78,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,0,0.0,-7102,-46.7,0,0.0,0,0.0,-547,-46.8
"46137","1","49111","77","0","2016","2","","Ziebach County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,8412,0,0,647,"",9.77,0.78,0.79,0.84,0.76,0.00,0.00,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,-5040,-37.5,0,0.0,0,0.0,-388,-37.5
"46137","1","49111","77","0","2016","3","","Ziebach County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,9767,0,0,751,"",9.88,0.82,0.77,0.73,0.77,0.00,0.00,0.99,"",0,0.0,0,0.0,1,100.0,0,0.0,-7082,-42.0,0,0.0,0,0.0,-1193,-61.4
"46137","1","49111","77","0","2016","4","","Ziebach County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,10025,0,0,771,"",9.95,0.76,0.74,0.71,0.76,0.00,0.00,1.03,"",0,0.0,-1,-50.0,0,0.0,0,0.0,214,2.2,0,0.0,0,0.0,205,36.2
