"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"47049","0","10","70","0","2016","1","","Fentress County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",277,4646,4670,4762,33359745,21231666,196743,547,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,20,0.4,86,1.9,170,3.7,2276753,7.3,699380,3.4,-16471,-7.7,27,5.2
"47049","0","10","70","0","2016","2","","Fentress County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",271,4788,4792,4817,38151796,8203970,95765,612,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-2.2,94,2.0,18,0.4,52,1.1,2904331,8.2,-2090905,-20.3,-51580,-35.0,41,7.2
"47049","0","10","70","0","2016","3","","Fentress County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",274,4470,4492,4832,36149721,4564143,52112,605,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-3.9,116,2.7,106,2.4,5,0.1,3499748,10.7,-909293,-16.6,-7151,-12.1,50,9.0
"47049","0","10","70","0","2016","4","","Fentress County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",274,4870,4916,4817,40461685,3619214,37457,639,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-4.2,71,1.5,120,2.5,-1,0.0,3403414,9.2,-362794,-9.1,-3959,-9.6,46,7.8
"47049","1","10","71","0","2016","1","","Fentress County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,34,33,34,411598,0,0,940,"",5.73,0.37,0.36,0.36,0.43,0.00,0.00,1.20,"",0,0.0,0,0.0,-8,-19.5,-4,-10.5,-73664,-15.2,0,0.0,0,0.0,-51,-5.1
"47049","1","10","71","0","2016","2","","Fentress County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,37,38,40,402599,0,0,808,"",5.32,0.39,0.41,0.42,0.38,0.00,0.00,0.94,"",-1,-10.0,2,5.7,6,18.8,5,14.3,5635,1.4,0,0.0,0,0.0,-90,-10.0
"47049","1","10","71","0","2016","3","","Fentress County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,43,39,40,497210,0,0,940,"",5.31,0.48,0.44,0.42,0.44,0.00,0.00,0.99,"",-1,-10.0,10,30.3,0,0.0,4,11.1,22475,4.7,0,0.0,0,0.0,-74,-7.3
"47049","1","10","71","0","2016","4","","Fentress County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,39,39,43,471228,0,0,899,"",5.35,0.41,0.41,0.45,0.41,0.00,0.00,0.98,"",-1,-10.0,3,8.3,4,11.4,7,19.4,58185,14.1,0,0.0,0,0.0,8,0.9
"47049","1","102","72","0","2016","1","","Fentress County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,34,33,34,411598,0,0,940,"",5.75,0.38,0.36,0.37,0.44,0.00,0.00,1.20,"",0,0.0,0,0.0,-8,-19.5,-4,-10.5,-73664,-15.2,0,0.0,0,0.0,-51,-5.1
"47049","1","102","72","0","2016","2","","Fentress County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,37,38,40,402599,0,0,808,"",5.34,0.40,0.41,0.43,0.39,0.00,0.00,0.94,"",-1,-10.0,2,5.7,6,18.8,5,14.3,5635,1.4,0,0.0,0,0.0,-90,-10.0
"47049","1","102","72","0","2016","3","","Fentress County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,43,39,40,497210,0,0,940,"",5.32,0.49,0.45,0.43,0.45,0.00,0.00,0.99,"",-1,-10.0,10,30.3,0,0.0,4,11.1,22475,4.7,0,0.0,0,0.0,-74,-7.3
"47049","1","102","72","0","2016","4","","Fentress County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,39,39,43,471228,0,0,899,"",5.36,0.42,0.41,0.46,0.42,0.00,0.00,0.98,"",-1,-10.0,3,8.3,4,11.4,7,19.4,58185,14.1,0,0.0,0,0.0,8,0.9
"47049","1","1021","73","0","2016","1","","Fentress County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,27,26,27,289804,0,0,836,"",6.89,1.21,1.15,1.18,1.76,0.00,0.00,1.49,"",0,0.0,0,0.0,-8,-23.5,0,0.0,-53762,-15.6,0,0.0,0,0.0,-65,-7.2
"47049","1","1021","73","0","2016","2","","Fentress County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,30,31,32,296486,0,0,736,"",7.10,1.32,1.36,1.39,1.56,0.00,0.00,1.15,"",0,0.0,2,7.1,6,24.0,4,14.3,24734,9.1,0,0.0,0,0.0,-38,-4.9
"47049","1","1021","73","0","2016","3","","Fentress County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,31,31,32,364449,0,0,895,"",7.10,1.45,1.44,1.39,1.80,0.00,0.00,1.27,"",0,0.0,5,19.2,3,10.7,3,10.3,30914,9.3,0,0.0,0,0.0,-32,-3.5
"47049","1","1021","73","0","2016","4","","Fentress County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,32,32,31,362138,0,0,880,"",7.15,1.38,1.37,1.30,1.56,0.00,0.00,1.16,"",0,0.0,3,10.3,4,14.3,5,19.2,69606,23.8,0,0.0,0,0.0,67,8.2
"47049","1","1028","73","0","2016","1","","Fentress County, Tennessee","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,7,7,7,121794,0,0,1338,"",5.62,0.14,0.14,0.14,0.20,0.00,0.00,1.48,"",0,0.0,0,0.0,0,0.0,-4,-36.4,-19902,-14.0,0,0.0,0,0.0,30,2.3
"47049","1","1028","73","0","2016","2","","Fentress County, Tennessee","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,7,8,106113,0,0,1113,"",4.36,0.14,0.14,0.16,0.17,0.00,0.00,1.15,"",-1,-25.0,0,0.0,0,0.0,1,14.3,-19099,-15.3,0,0.0,0,0.0,-263,-19.1
"47049","1","1028","73","0","2016","3","","Fentress County, Tennessee","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,8,8,132761,0,0,1094,"",4.34,0.25,0.17,0.16,0.19,0.00,0.00,1.02,"",-1,-25.0,5,71.4,-3,-27.3,1,14.3,-8439,-6.0,0,0.0,0,0.0,-209,-16.0
"47049","1","1028","73","0","2016","4","","Fentress County, Tennessee","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,7,12,109090,0,0,968,"",4.38,0.14,0.13,0.23,0.16,0.00,0.00,0.96,"",-1,-25.0,0,0.0,0,0.0,2,20.0,-11421,-9.5,0,0.0,0,0.0,-191,-16.5
