"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"47113","0","10","70","0","2016","1","","Madison County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2425,56316,56889,57400,551517519,254483057,3663245,746,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-0.2,1457,2.7,1551,2.8,1689,3.0,20482554,3.9,-2620892,-1.0,-421648,-10.3,7,0.9
"47113","0","10","70","0","2016","2","","Madison County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2430,58125,58307,58333,591977935,78452227,1054390,782,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,0.5,1630,2.9,1282,2.2,1419,2.5,41817893,7.6,-9705518,-11.0,-277651,-20.8,37,5.0
"47113","0","10","70","0","2016","3","","Madison County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2424,58713,58754,58805,592374474,53290105,700111,776,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.1,1931,3.4,1605,2.8,1902,3.3,36308903,6.5,-469012,-0.9,3192,0.5,25,3.3
"47113","0","10","70","0","2016","4","","Madison County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2426,58947,59159,58909,639403492,44124840,589308,834,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,0.0,1963,3.4,1718,3.0,1266,2.2,9291539,1.5,-3335205,-7.0,-68020,-10.3,-11,-1.3
"47113","1","10","71","0","2016","1","","Madison County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,424,428,433,7419029,0,0,1332,"",2.03,0.38,0.38,0.38,0.47,0.00,0.00,1.24,"",0,0.0,3,0.7,7,1.7,11,2.6,-206498,-2.7,0,0.0,0,0.0,-60,-4.3
"47113","1","10","71","0","2016","2","","Madison County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,426,428,428,7055896,0,0,1270,"",2.05,0.37,0.38,0.37,0.43,0.00,0.00,1.16,"",0,0.0,-6,-1.4,8,1.9,4,0.9,-185134,-2.6,0,0.0,0,0.0,-40,-3.1
"47113","1","10","71","0","2016","3","","Madison County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,434,433,433,7910032,0,0,1404,"",2.07,0.37,0.37,0.37,0.43,0.00,0.00,1.15,"",0,0.0,17,4.1,13,3.1,6,1.4,254714,3.3,0,0.0,0,0.0,6,0.4
"47113","1","10","71","0","2016","4","","Madison County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,430,430,436,8290897,0,0,1476,"",2.08,0.37,0.37,0.38,0.46,0.00,0.00,1.23,"",0,0.0,5,1.2,1,0.2,10,2.3,144747,1.8,0,0.0,0,0.0,7,0.5
"47113","1","102","72","0","2016","1","","Madison County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,424,428,433,7419029,0,0,1332,"",2.03,0.39,0.39,0.39,0.48,0.00,0.00,1.24,"",0,0.0,3,0.7,7,1.7,11,2.6,-206498,-2.7,0,0.0,0,0.0,-60,-4.3
"47113","1","102","72","0","2016","2","","Madison County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,426,428,428,7055896,0,0,1270,"",2.05,0.38,0.38,0.38,0.44,0.00,0.00,1.16,"",0,0.0,-6,-1.4,8,1.9,4,0.9,-185134,-2.6,0,0.0,0,0.0,-40,-3.1
"47113","1","102","72","0","2016","3","","Madison County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,434,433,433,7910032,0,0,1404,"",2.07,0.38,0.38,0.38,0.44,0.00,0.00,1.15,"",0,0.0,17,4.1,13,3.1,6,1.4,254714,3.3,0,0.0,0,0.0,6,0.4
"47113","1","102","72","0","2016","4","","Madison County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,430,430,436,8290897,0,0,1476,"",2.08,0.38,0.38,0.38,0.47,0.00,0.00,1.23,"",0,0.0,5,1.2,1,0.2,10,2.3,144747,1.8,0,0.0,0,0.0,7,0.5
"47113","1","1021","73","0","2016","1","","Madison County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,215,219,223,3303492,0,0,1160,"",1.71,0.79,0.80,0.81,1.21,0.00,0.00,1.52,"",0,0.0,3,1.4,9,4.3,13,6.2,-327382,-9.0,0,0.0,0,0.0,-166,-12.5
"47113","1","1021","73","0","2016","2","","Madison County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,218,222,223,3529359,0,0,1228,"",1.72,0.79,0.80,0.80,1.20,0.00,0.00,1.50,"",0,0.0,-1,-0.5,13,6.2,9,4.2,14942,0.4,0,0.0,0,0.0,-35,-2.8
"47113","1","1021","73","0","2016","3","","Madison County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,224,224,225,3753693,0,0,1287,"",1.74,0.80,0.80,0.80,1.13,0.00,0.00,1.42,"",0,0.0,16,7.7,12,5.7,12,5.6,124201,3.4,0,0.0,0,0.0,-36,-2.7
"47113","1","1021","73","0","2016","4","","Madison County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,221,220,219,4511297,0,0,1577,"",1.75,0.79,0.78,0.75,1.23,0.00,0.00,1.59,"",0,0.0,9,4.2,6,2.8,7,3.3,174428,4.0,0,0.0,0,0.0,8,0.5
