"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"47141","0","10","70","0","2016","1","","Putnam County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1852,34544,34754,34992,303837274,147663389,1587775,672,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,1.8,834,2.5,855,2.5,992,2.9,11947028,4.1,-1016885,-0.7,-337485,-17.5,9,1.4
"47141","0","10","70","0","2016","2","","Putnam County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1850,35329,35089,34843,316822303,51250047,633255,695,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",30,1.6,949,2.8,899,2.6,725,2.1,6700533,2.2,-8688277,-14.5,-237254,-27.3,-2,-0.3
"47141","0","10","70","0","2016","3","","Putnam County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1857,33836,35297,36215,326876504,33121367,417225,716,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",42,2.3,-316,-0.9,915,2.7,1165,3.3,25078812,8.3,-1559576,-4.5,-22017,-5.0,44,6.5
"47141","0","10","70","0","2016","4","","Putnam County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1879,36157,36484,36323,344107613,29299823,389648,729,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",48,2.6,1070,3.0,1184,3.4,1040,2.9,973984,0.3,-1581171,-5.1,19031,5.1,-20,-2.7
"47141","1","10","71","0","2016","1","","Putnam County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,236,233,235,3595079,0,0,1178,"",1.54,0.34,0.34,0.34,0.42,0.00,0.00,1.22,"",1,5.9,12,5.4,7,3.1,11,4.9,-92031,-2.5,0,0.0,0,0.0,-84,-6.7
"47141","1","10","71","0","2016","2","","Putnam County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,233,233,236,3367383,0,0,1107,"",1.56,0.34,0.34,0.34,0.39,0.00,0.00,1.14,"",1,5.9,7,3.1,6,2.6,13,5.8,222502,7.1,0,0.0,0,0.0,33,3.1
"47141","1","10","71","0","2016","3","","Putnam County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,241,238,237,3948507,0,0,1273,"",1.57,0.36,0.34,0.33,0.39,0.00,0.00,1.13,"",1,5.9,13,5.7,11,4.8,11,4.9,363531,10.1,0,0.0,0,0.0,58,4.8
"47141","1","10","71","0","2016","4","","Putnam County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,238,235,240,3771416,0,0,1221,"",1.56,0.34,0.33,0.34,0.39,0.00,0.00,1.16,"",0,0.0,4,1.7,-2,-0.8,5,2.1,69811,1.9,0,0.0,0,0.0,11,0.9
"47141","1","102","72","0","2016","1","","Putnam County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,236,233,235,3595079,0,0,1178,"",1.55,0.35,0.34,0.35,0.42,0.00,0.00,1.22,"",1,5.9,12,5.4,7,3.1,11,4.9,-92031,-2.5,0,0.0,0,0.0,-84,-6.7
"47141","1","102","72","0","2016","2","","Putnam County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,233,233,236,3367383,0,0,1107,"",1.56,0.34,0.35,0.35,0.39,0.00,0.00,1.14,"",1,5.9,7,3.1,6,2.6,13,5.8,222502,7.1,0,0.0,0,0.0,33,3.1
"47141","1","102","72","0","2016","3","","Putnam County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,241,238,237,3948507,0,0,1273,"",1.57,0.36,0.35,0.34,0.40,0.00,0.00,1.13,"",1,5.9,13,5.7,11,4.8,11,4.9,363531,10.1,0,0.0,0,0.0,58,4.8
