"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"47167","0","10","70","0","2016","1","","Tipton County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",755,10876,10946,10959,93703598,47635555,586164,660,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.8,52,0.5,14,0.1,0,0.0,6420356,7.4,306510,0.6,-31070,-5.0,44,7.1
"47167","0","10","70","0","2016","2","","Tipton County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",752,11137,11085,11129,98582528,14606798,261059,682,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.3,296,2.7,266,2.5,408,3.8,2361083,2.5,-1634730,-10.1,-18111,-6.5,-4,-0.6
"47167","0","10","70","0","2016","3","","Tipton County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",747,9748,9945,11034,99139494,10919686,253911,745,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-1.7,285,3.0,503,5.3,483,4.6,13188052,15.3,1156386,11.8,110065,76.5,72,10.7
"47167","0","10","70","0","2016","4","","Tipton County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",752,11052,11121,11027,103484082,7742453,108039,719,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-1.4,268,2.5,296,2.7,250,2.3,-904761,-0.9,-513734,-6.2,-20548,-16.0,-25,-3.4
"47167","1","10","71","0","2016","1","","Tipton County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,91,95,102,1210391,0,0,970,"",2.95,0.42,0.44,0.47,0.45,0.00,0.00,1.02,"",0,0.0,-1,-1.1,6,6.7,12,13.3,-100180,-7.6,0,0.0,0,0.0,-146,-13.1
"47167","1","10","71","0","2016","2","","Tipton County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,99,95,99,1198917,0,0,944,"",2.98,0.45,0.44,0.45,0.44,0.00,0.00,0.99,"",0,0.0,7,7.6,7,8.0,7,7.6,26759,2.3,0,0.0,0,0.0,-50,-5.0
"47167","1","10","71","0","2016","3","","Tipton County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,104,102,94,1372634,0,0,1056,"",3.03,0.54,0.52,0.43,0.45,0.00,0.00,0.90,"",0,0.0,12,13.0,12,13.3,2,2.2,20494,1.5,0,0.0,0,0.0,-83,-7.3
"47167","1","10","71","0","2016","4","","Tipton County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,103,96,98,1430226,0,0,1111,"",3.03,0.48,0.44,0.45,0.49,0.00,0.00,1.07,"",0,0.0,10,10.8,1,1.1,1,1.0,72510,5.3,0,0.0,0,0.0,12,1.1
"47167","1","101","72","0","2016","1","","Tipton County, Tennessee","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,4,4,4,82502,0,0,1587,"",104.24,1.06,1.05,1.05,1.80,0.00,0.00,1.72,"",0,0.0,0,0.0,0,0.0,0,0.0,7088,9.4,0,0.0,0,0.0,137,9.4
"47167","1","101","72","0","2016","2","","Tipton County, Tennessee","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,4,4,5,109313,0,0,1940,"",106.36,1.04,1.04,1.27,2.28,0.00,0.00,2.04,"",0,0.0,0,0.0,0,0.0,1,25.0,-19775,-15.3,0,0.0,0,0.0,-542,-21.8
"47167","1","101","72","0","2016","3","","Tipton County, Tennessee","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,5,5,5,115865,0,0,1783,"",107.96,1.42,1.40,1.27,2.04,0.00,0.00,1.50,"",0,0.0,1,25.0,1,25.0,1,25.0,14422,14.2,0,0.0,0,0.0,-168,-8.6
"47167","1","101","72","0","2016","4","","Tipton County, Tennessee","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,5,5,5,155749,0,0,2396,"",108.02,1.28,1.28,1.31,2.92,0.00,0.00,2.27,"",0,0.0,1,25.0,1,25.0,1,25.0,30427,24.3,0,0.0,0,0.0,-14,-0.6
"47167","1","1012","73","0","2016","1","","Tipton County, Tennessee","Federal Government","1012 Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,82502,0,0,1587,"",6358.54,12759.42,12736.10,12786.65,20153.59,0.00,0.00,1.58,"",0,0.0,0,0.0,0,0.0,0,0.0,7088,9.4,0,0.0,0,0.0,137,9.4
"47167","1","1012","73","0","2016","2","","Tipton County, Tennessee","Federal Government","1012 Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,5,109313,0,0,1940,"",6434.62,12720.10,12850.92,12829.49,18547.50,0.00,0.00,1.45,"",0,0.0,0,0.0,0,0.0,1,25.0,-19775,-15.3,0,0.0,0,0.0,-542,-21.8
"47167","1","1012","73","0","2016","3","","Tipton County, Tennessee","Federal Government","1012 Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,115865,0,0,1783,"",6531.84,14482.65,14266.47,12960.40,19129.84,0.00,0.00,1.38,"",0,0.0,1,25.0,1,25.0,1,25.0,14422,14.2,0,0.0,0,0.0,-168,-8.6
"47167","1","1012","73","0","2016","4","","Tipton County, Tennessee","Federal Government","1012 Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,155749,0,0,2396,"",6535.13,12978.96,12942.37,13040.55,19266.56,0.00,0.00,1.48,"",0,0.0,1,25.0,1,25.0,1,25.0,30427,24.3,0,0.0,0,0.0,-14,-0.6
"47167","1","102","72","0","2016","1","","Tipton County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,87,91,98,1127889,0,0,943,"",2.74,0.41,0.43,0.46,0.43,0.00,0.00,0.99,"",0,0.0,-1,-1.1,6,7.1,12,14.0,-107268,-8.7,0,0.0,0,0.0,-158,-14.4
"47167","1","102","72","0","2016","2","","Tipton County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,95,91,94,1089604,0,0,898,"",2.78,0.44,0.43,0.44,0.41,0.00,0.00,0.94,"",0,0.0,7,8.0,7,8.3,6,6.8,46534,4.5,0,0.0,0,0.0,-28,-3.0
"47167","1","102","72","0","2016","3","","Tipton County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,99,97,89,1256769,0,0,1018,"",2.82,0.52,0.50,0.42,0.42,0.00,0.00,0.87,"",0,0.0,11,12.5,11,12.8,1,1.1,6072,0.5,0,0.0,0,0.0,-84,-7.6
"47167","1","102","72","0","2016","4","","Tipton County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,98,91,93,1274477,0,0,1043,"",2.82,0.46,0.43,0.44,0.44,0.00,0.00,1.01,"",0,0.0,9,10.1,0,0.0,0,0.0,42083,3.4,0,0.0,0,0.0,1,0.1
"47167","1","1021","73","0","2016","1","","Tipton County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,72,76,80,856164,0,0,867,"",3.37,1.38,1.44,1.51,1.85,0.00,0.00,1.28,"",0,0.0,-4,-5.3,3,4.1,7,9.6,-167188,-16.3,0,0.0,0,0.0,-197,-18.5
