"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"47999","0","10","70","0","2016","1","","Unknown Or Undefined, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",11017,59882,61226,61497,989353902,420975353,6660639,1250,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-706,-6.0,3324,5.9,3611,6.3,3227,5.5,24440971,2.5,-8407136,-2.0,-1412277,-17.5,-41,-3.2
"47999","0","10","70","0","2016","2","","Unknown Or Undefined, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10898,61374,61679,62113,959104136,124523056,2293328,1195,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-422,-3.7,3219,5.5,2295,3.9,2039,3.4,55301949,6.1,-1748224,-1.4,-569499,-19.9,21,1.8
"47999","0","10","70","0","2016","3","","Unknown Or Undefined, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10908,62225,62221,62557,1147570978,93370081,1672061,1416,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-388,-3.4,1582,2.6,-43,-0.1,-357,-0.6,211446728,22.6,-10165487,-9.8,-288118,-14.7,253,21.8
"47999","0","10","70","0","2016","4","","Unknown Or Undefined, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",11081,61936,63053,63347,1075932898,86436867,1628136,1318,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-211,-1.9,-1723,-2.7,-2333,-3.6,-1732,-2.7,14256381,1.3,-25120101,-22.5,-609388,-27.2,56,4.4
"47999","1","10","71","0","2016","1","","Unknown Or Undefined, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",44,632,644,650,12223532,0,0,1465,"",0.63,0.53,0.53,0.54,0.43,0.00,0.00,0.82,"",1,2.3,43,7.3,38,6.3,54,9.1,201043,1.7,0,0.0,0,0.0,-84,-5.4
"47999","1","10","71","0","2016","2","","Unknown Or Undefined, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",45,655,657,643,11722274,0,0,1384,"",0.66,0.55,0.54,0.53,0.45,0.00,0.00,0.83,"",1,2.3,51,8.4,59,9.9,43,7.2,1073460,10.1,0,0.0,0,0.0,20,1.5
"47999","1","10","71","0","2016","3","","Unknown Or Undefined, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,660,670,679,14830424,0,0,1704,"",0.68,0.53,0.54,0.55,0.42,0.00,0.00,0.77,"",2,4.5,42,6.8,60,9.8,77,12.8,1962234,15.2,0,0.0,0,0.0,81,5.0
"47999","1","10","71","0","2016","4","","Unknown Or Undefined, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,691,702,726,14870661,0,0,1619,"",0.68,0.57,0.57,0.58,0.49,0.00,0.00,0.85,"",2,4.5,74,12.0,78,12.5,100,16.0,2898246,24.2,0,0.0,0,0.0,139,9.4
"47999","1","101","72","0","2016","1","","Unknown Or Undefined, Tennessee","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,33026,0,0,2540,"",7.14,0.05,0.05,0.05,0.07,0.00,0.00,1.45,"",0,0.0,0,0.0,0,0.0,0,0.0,1358,4.3,0,0.0,0,0.0,104,4.3
"47999","1","101","72","0","2016","2","","Unknown Or Undefined, Tennessee","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,27542,0,0,2119,"",7.34,0.05,0.05,0.05,0.06,0.00,0.00,1.27,"",0,0.0,0,0.0,0,0.0,0,0.0,321,1.2,0,0.0,0,0.0,25,1.2
"47999","1","101","72","0","2016","3","","Unknown Or Undefined, Tennessee","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,32633,0,0,2510,"",7.39,0.04,0.04,0.04,0.05,0.00,0.00,1.11,"",0,0.0,0,0.0,0,0.0,0,0.0,125,0.4,0,0.0,0,0.0,9,0.4
"47999","1","101","72","0","2016","4","","Unknown Or Undefined, Tennessee","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,28642,0,0,2203,"",7.33,0.05,0.05,0.05,0.05,0.00,0.00,1.14,"",0,0.0,0,0.0,0,0.0,0,0.0,371,1.3,0,0.0,0,0.0,28,1.3
"47999","1","1013","73","0","2016","1","","Unknown Or Undefined, Tennessee","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,33026,0,0,2540,"",19.81,0.05,0.05,0.05,0.07,0.00,0.00,1.45,"",0,0.0,0,0.0,0,0.0,0,0.0,1358,4.3,0,0.0,0,0.0,104,4.3
"47999","1","1013","73","0","2016","2","","Unknown Or Undefined, Tennessee","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,27542,0,0,2119,"",19.73,0.05,0.05,0.05,0.06,0.00,0.00,1.25,"",0,0.0,0,0.0,0,0.0,0,0.0,321,1.2,0,0.0,0,0.0,25,1.2
"47999","1","1013","73","0","2016","3","","Unknown Or Undefined, Tennessee","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,32633,0,0,2510,"",19.45,0.05,0.05,0.05,0.05,0.00,0.00,1.10,"",0,0.0,0,0.0,0,0.0,0,0.0,125,0.4,0,0.0,0,0.0,9,0.4
"47999","1","1013","73","0","2016","4","","Unknown Or Undefined, Tennessee","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,28642,0,0,2203,"",19.28,0.05,0.05,0.05,0.05,0.00,0.00,1.12,"",0,0.0,0,0.0,0,0.0,0,0.0,371,1.3,0,0.0,0,0.0,28,1.3
"47999","1","102","72","0","2016","1","","Unknown Or Undefined, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",43,631,643,649,12190506,0,0,1463,"",0.62,0.54,0.54,0.54,0.44,0.00,0.00,0.81,"",1,2.4,43,7.3,38,6.3,54,9.1,199685,1.7,0,0.0,0,0.0,-85,-5.5
"47999","1","102","72","0","2016","2","","Unknown Or Undefined, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",44,654,656,642,11694732,0,0,1383,"",0.65,0.55,0.55,0.54,0.45,0.00,0.00,0.83,"",1,2.3,51,8.5,59,9.9,43,7.2,1073139,10.1,0,0.0,0,0.0,21,1.5
"47999","1","102","72","0","2016","3","","Unknown Or Undefined, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",45,659,669,678,14797791,0,0,1702,"",0.67,0.54,0.55,0.56,0.42,0.00,0.00,0.77,"",2,4.7,42,6.8,60,9.9,77,12.8,1962109,15.3,0,0.0,0,0.0,81,5.0
"47999","1","102","72","0","2016","4","","Unknown Or Undefined, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",45,690,701,725,14842019,0,0,1619,"",0.66,0.58,0.58,0.59,0.50,0.00,0.00,0.85,"",2,4.7,74,12.0,78,12.5,100,16.0,2897875,24.3,0,0.0,0,0.0,140,9.5
"47999","1","1021","73","0","2016","1","","Unknown Or Undefined, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,15,17,17,437559,0,0,2061,"",0.03,0.05,0.06,0.06,0.09,0.00,0.00,1.61,"",0,0.0,-3,-16.7,-1,-5.6,0,0.0,-11129,-2.5,0,0.0,0,0.0,107,5.5
"47999","1","1021","73","0","2016","2","","Unknown Or Undefined, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,15,14,14,418277,0,0,2245,"",0.03,0.05,0.05,0.05,0.09,0.00,0.00,1.79,"",0,0.0,-3,-16.7,-2,-12.5,-4,-22.2,-30710,-6.8,0,0.0,0,0.0,252,12.6
"47999","1","1021","73","0","2016","3","","Unknown Or Undefined, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,14,15,15,448252,0,0,2351,"",0.03,0.05,0.05,0.05,0.07,0.00,0.00,1.42,"",0,0.0,-5,-26.3,-4,-21.1,-4,-21.1,-76003,-14.5,0,0.0,0,0.0,229,10.8
"47999","1","1021","73","0","2016","4","","Unknown Or Undefined, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,14,13,14,447200,0,0,2517,"",0.03,0.05,0.04,0.04,0.07,0.00,0.00,1.61,"",0,0.0,-2,-12.5,-3,-18.8,-2,-12.5,-39540,-8.1,0,0.0,0,0.0,177,7.6
