"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48023","0","10","70","0","2016","1","","Baylor County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",177,1207,1194,1188,9624788,4603088,88655,619,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-5.9,-33,-2.7,9,0.8,10,0.8,-78366,-0.8,-273396,-5.6,-7049,-7.4,-2,-0.3
"48023","0","10","70","0","2016","2","","Baylor County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",179,1159,1191,1234,9924514,1801814,24239,639,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-2.7,-10,-0.9,21,1.8,-8,-0.6,447109,4.7,-3836,-0.2,-4508,-15.7,28,4.6
"48023","0","10","70","0","2016","3","","Baylor County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",181,1219,1219,1224,10406435,1193433,17365,656,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.6,1,0.1,5,0.4,-6,-0.5,-294943,-2.8,-243800,-17.0,-8334,-32.4,-18,-2.7
"48023","0","10","70","0","2016","4","","Baylor County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",180,1222,1195,1198,10614617,870539,11963,678,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-2.7,-64,-5.0,-39,-3.2,-86,-6.7,-1032588,-8.9,-354555,-28.9,-10817,-47.5,-29,-4.1
"48023","1","10","71","0","2016","1","","Baylor County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,22,22,22,230672,0,0,807,"",3.59,0.92,0.93,0.94,0.84,0.00,0.00,0.91,"",0,0.0,4,22.2,0,0.0,1,4.8,-9808,-4.1,0,0.0,0,0.0,-103,-11.3
"48023","1","10","71","0","2016","2","","Baylor County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,22,22,17,208934,0,0,790,"",3.58,0.97,0.94,0.70,0.77,0.00,0.00,0.88,"",0,0.0,0,0.0,2,10.0,-4,-19.0,444,0.2,0,0.0,0,0.0,26,3.4
"48023","1","10","71","0","2016","3","","Baylor County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,21,20,22,251083,0,0,920,"",3.57,0.87,0.83,0.91,0.78,0.00,0.00,0.89,"",0,0.0,3,16.7,1,5.3,2,10.0,11753,4.9,0,0.0,0,0.0,-49,-5.1
"48023","1","10","71","0","2016","4","","Baylor County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,22,18,22,223351,0,0,831,"",3.62,0.92,0.77,0.93,0.75,0.00,0.00,0.85,"",0,0.0,2,10.0,-2,-10.0,1,4.8,2307,1.0,0,0.0,0,0.0,-5,-0.6
"48023","1","102","72","0","2016","1","","Baylor County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,22,22,22,230672,0,0,807,"",3.60,0.93,0.95,0.95,0.86,0.00,0.00,0.91,"",0,0.0,4,22.2,0,0.0,1,4.8,-9808,-4.1,0,0.0,0,0.0,-103,-11.3
"48023","1","102","72","0","2016","2","","Baylor County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,22,22,17,208934,0,0,790,"",3.59,0.99,0.96,0.71,0.78,0.00,0.00,0.88,"",0,0.0,0,0.0,2,10.0,-4,-19.0,444,0.2,0,0.0,0,0.0,26,3.4
