"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48029","0","10","70","0","2016","1","","Bexar County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",39368,825514,831948,834767,10071812099,4197149218,86492315,933,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1603,4.2,25132,3.1,23502,2.9,24060,3.0,247064083,2.5,145366330,3.6,-6509495,-7.0,-4,-0.4
"48029","0","10","70","0","2016","2","","Bexar County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",39691,838648,840783,837687,9559673879,1350902954,23691900,876,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1687,4.4,22770,2.8,21178,2.6,19460,2.4,474128196,5.2,43856475,3.4,-2005545,-7.8,22,2.6
"48029","0","10","70","0","2016","3","","Bexar County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",40233,836964,841104,847020,10003986327,910446533,16490174,914,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1758,4.6,23961,2.9,25378,3.1,24363,3.0,723308166,7.8,39646201,4.6,-874930,-5.0,40,4.6
"48029","0","10","70","0","2016","4","","Bexar County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",40502,850208,855042,856339,10614271476,758738013,14099814,956,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1706,4.4,21335,2.6,20979,2.5,21913,2.6,171115448,1.6,-21079095,-2.7,-1807765,-11.4,-9,-0.9
"48029","1","10","71","0","2016","1","","Bexar County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",177,34032,34085,34099,604261150,0,0,1364,"",0.71,2.08,2.07,2.07,2.11,0.00,0.00,1.02,"",-3,-1.7,694,2.1,571,1.7,469,1.4,-7274330,-1.2,0,0.0,0,0.0,-40,-2.8
"48029","1","10","71","0","2016","2","","Bexar County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",179,34230,34301,34523,578017747,0,0,1294,"",0.72,2.09,2.09,2.10,2.20,0.00,0.00,1.05,"",-2,-1.1,573,1.7,635,1.9,701,2.1,742738,0.1,0,0.0,0,0.0,-23,-1.7
"48029","1","10","71","0","2016","3","","Bexar County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",180,34668,34693,34753,672726235,0,0,1491,"",0.72,2.08,2.08,2.09,2.17,0.00,0.00,1.04,"",2,1.1,740,2.2,999,3.0,1037,3.1,55352440,9.0,0,0.0,0,0.0,85,6.0
"48029","1","10","71","0","2016","4","","Bexar County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",184,34689,34881,35087,647285957,0,0,1427,"",0.74,2.09,2.09,2.08,2.16,0.00,0.00,1.04,"",6,3.4,857,2.5,875,2.6,895,2.6,49024157,8.2,0,0.0,0,0.0,74,5.5
"48029","1","101","72","0","2016","1","","Bexar County, Texas","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,2,2,2,38531,0,0,1482,"",2.00,0.01,0.01,0.01,0.01,0.00,0.00,1.14,"",0,0.0,0,0.0,0,0.0,0,0.0,3597,10.3,0,0.0,0,0.0,138,10.3
"48029","1","101","72","0","2016","2","","Bexar County, Texas","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,2,2,2,30480,0,0,1172,"",2.02,0.01,0.01,0.01,0.01,0.00,0.00,0.96,"",0,0.0,0,0.0,0,0.0,0,0.0,738,2.5,0,0.0,0,0.0,28,2.4
