"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48059","0","10","70","0","2016","1","","Callahan County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",232,2144,2144,2119,18452096,8796754,138042,665,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,6.4,29,1.4,8,0.4,-7,-0.3,-36470,-0.2,3340,0.0,7170,5.5,-4,-0.6
"48059","0","10","70","0","2016","2","","Callahan County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",232,2070,2117,2179,17847107,3146391,34671,647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,5.0,-80,-3.7,-47,-2.2,-72,-3.2,-1199015,-6.3,-565429,-15.2,-27333,-44.1,-22,-3.3
"48059","0","10","70","0","2016","3","","Callahan County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",234,2059,2100,2115,18700569,2304435,33437,688,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.2,-171,-7.7,-111,-5.0,-106,-4.8,-2054401,-9.9,-525946,-18.6,-24677,-42.5,-31,-4.3
"48059","0","10","70","0","2016","4","","Callahan County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",230,2213,2240,2242,23514167,1949068,28540,811,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.8,-23,-1.0,49,2.2,89,4.1,83931,0.4,199891,11.4,1482,5.5,-11,-1.3
"48059","1","10","71","0","2016","1","","Callahan County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,46,41,42,659805,0,0,1180,"",4.11,1.08,0.97,1.00,1.26,0.00,0.00,1.24,"",0,0.0,0,0.0,1,2.5,-2,-4.5,-32363,-4.7,0,0.0,0,0.0,-49,-4.0
"48059","1","10","71","0","2016","2","","Callahan County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,46,47,43,557127,0,0,945,"",4.15,1.14,1.14,1.00,1.14,0.00,0.00,1.04,"",0,0.0,4,9.5,7,17.5,0,0.0,-24177,-4.2,0,0.0,0,0.0,-128,-11.9
"48059","1","10","71","0","2016","3","","Callahan County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,46,42,46,649589,0,0,1119,"",4.15,1.12,1.01,1.11,1.12,0.00,0.00,1.04,"",0,0.0,3,7.0,2,5.0,3,7.0,-31865,-4.7,0,0.0,0,0.0,-129,-10.3
"48059","1","10","71","0","2016","4","","Callahan County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,43,40,45,611977,0,0,1103,"",4.25,1.00,0.92,1.02,0.92,0.00,0.00,0.94,"",0,0.0,0,0.0,-2,-4.8,-2,-4.3,-14745,-2.4,0,0.0,0,0.0,7,0.6
"48059","1","102","72","0","2016","1","","Callahan County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,46,41,42,659805,0,0,1180,"",4.12,1.10,0.98,1.02,1.28,0.00,0.00,1.23,"",0,0.0,0,0.0,1,2.5,-2,-4.5,-32363,-4.7,0,0.0,0,0.0,-49,-4.0
"48059","1","102","72","0","2016","2","","Callahan County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,46,47,43,557127,0,0,945,"",4.15,1.16,1.16,1.02,1.16,0.00,0.00,1.04,"",0,0.0,4,9.5,7,17.5,0,0.0,-24177,-4.2,0,0.0,0,0.0,-128,-11.9
