"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48141","0","10","70","0","2016","1","","El Paso County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",14781,292537,293660,294062,2635709454,1189469331,26591885,691,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",331,2.3,6895,2.4,6480,2.3,6144,2.1,62456273,2.4,40603116,3.5,-1452370,-5.2,1,0.1
"48141","0","10","70","0","2016","2","","El Paso County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",14758,297428,298184,295794,2680649900,515769643,10369228,694,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",190,1.3,7531,2.6,6281,2.2,3973,1.4,129017236,5.1,23432437,4.8,-489014,-4.5,20,3.0
"48141","0","10","70","0","2016","3","","El Paso County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",14832,293504,295926,299767,2806348143,308545886,6003534,728,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",183,1.2,6431,2.2,6631,2.3,7551,2.6,177036762,6.7,11390241,3.8,-571580,-8.7,29,4.1
"48141","0","10","70","0","2016","4","","El Paso County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",14869,299533,301372,301952,2856498826,243133532,4781890,730,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",228,1.6,4606,1.6,4415,1.5,4705,1.6,-10518602,-0.4,-10109554,-4.0,-1097914,-18.7,-14,-1.9
"48141","1","10","71","0","2016","1","","El Paso County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",96,12374,12383,12345,236121142,0,0,1469,"",1.03,2.13,2.13,2.13,3.15,0.00,0.00,1.48,"",0,0.0,16,0.1,17,0.1,104,0.8,10296463,4.6,0,0.0,0,0.0,59,4.2
"48141","1","10","71","0","2016","2","","El Paso County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",96,12382,12424,12437,207231149,0,0,1284,"",1.04,2.13,2.13,2.14,2.82,0.00,0.00,1.32,"",0,0.0,-33,-0.3,-5,0.0,-20,-0.2,-7416212,-3.5,0,0.0,0,0.0,-44,-3.3
"48141","1","10","71","0","2016","3","","El Paso County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",96,12369,12417,12438,244129948,0,0,1513,"",1.05,2.12,2.12,2.11,2.81,0.00,0.00,1.33,"",0,0.0,-75,-0.6,1,0.0,67,0.5,15875058,7.0,0,0.0,0,0.0,98,6.9
"48141","1","10","71","0","2016","4","","El Paso County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",96,12477,12524,12547,226972570,0,0,1395,"",1.05,2.13,2.13,2.11,2.82,0.00,0.00,1.33,"",0,0.0,86,0.7,77,0.6,73,0.6,-260233,-0.1,0,0.0,0,0.0,-10,-0.7
"48141","1","102","72","0","2016","1","","El Paso County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",96,12374,12383,12345,236121142,0,0,1469,"",1.03,2.17,2.17,2.16,3.20,0.00,0.00,1.48,"",0,0.0,16,0.1,17,0.1,104,0.8,10296463,4.6,0,0.0,0,0.0,59,4.2
"48141","1","102","72","0","2016","2","","El Paso County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",96,12382,12424,12437,207231149,0,0,1284,"",1.05,2.17,2.17,2.18,2.87,0.00,0.00,1.32,"",0,0.0,-33,-0.3,-5,0.0,-20,-0.2,-7416212,-3.5,0,0.0,0,0.0,-44,-3.3
